timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-11T06:06:12,0.08,0.13
2026-05-11T06:06:17,0.05,0.07
2026-05-11T06:06:22,0.05,0.07
2026-05-11T06:06:27,0.09,0.1
2026-05-11T06:06:32,0.09,0.1
2026-05-11T06:06:37,0.11,0.14
2026-05-11T06:06:42,0.11,0.14
2026-05-11T06:06:47,0.08,0.12
2026-05-11T06:06:52,0.08,0.12
2026-05-11T06:06:57,0.05,0.08
2026-05-11T06:07:02,0.05,0.08
2026-05-11T06:07:07,0.07,0.09
2026-05-11T06:07:12,0.07,0.09
2026-05-11T06:07:17,0.68,5.39
2026-05-11T06:07:22,0.68,5.39
2026-05-11T06:07:27,1.57,13.52
2026-05-11T06:07:32,1.57,13.52
2026-05-11T06:07:37,2.3,21.82
2026-05-11T06:07:42,2.3,21.82
2026-05-11T06:07:47,3.16,37.51
2026-05-11T06:07:52,3.16,37.51
2026-05-11T06:07:57,3.9,50.62
2026-05-11T06:08:02,3.9,50.62
2026-05-11T06:08:07,4.66,62.31
2026-05-11T06:08:12,4.66,62.31
2026-05-11T06:08:17,5.59,81.79
2026-05-11T06:08:22,5.59,81.79
2026-05-11T06:08:27,6.54,102.82
2026-05-11T06:08:32,6.54,102.82
2026-05-11T06:08:37,7.11,108.02
2026-05-11T06:08:42,7.11,108.02
2026-05-11T06:08:47,7.79,112.0
2026-05-11T06:08:52,7.79,112.0
2026-05-11T06:08:57,8.63,130.89
2026-05-11T06:09:02,8.63,130.89
2026-05-11T06:09:07,9.7,140.05
2026-05-11T06:09:12,9.7,140.05
2026-05-11T06:09:17,10.42,158.62
2026-05-11T06:09:22,10.42,158.62
2026-05-11T06:09:27,10.24,174.8
2026-05-11T06:09:32,10.24,174.8
2026-05-11T06:09:37,9.92,163.29
2026-05-11T06:09:42,9.92,163.29
2026-05-11T06:09:47,9.92,162.47
2026-05-11T06:09:52,9.92,162.47
2026-05-11T06:09:57,10.06,169.08
2026-05-11T06:10:02,10.06,169.08
2026-05-11T06:10:07,9.95,170.5
2026-05-11T06:10:12,9.95,170.5
2026-05-11T06:10:17,9.66,163.32
2026-05-11T06:10:22,9.66,163.32
2026-05-11T06:10:27,9.79,163.44
2026-05-11T06:10:32,9.79,163.44
2026-05-11T06:10:37,10.29,171.12
2026-05-11T06:10:42,10.29,171.12
2026-05-11T06:10:47,10.32,176.26
2026-05-11T06:10:52,10.32,176.26
2026-05-11T06:10:57,10.1,170.65
2026-05-11T06:11:02,10.1,170.65
2026-05-11T06:11:07,10.44,158.31
2026-05-11T06:11:12,10.44,158.31
2026-05-11T06:11:17,10.99,169.62
2026-05-11T06:11:22,10.99,169.62
2026-05-11T06:11:27,10.61,179.01
2026-05-11T06:11:32,10.61,179.01
2026-05-11T06:11:37,10.35,172.85
2026-05-11T06:11:42,10.35,172.85
2026-05-11T06:11:47,10.21,172.15
2026-05-11T06:11:52,10.21,172.15
2026-05-11T06:11:57,10.08,173.65
2026-05-11T06:12:02,10.08,173.65
2026-05-11T06:12:07,10.08,169.89
2026-05-11T06:12:12,10.08,169.89
2026-05-11T06:12:17,10.11,171.91
2026-05-11T06:12:22,10.11,171.91
2026-05-11T06:12:27,10.26,179.2
2026-05-11T06:12:32,10.26,179.2
2026-05-11T06:12:37,10.29,182.07
2026-05-11T06:12:42,10.29,182.07
2026-05-11T06:12:47,10.07,174.2
2026-05-11T06:12:52,10.07,174.2
2026-05-11T06:12:57,9.96,167.78
2026-05-11T06:13:02,9.96,167.78
2026-05-11T06:13:07,10.24,168.39
2026-05-11T06:13:12,10.24,168.39
2026-05-11T06:13:17,10.19,169.85
2026-05-11T06:13:22,10.19,169.85
2026-05-11T06:13:27,10.11,174.06
2026-05-11T06:13:32,10.11,174.06
2026-05-11T06:13:37,10.23,177.45
2026-05-11T06:13:42,10.23,177.45
2026-05-11T06:13:47,10.4,172.23
2026-05-11T06:13:52,10.4,172.23
2026-05-11T06:13:57,9.97,163.42
2026-05-11T06:14:02,9.97,163.42
2026-05-11T06:14:07,9.63,163.51
2026-05-11T06:14:12,9.63,163.51
2026-05-11T06:14:17,10.21,174.28
2026-05-11T06:14:22,10.21,174.28
2026-05-11T06:14:27,10.55,179.28
2026-05-11T06:14:32,10.55,179.28
2026-05-11T06:14:37,10.56,180.89
2026-05-11T06:14:42,10.56,180.89
2026-05-11T06:14:47,10.41,174.48
2026-05-11T06:14:52,10.41,174.48
2026-05-11T06:14:57,10.15,170.04
2026-05-11T06:15:02,10.15,170.04
2026-05-11T06:15:07,9.98,171.43
2026-05-11T06:15:12,9.98,171.43
2026-05-11T06:15:17,10.36,165.16
2026-05-11T06:15:22,10.36,165.16
2026-05-11T06:15:27,10.35,161.57
2026-05-11T06:15:32,10.35,161.57
2026-05-11T06:15:37,10.14,170.48
2026-05-11T06:15:42,10.14,170.48
2026-05-11T06:15:47,10.44,171.24
2026-05-11T06:15:52,10.44,171.24
2026-05-11T06:15:57,10.28,161.71
2026-05-11T06:16:02,10.28,161.71
2026-05-11T06:16:07,9.97,160.8
2026-05-11T06:16:12,9.97,160.8
2026-05-11T06:16:17,10.01,166.17
2026-05-11T06:16:22,10.01,166.17
2026-05-11T06:16:27,10.17,166.82
2026-05-11T06:16:32,10.17,166.82
2026-05-11T06:16:37,9.88,154.55
2026-05-11T06:16:42,9.88,154.55
2026-05-11T06:16:47,10.11,170.46
2026-05-11T06:16:52,10.11,170.46
2026-05-11T06:16:57,10.6,189.29
2026-05-11T06:17:02,10.6,189.29
2026-05-11T06:17:07,10.33,175.73
2026-05-11T06:17:12,10.33,175.73
2026-05-11T06:17:17,10.07,162.49
2026-05-11T06:17:22,10.07,162.49
2026-05-11T06:17:27,10.18,165.84
2026-05-11T06:17:32,10.18,165.84
2026-05-11T06:17:37,10.29,172.2
2026-05-11T06:17:42,10.29,172.2
2026-05-11T06:17:47,10.12,170.09
2026-05-11T06:17:52,10.12,170.09
2026-05-11T06:17:57,10.11,170.23
2026-05-11T06:18:02,10.11,170.23
2026-05-11T06:18:07,10.34,172.21
2026-05-11T06:18:12,10.34,172.21
2026-05-11T06:18:17,10.29,175.75
2026-05-11T06:18:22,10.29,175.75
2026-05-11T06:18:27,10.18,175.96
2026-05-11T06:18:32,10.18,175.96
2026-05-11T06:18:37,10.4,172.73
2026-05-11T06:18:42,10.4,172.73
2026-05-11T06:18:47,10.53,170.59
2026-05-11T06:18:52,10.53,170.59
2026-05-11T06:18:57,10.16,162.75
2026-05-11T06:19:02,10.16,162.75
2026-05-11T06:19:07,10.07,157.39
2026-05-11T06:19:12,10.07,157.39
2026-05-11T06:19:17,10.18,162.96
2026-05-11T06:19:22,10.18,162.96
2026-05-11T06:19:27,10.12,166.86
2026-05-11T06:19:32,10.12,166.86
2026-05-11T06:19:37,10.04,168.47
2026-05-11T06:19:42,10.04,168.47
2026-05-11T06:19:47,16.3,165.92
2026-05-11T06:19:52,16.3,165.92
2026-05-11T06:19:57,16.39,163.07
