timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-11T07:10:31,11.4,2463,7941,0,3,100.00,1,9.7,183.9
2026-05-11T07:10:36,29.0,2438,7941,3,2,100.00,11,0.9,186.2
2026-05-11T07:10:41,51.3,2415,7941,0,4,100.00,8,1.8,163.2
2026-05-11T07:10:47,40.9,2400,7941,0,4,100.00,14,2.2,161.1
2026-05-11T07:10:52,14.9,2395,7941,0,4,100.00,6,2.5,164.4
2026-05-11T07:10:57,30.4,2404,7941,3,4,100.00,17,1.8,167.2
2026-05-11T07:11:02,20.3,2403,7941,0,5,100.00,10,1.9,173.4
2026-05-11T07:11:08,15.5,2406,7941,0,3,100.00,14,3.3,175.7
2026-05-11T07:11:13,41.9,2428,7941,7,3,100.00,10,2.5,181.9
2026-05-11T07:11:18,29.9,2421,7941,0,7,100.00,12,2.7,182.1
2026-05-11T07:11:24,28.0,2423,7941,4,3,100.00,9,2.8,191.0
2026-05-11T07:11:29,32.2,2442,7941,0,5,100.00,17,4.6,210.2
2026-05-11T07:11:34,38.8,2458,7941,0,8,100.00,8,3.2,217.4
2026-05-11T07:11:40,6.7,2453,7941,0,8,100.00,13,2.8,217.5
2026-05-11T07:11:45,18.5,2470,7941,0,4,100.00,10,5.6,213.6
2026-05-11T07:11:50,8.3,2450,7941,0,4,100.00,13,4.4,217.1
2026-05-11T07:11:55,19.0,2445,7941,0,3,100.00,16,3.2,217.1
2026-05-11T07:12:00,18.8,2448,7941,0,3,100.00,5,3.2,217.2
2026-05-11T07:12:06,9.5,2444,7941,0,3,100.00,13,5.1,217.3
2026-05-11T07:12:11,7.1,2444,7941,0,3,100.00,4,3.8,217.3
2026-05-11T07:12:16,8.2,2440,7941,0,3,100.00,11,3.7,217.4
2026-05-11T07:12:21,8.5,2445,7941,0,3,100.00,6,5.1,216.7
2026-05-11T07:12:27,9.6,2440,7941,0,3,100.00,15,4.9,216.8
2026-05-11T07:12:32,9.4,2443,7941,0,3,100.00,6,5.5,217.0
2026-05-11T07:12:37,8.9,2443,7941,0,3,100.00,12,4.4,217.1
2026-05-11T07:12:43,17.4,2452,7941,0,4,100.00,11,4.4,217.1
2026-05-11T07:12:48,28.3,2444,7941,0,4,100.00,15,5.2,217.5
2026-05-11T07:12:53,8.1,2448,7941,0,4,100.00,9,3.9,217.6
2026-05-11T07:12:58,9.1,2442,7941,0,3,100.00,11,4.8,217.8
2026-05-11T07:13:03,8.1,2443,7941,1,2,100.00,7,4.8,217.8
2026-05-11T07:13:09,15.3,2444,7941,0,3,100.00,11,3.8,217.8
2026-05-11T07:13:14,15.3,2445,7941,0,3,100.00,9,5.1,218.2
2026-05-11T07:13:19,7.7,2439,7941,1,2,100.00,11,3.7,218.2
2026-05-11T07:13:24,23.5,2448,7941,0,5,100.00,8,6.0,218.9
2026-05-11T07:13:30,8.5,2447,7941,0,5,100.00,15,4.3,218.9
2026-05-11T07:13:35,19.2,2442,7941,0,4,100.00,19,6.8,219.5
2026-05-11T07:13:40,11.1,2446,7941,0,4,100.00,11,3.8,219.6
2026-05-11T07:13:45,7.7,2440,7941,0,3,100.00,13,3.9,219.3
2026-05-11T07:13:51,8.5,2442,7941,0,3,100.00,10,4.9,221.5
2026-05-11T07:13:56,7.8,2443,7941,0,3,100.00,13,3.6,221.5
2026-05-11T07:14:01,9.9,2443,7941,0,3,100.00,12,4.9,221.6
2026-05-11T07:14:06,8.8,2445,7941,0,3,100.00,14,4.5,221.7
2026-05-11T07:14:11,7.2,2448,7941,0,3,100.00,7,3.5,221.7
2026-05-11T07:14:17,8.8,2441,7941,0,3,100.00,13,4.6,221.8
2026-05-11T07:14:22,8.0,2443,7941,0,3,100.00,6,4.0,221.8
2026-05-11T07:14:27,11.5,2446,7941,0,4,100.00,14,4.3,221.9
2026-05-11T07:14:32,11.2,2446,7941,0,4,100.00,7,3.8,221.9
2026-05-11T07:14:38,9.4,2441,7941,0,3,100.00,15,5.1,222.3
2026-05-11T07:14:43,6.7,2445,7941,0,3,100.00,7,3.2,222.3
2026-05-11T07:14:48,28.0,2445,7941,0,4,100.00,15,3.9,222.4
2026-05-11T07:14:53,9.4,2446,7941,0,4,100.00,10,4.8,223.1
2026-05-11T07:14:59,7.3,2444,7941,0,3,100.00,14,3.5,223.2
2026-05-11T07:15:04,21.2,2452,7941,0,3,100.00,10,8.3,223.4
2026-05-11T07:15:09,10.5,2446,7941,0,3,100.00,12,4.6,223.5
2026-05-11T07:15:14,9.6,2442,7941,0,3,100.00,10,4.8,223.6
2026-05-11T07:15:20,15.8,2446,7941,1,3,100.00,12,3.4,223.6
2026-05-11T07:15:25,17.1,2448,7941,0,5,100.00,15,4.1,223.6
2026-05-11T07:15:30,8.2,2449,7941,0,5,100.00,7,4.1,223.9
2026-05-11T07:15:35,13.8,2455,7941,1,5,100.00,15,3.9,223.9
2026-05-11T07:15:41,18.1,2454,7941,0,6,100.00,9,4.0,224.5
2026-05-11T07:15:46,13.7,2451,7941,0,4,100.00,17,4.8,225.9
2026-05-11T07:15:51,8.1,2449,7941,0,4,100.00,10,3.2,225.9
2026-05-11T07:15:56,7.5,2445,7941,0,3,100.00,17,3.4,226.2
2026-05-11T07:16:02,9.4,2448,7941,0,3,100.00,9,4.9,226.5
2026-05-11T07:16:07,9.7,2446,7941,0,3,100.00,18,3.9,226.6
2026-05-11T07:16:12,8.2,2449,7941,0,3,100.00,9,4.6,226.7
2026-05-11T07:16:17,9.0,2445,7941,0,3,100.00,13,4.1,226.7
2026-05-11T07:16:22,8.8,2437,7941,0,3,100.00,11,5.1,197.8
2026-05-11T07:16:28,13.7,2431,7941,0,4,100.00,15,5.6,206.9
2026-05-11T07:16:33,9.7,2432,7941,0,4,100.00,11,5.3,208.4
2026-05-11T07:16:38,11.6,2443,7941,0,4,100.00,14,4.1,221.1
2026-05-11T07:16:43,7.1,2444,7941,0,4,100.00,7,3.5,222.4
2026-05-11T07:16:49,21.6,2450,7941,3,3,100.00,13,5.2,224.4
2026-05-11T07:16:54,53.6,2458,7941,4,3,100.00,14,4.3,224.4
2026-05-11T07:16:59,15.6,2452,7941,0,5,100.00,15,3.6,226.0
2026-05-11T07:17:05,53.4,2466,7941,3,6,100.00,8,4.5,227.8
2026-05-11T07:17:10,17.6,2464,7941,0,7,100.00,13,3.4,228.1
2026-05-11T07:17:15,7.8,2449,7941,0,3,100.00,18,3.7,228.2
2026-05-11T07:17:20,8.5,2453,7941,0,3,100.00,8,4.5,228.9
2026-05-11T07:17:26,66.6,2473,7941,0,7,100.00,20,4.2,229.2
2026-05-11T07:17:31,42.8,2477,7941,0,7,100.00,13,3.2,229.3
2026-05-11T07:17:36,16.6,2466,7941,0,7,100.00,12,3.3,229.3
2026-05-11T07:17:41,15.7,2459,7941,0,4,100.00,10,3.3,229.7
2026-05-11T07:17:47,44.5,2471,7941,0,5,100.00,14,4.8,233.0
2026-05-11T07:17:52,39.7,2468,7941,0,5,100.00,13,3.4,233.2
2026-05-11T07:17:57,29.7,2463,7941,0,5,100.00,17,4.3,233.3
2026-05-11T07:18:02,8.4,2462,7941,0,5,100.00,9,4.8,233.3
2026-05-11T07:18:07,35.8,2466,7941,0,5,100.00,19,3.7,233.3
2026-05-11T07:18:13,7.4,2466,7941,0,5,100.00,9,3.7,233.3
2026-05-11T07:18:18,7.5,2458,7941,0,3,100.00,17,3.2,233.3
2026-05-11T07:18:23,7.3,2462,7941,0,5,100.00,5,3.3,233.5
2026-05-11T07:18:28,8.5,2463,7941,0,5,100.00,12,4.5,235.5
2026-05-11T07:18:34,17.2,2461,7941,0,3,100.00,8,3.2,235.6
2026-05-11T07:18:39,20.0,2466,7941,0,5,100.00,14,3.5,235.6
2026-05-11T07:18:44,7.1,2465,7941,0,5,100.00,6,4.0,235.9
2026-05-11T07:18:49,7.4,2457,7941,0,3,100.00,16,3.5,235.9
2026-05-11T07:18:55,15.2,2463,7941,0,4,100.00,6,2.8,235.9
2026-05-11T07:19:00,14.1,2459,7941,0,4,100.00,13,4.2,235.9
2026-05-11T07:19:05,28.0,2467,7941,0,6,100.00,16,4.3,235.9
2026-05-11T07:19:10,9.1,2462,7941,0,6,100.00,3,3.9,235.9
2026-05-11T07:19:16,20.3,2461,7941,0,4,100.00,19,3.9,235.9
2026-05-11T07:19:21,6.9,2463,7941,0,4,100.00,6,3.2,235.9
2026-05-11T07:19:26,9.5,2457,7941,0,3,100.00,14,4.3,235.9
2026-05-11T07:19:31,15.5,2469,7941,1,3,100.00,6,3.4,235.9
2026-05-11T07:19:37,15.4,2460,7941,0,4,100.00,14,4.2,235.9
2026-05-11T07:19:42,6.6,2461,7941,0,4,100.00,4,3.1,236.0
2026-05-11T07:19:47,14.5,2460,7941,0,4,100.00,12,3.6,236.0
2026-05-11T07:19:52,17.0,2461,7941,0,4,100.00,10,4.8,236.1
2026-05-11T07:19:57,8.4,2463,7941,0,4,100.00,13,3.6,236.2
2026-05-11T07:20:03,18.2,2463,7941,0,4,100.00,9,6.7,236.3
2026-05-11T07:20:08,11.7,2462,7941,0,4,100.00,14,5.8,235.9
2026-05-11T07:20:13,8.7,2460,7941,0,3,100.00,6,4.3,235.9
2026-05-11T07:20:19,10.5,2457,7941,0,3,100.00,11,5.7,236.1
2026-05-11T07:20:24,7.8,2462,7941,0,3,100.00,9,3.6,236.1
2026-05-11T07:20:29,11.6,2459,7941,0,4,100.00,13,5.3,236.2
2026-05-11T07:20:35,7.8,2466,7941,0,4,100.00,9,3.7,236.2
2026-05-11T07:20:40,7.8,2458,7941,0,3,100.00,15,3.3,236.2
2026-05-11T07:20:45,11.9,2463,7941,0,4,100.00,13,3.6,236.2
2026-05-11T07:20:50,7.9,2465,7941,0,4,100.00,8,4.7,236.2
2026-05-11T07:20:56,11.2,2461,7941,0,3,100.00,16,3.2,236.2
2026-05-11T07:21:01,19.1,2462,7941,1,3,100.00,9,3.4,236.2
2026-05-11T07:21:06,11.2,2464,7941,0,4,100.00,15,5.8,236.2
2026-05-11T07:21:11,11.1,2460,7941,0,3,100.00,8,3.6,236.2
2026-05-11T07:21:17,18.2,2464,7941,0,3,100.00,15,3.2,236.2
2026-05-11T07:21:22,8.6,2465,7941,0,3,100.00,9,4.6,236.2
2026-05-11T07:21:27,8.9,2459,7941,0,3,100.00,14,3.7,236.2
2026-05-11T07:21:32,10.9,2464,7941,0,4,100.00,11,3.4,236.2
2026-05-11T07:21:38,8.8,2461,7941,0,4,100.00,16,3.2,236.2
2026-05-11T07:21:43,11.2,2461,7941,0,4,100.00,9,4.4,236.2
2026-05-11T07:21:48,7.3,2462,7941,0,4,100.00,17,3.4,236.2
2026-05-11T07:21:53,33.1,2467,7941,0,6,100.00,9,4.8,236.2
2026-05-11T07:21:59,7.8,2470,7941,0,6,100.00,15,4.0,236.2
2026-05-11T07:22:04,11.8,2460,7941,0,3,100.00,14,3.6,236.3
2026-05-11T07:22:09,8.9,2460,7941,0,3,100.00,13,4.3,236.3
2026-05-11T07:22:14,9.4,2461,7941,0,4,100.00,9,3.8,236.3
2026-05-11T07:22:20,7.7,2461,7941,0,4,100.00,14,3.3,236.3
2026-05-11T07:22:25,7.3,2460,7941,0,3,100.00,12,3.6,236.3
2026-05-11T07:22:30,9.3,2461,7941,0,4,100.00,8,4.7,236.3
2026-05-11T07:22:35,7.8,2457,7941,0,3,100.00,11,3.3,236.3
2026-05-11T07:22:41,6.9,2458,7941,0,3,100.00,8,3.4,236.3
2026-05-11T07:22:46,10.1,2457,7941,0,3,100.00,12,4.2,236.3
2026-05-11T07:22:51,11.1,2461,7941,0,3,100.00,5,3.3,236.3
2026-05-11T07:22:56,9.0,2460,7941,0,3,100.00,12,4.5,236.3
2026-05-11T07:23:02,19.7,2469,7941,0,5,100.00,13,3.4,236.3
2026-05-11T07:23:07,23.4,2465,7941,0,5,100.00,12,3.9,236.4
2026-05-11T07:23:12,24.8,2475,7941,0,5,100.00,7,4.4,236.4
2026-05-11T07:23:17,8.5,2466,7941,0,5,100.00,16,3.6,236.4
2026-05-11T07:23:23,40.2,2469,7941,0,6,100.00,9,4.6,236.4
2026-05-11T07:23:28,7.9,2466,7941,0,6,100.00,13,3.4,236.4
2026-05-11T07:23:33,7.5,2458,7941,0,3,100.00,7,3.4,236.4
2026-05-11T07:23:38,24.8,2462,7941,0,5,100.00,15,4.8,236.4
2026-05-11T07:23:43,16.7,2465,7941,0,5,100.00,10,3.3,236.5
2026-05-11T07:23:49,24.9,2473,7941,5,3,100.00,13,4.7,236.5
2026-05-11T07:23:54,52.9,2481,7941,4,7,100.00,12,4.0,236.6
2026-05-11T07:23:59,58.2,2494,7941,4,8,100.00,19,3.1,236.7
2026-05-11T07:24:05,29.4,2472,7941,0,5,100.00,14,4.9,236.7
2026-05-11T07:24:10,45.4,2476,7941,0,5,100.00,18,3.3,236.7
2026-05-11T07:24:15,22.8,2465,7941,0,5,100.00,13,3.3,236.7
2026-05-11T07:24:20,6.8,2464,7941,0,5,100.00,8,2.9,236.7
2026-05-11T07:24:26,18.6,2469,7941,0,5,100.00,16,4.5,236.7
2026-05-11T07:24:31,15.8,2468,7941,0,5,100.00,8,2.9,236.8
2026-05-11T07:24:36,7.7,2461,7941,0,4,100.00,11,3.2,236.8
2026-05-11T07:24:41,8.7,2460,7941,0,3,100.00,9,5.0,236.9
2026-05-11T07:24:47,21.4,2466,7941,3,3,100.00,11,3.0,236.9
2026-05-11T07:24:52,13.0,2468,7941,0,4,100.00,9,4.3,236.9
2026-05-11T07:24:57,7.1,2464,7941,0,3,100.00,15,3.1,236.9
2026-05-11T07:25:03,25.5,2468,7941,0,5,100.00,5,4.4,236.9
2026-05-11T07:25:08,15.6,2465,7941,0,5,100.00,15,4.9,236.9
2026-05-11T07:25:13,11.8,2460,7941,0,4,100.00,8,3.6,236.9
2026-05-11T07:25:19,21.0,2477,7941,0,5,100.00,12,4.4,236.9
2026-05-11T07:25:24,13.2,2463,7941,0,5,100.00,6,3.4,236.9
2026-05-11T07:25:29,8.7,2462,7941,0,4,100.00,16,3.1,236.9
2026-05-11T07:25:34,7.4,2467,7941,0,4,100.00,5,4.1,236.9
2026-05-11T07:25:39,11.6,2462,7941,0,4,100.00,11,3.5,236.9
2026-05-11T07:25:45,7.3,2462,7941,0,4,100.00,10,3.4,236.9
2026-05-11T07:25:50,9.7,2459,7941,0,3,100.00,11,3.1,236.9
2026-05-11T07:25:55,8.1,2458,7941,0,3,100.00,14,4.2,236.9
2026-05-11T07:26:00,21.5,2465,7941,0,4,100.00,12,3.3,237.4
2026-05-11T07:26:06,22.9,2463,7941,0,4,100.00,15,3.4,237.4
2026-05-11T07:26:11,7.0,2462,7941,0,4,100.00,8,3.3,237.4
2026-05-11T07:26:16,18.9,2462,7941,0,5,100.00,16,3.6,237.4
2026-05-11T07:26:21,15.5,2466,7941,0,5,100.00,12,4.3,237.4
2026-05-11T07:26:27,10.2,2460,7941,0,4,100.00,17,3.3,237.4
2026-05-11T07:26:32,7.0,2456,7941,1,2,100.00,9,3.2,237.4
2026-05-11T07:26:37,7.9,2457,7941,0,3,100.00,20,3.1,237.4
2026-05-11T07:26:42,7.7,2460,7941,0,3,100.00,10,4.2,237.4
2026-05-11T07:26:48,7.3,2458,7941,0,3,100.00,11,3.0,237.4
2026-05-11T07:26:53,7.1,2471,7941,0,3,100.00,14,3.6,237.4
2026-05-11T07:26:58,7.1,2456,7941,0,3,100.00,15,3.2,237.4
2026-05-11T07:27:03,6.9,2460,7941,0,3,100.00,8,3.2,237.4
2026-05-11T07:27:08,8.8,2460,7941,0,3,100.00,16,4.3,237.6
2026-05-11T07:27:14,16.6,2459,7941,0,4,100.00,11,3.6,237.6
2026-05-11T07:27:19,7.4,2459,7941,0,4,100.00,12,3.1,237.6
2026-05-11T07:27:24,13.8,2465,7941,0,4,100.00,6,3.2,237.6
2026-05-11T07:27:29,18.6,2459,7941,0,4,100.00,13,3.3,237.6
2026-05-11T07:27:35,7.6,2461,7941,0,3,100.00,9,3.6,239.1
2026-05-11T07:27:40,9.0,2464,7941,0,3,100.00,13,4.9,240.6
2026-05-11T07:27:45,11.8,2466,7941,1,4,100.00,17,4.5,240.6
2026-05-11T07:27:50,10.2,2469,7941,0,5,100.00,12,4.9,240.6
2026-05-11T07:27:56,11.8,2464,7941,0,4,100.00,19,5.6,240.8
2026-05-11T07:28:01,12.0,2469,7941,0,4,100.00,6,4.7,240.8
2026-05-11T07:28:06,22.6,2469,7941,0,4,100.00,18,5.2,240.8
2026-05-11T07:28:11,18.7,2466,7941,0,4,100.00,13,5.7,240.8
2026-05-11T07:28:17,14.8,2463,7941,0,4,100.00,18,5.8,240.8
2026-05-11T07:28:22,16.6,2463,7941,0,4,100.00,14,6.2,240.8
2026-05-11T07:28:27,25.4,2465,7941,0,5,100.00,16,6.8,240.8
2026-05-11T07:28:32,11.7,2471,7941,0,5,100.00,14,5.9,240.9
2026-05-11T07:28:37,11.7,2465,7941,0,3,100.00,16,6.6,240.9
2026-05-11T07:28:43,9.8,2464,7941,0,3,100.00,13,5.6,240.9
2026-05-11T07:28:48,10.3,2463,7941,0,3,100.00,19,5.4,240.9
2026-05-11T07:28:53,11.1,2466,7941,0,5,100.00,14,6.9,240.9
