timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-11T09:39:08,14.9,2350,7941,0,3,100.00,7,11.3,135.2
2026-05-11T09:39:13,40.3,2345,7941,0,5,100.00,5,1.3,138.7
2026-05-11T09:39:18,14.0,2356,7941,0,5,100.00,10,0.6,141.2
2026-05-11T09:39:23,32.0,2346,7941,0,5,100.00,8,3.1,119.0
2026-05-11T09:39:29,40.8,2354,7941,0,7,100.00,16,1.7,122.8
2026-05-11T09:39:34,17.2,2330,7941,0,7,100.00,7,1.7,121.5
2026-05-11T09:39:39,31.6,2336,7941,7,1,100.00,17,2.0,126.2
2026-05-11T09:39:44,43.5,2349,7941,3,5,100.00,12,2.7,141.2
2026-05-11T09:39:50,46.5,2359,7941,0,7,100.00,16,1.8,142.3
2026-05-11T09:39:55,40.0,2366,7941,0,7,100.00,16,2.7,147.8
2026-05-11T09:40:00,6.3,2357,7941,0,4,100.00,5,2.1,158.1
2026-05-11T09:40:05,31.2,2372,7941,6,2,100.00,14,5.3,164.5
2026-05-11T09:40:11,46.7,2374,7941,0,7,100.00,8,2.7,164.7
2026-05-11T09:40:16,6.6,2373,7941,0,7,100.00,14,2.4,165.4
2026-05-11T09:40:22,43.7,2391,7941,0,5,100.00,11,5.0,165.5
2026-05-11T09:40:27,7.3,2381,7941,0,5,100.00,14,3.6,175.0
2026-05-11T09:40:32,6.1,2376,7941,0,3,100.00,6,2.6,179.0
2026-05-11T09:40:37,7.1,2377,7941,0,3,100.00,10,3.1,179.1
2026-05-11T09:40:42,5.4,2379,7941,0,3,100.00,5,2.2,179.9
2026-05-11T09:40:48,7.4,2383,7941,0,3,100.00,10,3.5,181.3
2026-05-11T09:40:53,6.7,2382,7941,0,3,100.00,9,3.1,181.3
2026-05-11T09:40:58,7.1,2381,7941,0,3,100.00,9,3.2,183.0
2026-05-11T09:41:03,6.6,2385,7941,0,3,100.00,7,3.0,183.0
2026-05-11T09:41:09,8.5,2380,7941,0,3,100.00,11,4.4,179.4
2026-05-11T09:41:14,6.7,2380,7941,0,3,100.00,6,2.8,179.4
2026-05-11T09:41:19,7.4,2377,7941,0,3,100.00,14,3.5,179.4
2026-05-11T09:41:24,7.1,2387,7941,0,4,100.00,5,3.1,180.1
2026-05-11T09:41:29,21.1,2383,7941,0,5,100.00,13,3.8,180.6
2026-05-11T09:41:35,8.6,2383,7941,0,5,100.00,11,3.4,180.7
2026-05-11T09:41:40,16.5,2383,7941,0,4,100.00,13,3.3,180.7
2026-05-11T09:41:45,11.5,2381,7941,0,3,100.00,16,3.6,180.8
2026-05-11T09:41:50,17.5,2382,7941,0,4,100.00,7,3.1,180.8
2026-05-11T09:41:56,13.3,2382,7941,0,4,100.00,13,2.6,180.9
2026-05-11T09:42:01,15.2,2381,7941,0,4,100.00,8,3.4,180.9
2026-05-11T09:42:06,14.1,2383,7941,0,4,100.00,14,4.0,182.5
2026-05-11T09:42:11,11.0,2383,7941,0,4,100.00,7,4.2,182.8
2026-05-11T09:42:16,10.0,2381,7941,0,3,100.00,12,2.3,182.8
2026-05-11T09:42:22,7.1,2384,7941,0,3,100.00,7,2.6,182.8
2026-05-11T09:42:27,15.3,2383,7941,0,4,100.00,14,3.7,183.1
2026-05-11T09:42:32,7.0,2386,7941,0,4,100.00,12,3.6,186.8
2026-05-11T09:42:37,6.6,2384,7941,0,3,100.00,13,2.6,186.8
2026-05-11T09:42:43,6.8,2392,7941,0,3,100.00,9,3.7,187.0
2026-05-11T09:42:48,7.0,2386,7941,0,3,100.00,12,2.9,187.0
2026-05-11T09:42:53,6.3,2389,7941,0,3,100.00,9,2.8,187.0
2026-05-11T09:42:58,6.6,2385,7941,0,3,100.00,18,2.6,187.0
2026-05-11T09:43:03,7.1,2386,7941,0,3,100.00,4,3.6,187.5
2026-05-11T09:43:09,6.7,2385,7941,0,3,100.00,11,2.5,187.5
2026-05-11T09:43:14,6.0,2391,7941,0,3,100.00,7,2.8,187.6
2026-05-11T09:43:19,6.8,2388,7941,0,4,100.00,14,2.9,187.6
2026-05-11T09:43:24,7.5,2397,7941,0,4,100.00,7,3.5,188.8
2026-05-11T09:43:30,7.5,2387,7941,0,3,100.00,13,2.4,188.8
2026-05-11T09:43:35,9.6,2391,7941,2,2,100.00,10,2.8,188.9
2026-05-11T09:43:40,15.2,2391,7941,1,3,100.00,12,3.4,189.4
2026-05-11T09:43:45,12.6,2398,7941,0,4,100.00,11,2.5,189.5
2026-05-11T09:43:51,11.2,2396,7941,0,4,100.00,7,2.9,189.6
2026-05-11T09:43:56,11.9,2390,7941,0,4,100.00,13,2.6,189.8
2026-05-11T09:44:01,15.8,2396,7941,0,4,100.00,7,3.2,190.2
2026-05-11T09:44:06,8.3,2391,7941,0,4,100.00,12,2.7,190.2
2026-05-11T09:44:12,17.8,2395,7941,1,3,100.00,11,2.6,190.2
2026-05-11T09:44:17,10.0,2391,7941,0,4,100.00,16,2.7,190.4
2026-05-11T09:44:22,9.3,2395,7941,0,4,100.00,10,3.8,190.5
2026-05-11T09:44:27,13.1,2394,7941,1,3,100.00,19,2.8,190.7
2026-05-11T09:44:33,12.5,2395,7941,0,4,100.00,9,2.8,190.8
2026-05-11T09:44:38,6.6,2394,7941,0,3,100.00,16,2.5,190.9
2026-05-11T09:44:43,20.3,2396,7941,0,4,100.00,15,3.7,191.3
2026-05-11T09:44:48,6.6,2394,7941,0,3,100.00,15,2.6,191.3
2026-05-11T09:44:53,6.7,2393,7941,0,3,100.00,11,2.7,191.3
2026-05-11T09:44:59,7.1,2398,7941,0,3,100.00,16,3.0,192.0
2026-05-11T09:45:04,9.3,2392,7941,0,3,100.00,12,6.7,192.0
2026-05-11T09:45:09,10.9,2381,7941,0,3,100.00,14,5.4,160.1
2026-05-11T09:45:15,6.6,2376,7941,0,3,100.00,6,2.8,166.0
2026-05-11T09:45:20,7.5,2373,7941,0,3,100.00,16,3.7,169.2
2026-05-11T09:45:25,7.2,2372,7941,0,4,100.00,19,3.4,175.4
2026-05-11T09:45:30,8.9,2381,7941,3,2,100.00,10,3.2,175.8
2026-05-11T09:45:36,26.3,2391,7941,5,3,100.00,16,4.0,182.8
2026-05-11T09:45:41,16.3,2397,7941,0,5,100.00,9,3.4,189.1
2026-05-11T09:45:46,30.7,2368,7941,4,3,100.00,17,2.5,189.7
2026-05-11T09:45:52,58.2,2386,7941,0,9,100.00,12,3.8,191.3
2026-05-11T09:45:57,31.4,2387,7941,0,9,100.00,14,2.5,191.5
2026-05-11T09:46:02,24.0,2381,7941,0,5,100.00,12,2.7,191.5
2026-05-11T09:46:07,9.5,2383,7941,4,2,100.00,11,2.5,191.6
2026-05-11T09:46:13,44.8,2389,7941,0,7,100.00,11,3.6,192.3
2026-05-11T09:46:18,53.6,2383,7941,0,7,100.00,19,2.6,192.4
2026-05-11T09:46:23,6.7,2377,7941,0,5,100.00,6,2.7,192.6
2026-05-11T09:46:28,29.0,2389,7941,6,2,100.00,19,3.8,192.6
2026-05-11T09:46:34,55.9,2384,7941,0,5,100.00,13,3.2,192.7
2026-05-11T09:46:39,14.9,2382,7941,4,3,100.00,14,2.8,192.8
2026-05-11T09:46:45,37.9,2387,7941,4,5,100.00,10,3.0,192.8
2026-05-11T09:46:50,15.0,2386,7941,0,7,100.00,16,3.2,193.6
2026-05-11T09:46:55,6.1,2383,7941,0,3,100.00,11,2.3,193.7
2026-05-11T09:47:00,5.8,2382,7941,0,3,100.00,7,2.4,193.7
2026-05-11T09:47:05,6.7,2378,7941,0,3,100.00,13,2.4,193.7
2026-05-11T09:47:11,17.9,2387,7941,0,5,100.00,8,3.5,193.9
2026-05-11T09:47:16,6.5,2385,7941,0,5,100.00,14,2.3,193.9
2026-05-11T09:47:21,6.5,2374,7941,0,3,100.00,12,3.0,193.9
2026-05-11T09:47:26,6.4,2375,7941,0,3,100.00,12,2.3,193.9
2026-05-11T09:47:32,12.8,2380,7941,0,3,100.00,7,3.1,193.9
2026-05-11T09:47:37,7.4,2376,7941,0,3,100.00,15,2.4,193.9
2026-05-11T09:47:42,5.3,2379,7941,0,3,100.00,6,2.3,193.9
2026-05-11T09:47:47,14.9,2379,7941,0,3,100.00,16,2.9,193.9
2026-05-11T09:47:53,6.6,2384,7941,1,2,100.00,6,3.0,194.1
2026-05-11T09:47:58,10.6,2372,7941,0,4,100.00,12,2.4,194.1
2026-05-11T09:48:03,6.5,2380,7941,0,4,100.00,7,2.3,194.1
2026-05-11T09:48:08,10.9,2383,7941,0,5,100.00,14,3.1,194.4
2026-05-11T09:48:13,11.1,2381,7941,0,5,100.00,8,2.4,194.4
2026-05-11T09:48:19,12.8,2376,7941,0,4,100.00,15,2.5,194.4
2026-05-11T09:48:24,16.5,2381,7941,0,4,100.00,7,2.5,194.5
2026-05-11T09:48:29,14.7,2380,7941,0,4,100.00,12,3.3,194.5
2026-05-11T09:48:34,13.0,2384,7941,0,4,100.00,12,2.5,194.5
2026-05-11T09:48:39,13.1,2386,7941,0,4,100.00,13,2.5,194.5
2026-05-11T09:48:45,16.6,2385,7941,0,4,100.00,10,2.3,194.5
2026-05-11T09:48:50,6.7,2381,7941,0,4,100.00,10,2.9,194.5
2026-05-11T09:48:55,7.4,2380,7941,0,3,100.00,13,2.2,194.2
2026-05-11T09:49:00,6.0,2384,7941,0,3,100.00,8,2.4,194.2
2026-05-11T09:49:06,6.8,2382,7941,0,3,100.00,12,2.6,194.2
2026-05-11T09:49:11,6.3,2388,7941,0,3,100.00,10,2.6,194.2
2026-05-11T09:49:16,9.8,2384,7941,0,3,100.00,14,3.2,194.6
2026-05-11T09:49:21,7.8,2375,7941,0,3,100.00,7,4.8,161.3
2026-05-11T09:49:26,6.4,2357,7941,0,3,100.00,15,2.6,166.6
2026-05-11T09:49:32,9.8,2371,7941,0,5,100.00,11,4.7,174.6
2026-05-11T09:49:37,7.6,2368,7941,0,5,100.00,17,3.0,175.3
2026-05-11T09:49:42,6.8,2365,7941,0,3,100.00,14,3.5,176.4
2026-05-11T09:49:47,7.2,2381,7941,0,4,100.00,20,3.2,188.7
2026-05-11T09:49:53,12.8,2383,7941,0,4,100.00,13,3.3,188.8
2026-05-11T09:49:58,8.4,2384,7941,0,4,100.00,20,2.7,190.9
2026-05-11T09:50:03,7.7,2378,7941,0,3,100.00,10,4.6,192.2
2026-05-11T09:50:08,14.3,2380,7941,0,4,100.00,12,3.6,192.4
2026-05-11T09:50:14,12.7,2380,7941,0,4,100.00,9,2.7,192.5
2026-05-11T09:50:19,14.0,2384,7941,0,4,100.00,17,3.5,192.9
2026-05-11T09:50:24,9.7,2377,7941,0,4,100.00,12,3.9,192.9
2026-05-11T09:50:29,11.6,2382,7941,0,4,100.00,13,2.3,192.9
2026-05-11T09:50:35,7.9,2381,7941,0,4,100.00,10,2.8,193.0
2026-05-11T09:50:40,18.2,2379,7941,3,3,100.00,19,2.6,193.0
2026-05-11T09:50:45,19.1,2380,7941,1,3,100.00,19,3.9,193.4
2026-05-11T09:50:50,11.0,2375,7941,0,3,100.00,12,2.8,193.4
2026-05-11T09:50:56,12.1,2376,7941,0,4,100.00,15,2.2,193.4
2026-05-11T09:51:01,10.0,2377,7941,0,4,100.00,6,3.2,193.5
2026-05-11T09:51:06,8.0,2375,7941,0,4,100.00,13,2.9,193.5
2026-05-11T09:51:11,6.0,2374,7941,0,3,100.00,4,2.1,193.5
2026-05-11T09:51:17,6.0,2377,7941,0,5,100.00,9,2.3,193.5
2026-05-11T09:51:22,6.0,2384,7941,0,5,100.00,8,2.2,193.6
2026-05-11T09:51:27,7.5,2372,7941,0,3,100.00,13,3.5,193.6
2026-05-11T09:51:32,6.1,2374,7941,0,3,100.00,6,2.2,193.6
2026-05-11T09:51:37,6.1,2375,7941,0,3,100.00,15,2.2,193.6
2026-05-11T09:51:43,5.8,2376,7941,0,3,100.00,8,2.3,193.6
2026-05-11T09:51:48,6.8,2379,7941,0,3,100.00,11,3.0,194.4
2026-05-11T09:51:53,7.6,2368,7941,0,3,100.00,11,4.3,161.0
2026-05-11T09:51:58,8.1,2366,7941,0,3,100.00,13,4.3,165.0
2026-05-11T09:52:04,34.7,2366,7941,0,5,100.00,10,4.0,169.0
2026-05-11T09:52:09,16.9,2368,7941,0,5,100.00,13,3.2,175.3
2026-05-11T09:52:14,23.2,2368,7941,0,4,100.00,9,3.2,175.6
2026-05-11T09:52:19,24.4,2390,7941,5,3,100.00,16,4.1,182.2
2026-05-11T09:52:25,54.1,2385,7941,4,5,100.00,12,3.3,189.5
2026-05-11T09:52:30,32.0,2381,7941,0,5,100.00,14,3.4,190.1
2026-05-11T09:52:35,6.7,2373,7941,0,3,100.00,13,2.6,191.8
2026-05-11T09:52:41,28.3,2384,7941,0,5,100.00,11,3.9,193.5
2026-05-11T09:52:46,67.7,2400,7941,7,6,100.00,18,2.8,193.5
2026-05-11T09:52:51,50.8,2398,7941,0,10,100.00,15,2.7,193.5
2026-05-11T09:52:56,70.8,2396,7941,0,11,100.00,17,2.4,193.6
2026-05-11T09:53:02,7.6,2400,7941,0,11,100.00,8,4.2,193.6
2026-05-11T09:53:07,38.2,2384,7941,3,3,100.00,17,2.6,193.6
2026-05-11T09:53:12,25.3,2390,7941,0,5,100.00,15,3.3,193.7
2026-05-11T09:53:17,6.8,2385,7941,0,5,100.00,10,3.0,193.9
2026-05-11T09:53:23,6.1,2372,7941,0,3,100.00,11,2.4,194.0
2026-05-11T09:53:28,6.5,2378,7941,0,3,100.00,12,2.7,194.0
2026-05-11T09:53:33,7.1,2375,7941,0,3,100.00,6,2.8,194.1
2026-05-11T09:53:38,7.4,2372,7941,0,3,100.00,14,3.5,194.2
2026-05-11T09:53:44,5.8,2376,7941,0,3,100.00,7,2.5,194.3
2026-05-11T09:53:49,6.3,2376,7941,0,3,100.00,12,2.5,194.4
2026-05-11T09:53:54,6.8,2379,7941,0,3,100.00,6,3.2,194.6
2026-05-11T09:53:59,6.4,2374,7941,0,3,100.00,13,2.3,194.6
2026-05-11T09:54:04,6.3,2378,7941,0,3,100.00,7,2.8,194.6
2026-05-11T09:54:10,23.7,2385,7941,0,4,100.00,15,2.6,194.6
2026-05-11T09:54:15,7.4,2386,7941,0,4,100.00,14,3.4,194.6
