timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-11T11:34:57,0.18,0.22
2026-05-11T11:35:02,0.18,0.22
2026-05-11T11:35:07,0.19,0.2
2026-05-11T11:35:12,0.19,0.2
2026-05-11T11:35:17,0.34,0.63
2026-05-11T11:35:22,0.34,0.63
2026-05-11T11:35:27,0.4,0.68
2026-05-11T11:35:32,0.4,0.68
2026-05-11T11:35:37,0.69,0.63
2026-05-11T11:35:42,0.69,0.63
2026-05-11T11:35:47,0.6,0.57
2026-05-11T11:35:52,0.6,0.57
2026-05-11T11:35:57,0.52,3.92
2026-05-11T11:36:02,0.52,3.92
2026-05-11T11:36:07,1.12,9.1
2026-05-11T11:36:12,1.12,9.1
2026-05-11T11:36:17,1.97,18.55
2026-05-11T11:36:22,1.97,18.55
2026-05-11T11:36:27,2.89,31.73
2026-05-11T11:36:32,2.89,31.73
2026-05-11T11:36:37,4.16,41.17
2026-05-11T11:36:42,4.16,41.17
2026-05-11T11:36:47,4.99,54.78
2026-05-11T11:36:52,4.99,54.78
2026-05-11T11:36:57,5.58,72.59
2026-05-11T11:37:02,5.58,72.59
2026-05-11T11:37:07,6.82,89.51
2026-05-11T11:37:12,6.82,89.51
2026-05-11T11:37:17,7.56,98.46
2026-05-11T11:37:22,7.56,98.46
2026-05-11T11:37:27,8.35,109.87
2026-05-11T11:37:32,8.35,109.87
2026-05-11T11:37:37,9.68,135.38
2026-05-11T11:37:42,9.68,135.38
2026-05-11T11:37:47,10.72,154.39
2026-05-11T11:37:52,10.72,154.39
2026-05-11T11:37:57,11.06,159.1
2026-05-11T11:38:02,11.06,159.1
2026-05-11T11:38:07,11.45,170.18
2026-05-11T11:38:12,11.45,170.18
2026-05-11T11:38:17,11.55,174.05
2026-05-11T11:38:22,11.55,174.05
2026-05-11T11:38:27,11.0,166.55
2026-05-11T11:38:32,11.0,166.55
2026-05-11T11:38:37,10.96,172.57
2026-05-11T11:38:42,10.96,172.57
2026-05-11T11:38:47,11.35,180.96
2026-05-11T11:38:52,11.35,180.96
2026-05-11T11:38:57,11.51,181.2
2026-05-11T11:39:02,11.51,181.2
2026-05-11T11:39:07,11.18,170.63
2026-05-11T11:39:12,11.18,170.63
2026-05-11T11:39:17,11.38,170.02
2026-05-11T11:39:22,11.38,170.02
2026-05-11T11:39:27,11.42,172.19
2026-05-11T11:39:32,11.42,172.19
2026-05-11T11:39:37,11.2,172.57
2026-05-11T11:39:42,11.2,172.57
2026-05-11T11:39:47,11.56,179.8
2026-05-11T11:39:52,11.56,179.8
2026-05-11T11:39:57,11.61,178.29
2026-05-11T11:40:02,11.61,178.29
2026-05-11T11:40:07,11.34,174.96
2026-05-11T11:40:12,11.34,174.96
2026-05-11T11:40:17,11.1,174.04
2026-05-11T11:40:22,11.1,174.04
2026-05-11T11:40:27,10.95,174.53
2026-05-11T11:40:32,10.95,174.53
2026-05-11T11:40:37,11.33,172.43
2026-05-11T11:40:42,11.33,172.43
2026-05-11T11:40:47,11.73,170.12
2026-05-11T11:40:52,11.73,170.12
2026-05-11T11:40:57,11.44,170.38
2026-05-11T11:41:02,11.44,170.38
2026-05-11T11:41:07,11.28,163.57
2026-05-11T11:41:12,11.28,163.57
2026-05-11T11:41:17,11.96,163.01
2026-05-11T11:41:22,11.96,163.01
2026-05-11T11:41:27,12.17,172.34
2026-05-11T11:41:32,12.17,172.34
2026-05-11T11:41:37,11.4,165.28
2026-05-11T11:41:42,11.4,165.28
2026-05-11T11:41:47,11.19,160.99
2026-05-11T11:41:52,11.19,160.99
2026-05-11T11:41:57,11.23,162.11
2026-05-11T11:42:02,11.23,162.11
2026-05-11T11:42:07,11.37,169.31
2026-05-11T11:42:12,11.37,169.31
2026-05-11T11:42:17,11.32,169.71
2026-05-11T11:42:22,11.32,169.71
2026-05-11T11:42:27,11.07,162.42
2026-05-11T11:42:32,11.07,162.42
2026-05-11T11:42:37,11.4,166.57
2026-05-11T11:42:42,11.4,166.57
2026-05-11T11:42:47,11.24,165.06
2026-05-11T11:42:52,11.24,165.06
2026-05-11T11:42:57,10.66,160.2
2026-05-11T11:43:02,10.66,160.2
2026-05-11T11:43:07,10.77,155.86
2026-05-11T11:43:12,10.77,155.86
2026-05-11T11:43:17,11.19,161.27
2026-05-11T11:43:22,11.19,161.27
2026-05-11T11:43:27,11.49,173.74
2026-05-11T11:43:32,11.49,173.74
