timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-11T13:28:00,0.3,0.45
2026-05-11T13:28:05,0.3,0.45
2026-05-11T13:28:10,0.14,0.32
2026-05-11T13:28:15,0.14,0.32
2026-05-11T13:28:20,0.12,0.13
2026-05-11T13:28:25,0.12,0.13
2026-05-11T13:28:30,0.09,0.11
2026-05-11T13:28:35,0.09,0.11
2026-05-11T13:28:40,0.29,0.27
2026-05-11T13:28:45,0.29,0.27
2026-05-11T13:28:50,0.91,3.88
2026-05-11T13:28:55,0.91,3.88
2026-05-11T13:29:00,1.39,7.21
2026-05-11T13:29:05,1.39,7.21
2026-05-11T13:29:10,1.98,17.98
2026-05-11T13:29:15,1.98,17.98
2026-05-11T13:29:20,2.77,33.23
2026-05-11T13:29:25,2.77,33.23
2026-05-11T13:29:30,3.36,40.37
2026-05-11T13:29:35,3.36,40.37
2026-05-11T13:29:40,4.22,56.57
2026-05-11T13:29:45,4.22,56.57
2026-05-11T13:29:50,5.37,80.3
2026-05-11T13:29:55,5.37,80.3
2026-05-11T13:30:00,6.55,100.15
2026-05-11T13:30:05,6.55,100.15
2026-05-11T13:30:10,7.28,110.85
2026-05-11T13:30:15,7.28,110.85
2026-05-11T13:30:20,7.77,117.21
2026-05-11T13:30:25,7.77,117.21
2026-05-11T13:30:30,8.58,133.0
2026-05-11T13:30:35,8.58,133.0
2026-05-11T13:30:40,9.5,147.14
2026-05-11T13:30:45,9.5,147.14
2026-05-11T13:30:50,10.32,158.25
2026-05-11T13:30:55,10.32,158.25
2026-05-11T13:31:00,10.71,165.52
2026-05-11T13:31:05,10.71,165.52
2026-05-11T13:31:10,10.53,170.9
2026-05-11T13:31:15,10.53,170.9
2026-05-11T13:31:20,10.69,175.42
2026-05-11T13:31:25,10.69,175.42
2026-05-11T13:31:30,10.8,171.23
2026-05-11T13:31:35,10.8,171.23
2026-05-11T13:31:40,10.38,168.91
2026-05-11T13:31:45,10.38,168.91
2026-05-11T13:31:50,10.39,174.02
2026-05-11T13:31:55,10.39,174.02
2026-05-11T13:32:00,10.21,173.33
2026-05-11T13:32:05,10.21,173.33
2026-05-11T13:32:10,10.26,170.33
2026-05-11T13:32:15,10.26,170.33
2026-05-11T13:32:20,10.36,171.64
2026-05-11T13:32:25,10.36,171.64
2026-05-11T13:32:30,10.24,169.61
2026-05-11T13:32:35,10.24,169.61
2026-05-11T13:32:40,10.49,165.99
2026-05-11T13:32:45,10.49,165.99
2026-05-11T13:32:50,10.43,168.37
2026-05-11T13:32:55,10.43,168.37
2026-05-11T13:33:00,10.32,168.3
2026-05-11T13:33:05,10.32,168.3
2026-05-11T13:33:10,11.29,160.95
2026-05-11T13:33:15,11.29,160.95
2026-05-11T13:33:20,11.24,162.89
2026-05-11T13:33:25,11.24,162.89
2026-05-11T13:33:30,11.04,173.88
2026-05-11T13:33:35,11.04,173.88
2026-05-11T13:33:40,10.88,163.1
2026-05-11T13:33:45,10.88,163.1
2026-05-11T13:33:50,10.3,164.48
2026-05-11T13:33:55,10.3,164.48
2026-05-11T13:34:00,10.19,164.78
2026-05-11T13:34:05,10.19,164.78
2026-05-11T13:34:10,10.22,154.96
2026-05-11T13:34:15,10.22,154.96
2026-05-11T13:34:20,10.75,177.38
2026-05-11T13:34:25,10.75,177.38
2026-05-11T13:34:30,10.68,179.24
2026-05-11T13:34:35,10.68,179.24
2026-05-11T13:34:40,10.46,166.81
2026-05-11T13:34:45,10.46,166.81
