timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-23T02:38:19,6.88,0.98
2026-05-23T02:38:24,6.87,1.45
2026-05-23T02:38:29,6.87,1.45
2026-05-23T02:38:34,0.41,1.59
2026-05-23T02:38:39,0.41,1.59
2026-05-23T02:38:44,1.85,5.23
2026-05-23T02:38:49,1.85,5.23
2026-05-23T02:38:54,7.33,20.29
2026-05-23T02:38:59,7.33,20.29
2026-05-23T02:39:04,14.2,43.2
2026-05-23T02:39:09,14.2,43.2
2026-05-23T02:39:14,19.21,67.22
2026-05-23T02:39:19,19.21,67.22
2026-05-23T02:39:24,24.6,90.72
2026-05-23T02:39:29,24.6,90.72
2026-05-23T02:39:34,29.99,113.68
2026-05-23T02:39:39,29.99,113.68
2026-05-23T02:39:44,34.28,134.83
2026-05-23T02:39:49,34.28,134.83
2026-05-23T02:39:54,39.99,160.24
2026-05-23T02:39:59,39.99,160.24
2026-05-23T02:40:04,46.05,187.35
2026-05-23T02:40:09,46.05,187.35
2026-05-23T02:40:14,50.83,207.83
2026-05-23T02:40:19,50.83,207.83
2026-05-23T02:40:24,55.77,232.62
2026-05-23T02:40:29,55.77,232.62
2026-05-23T02:40:34,61.56,258.16
2026-05-23T02:40:39,61.56,258.16
2026-05-23T02:40:44,66.55,280.78
2026-05-23T02:40:49,66.55,280.78
2026-05-23T02:40:54,66.55,288.63
2026-05-23T02:40:59,66.55,288.63
2026-05-23T02:41:04,64.08,287.91
2026-05-23T02:41:09,64.08,287.91
2026-05-23T02:41:14,63.17,286.52
2026-05-23T02:41:19,63.17,286.52
2026-05-23T02:41:24,63.29,287.24
2026-05-23T02:41:29,63.29,287.24
2026-05-23T02:41:34,63.49,288.65
2026-05-23T02:41:39,63.49,288.65
2026-05-23T02:41:44,63.4,286.5
2026-05-23T02:41:49,63.4,286.5
2026-05-23T02:41:54,63.07,285.99
2026-05-23T02:41:59,63.07,285.99
2026-05-23T02:42:04,62.94,286.42
2026-05-23T02:42:09,62.94,286.42
2026-05-23T02:42:14,62.7,285.68
2026-05-23T02:42:19,62.7,285.68
2026-05-23T02:42:24,63.13,285.05
2026-05-23T02:42:29,63.13,285.05
2026-05-23T02:42:34,63.67,287.9
2026-05-23T02:42:39,63.67,287.9
2026-05-23T02:42:44,62.98,286.43
2026-05-23T02:42:49,62.98,286.43
2026-05-23T02:42:54,62.4,284.27
2026-05-23T02:42:59,62.4,284.27
