timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-13T08:12:08,8.5,1125,7941,0,3,100.00,8,7.2,172.8
2026-05-13T08:12:13,22.8,1100,7941,4,1,100.00,9,1.0,178.4
2026-05-13T08:12:19,27.4,1088,7941,3,3,100.00,17,1.7,180.9
2026-05-13T08:12:24,35.9,1047,7941,3,4,100.00,19,2.5,156.0
2026-05-13T08:12:29,33.7,1055,7941,0,5,100.00,15,2.4,162.8
2026-05-13T08:12:35,40.9,1064,7941,1,5,100.00,19,1.8,167.1
2026-05-13T08:12:40,45.6,1061,7941,0,6,100.00,13,1.6,169.7
2026-05-13T08:12:45,13.3,1076,7941,0,5,100.00,17,2.8,184.2
2026-05-13T08:12:51,13.1,1077,7941,0,4,100.00,12,2.3,193.4
2026-05-13T08:12:56,23.4,1080,7941,0,4,100.00,18,3.2,193.9
2026-05-13T08:13:01,9.4,1092,7941,5,2,100.00,7,3.9,202.6
2026-05-13T08:13:07,17.3,1094,7941,0,5,100.00,16,3.1,208.9
2026-05-13T08:13:12,4.4,1081,7941,0,3,100.00,10,2.1,209.0
2026-05-13T08:13:17,6.1,1093,7941,0,3,100.00,14,3.3,211.9
2026-05-13T08:13:23,5.5,1086,7941,0,3,100.00,11,3.0,213.5
2026-05-13T08:13:28,5.7,1087,7941,0,3,100.00,15,2.9,213.7
2026-05-13T08:13:33,6.1,1091,7941,0,3,100.00,12,3.5,209.8
2026-05-13T08:13:39,5.6,1086,7941,0,3,100.00,14,3.0,209.9
2026-05-13T08:13:44,6.8,1093,7941,0,3,100.00,14,3.9,210.7
2026-05-13T08:13:49,6.9,1089,7941,0,3,100.00,10,4.0,210.7
2026-05-13T08:13:55,7.1,1098,7941,0,5,100.00,16,3.9,211.3
2026-05-13T08:14:00,6.4,1097,7941,0,5,100.00,8,4.0,211.5
2026-05-13T08:14:05,9.8,1084,7941,0,3,100.00,21,7.1,212.0
2026-05-13T08:14:11,6.9,1098,7941,0,3,100.00,12,3.8,213.0
2026-05-13T08:14:16,12.1,1098,7941,0,4,100.00,17,3.4,212.7
2026-05-13T08:14:21,14.4,1099,7941,0,5,100.00,13,4.2,213.4
2026-05-13T08:14:27,11.5,1097,7941,0,5,100.00,18,4.0,213.5
2026-05-13T08:14:32,10.9,1095,7941,0,4,100.00,19,3.8,213.5
2026-05-13T08:14:37,21.2,1100,7941,0,6,100.00,21,4.3,213.6
2026-05-13T08:14:43,7.4,1110,7941,0,6,100.00,15,3.4,213.6
2026-05-13T08:14:48,15.4,1096,7941,0,5,100.00,19,3.7,214.8
2026-05-13T08:14:53,8.4,1101,7941,0,5,100.00,8,2.9,214.8
2026-05-13T08:14:59,7.7,1095,7941,1,3,100.00,22,4.0,216.0
2026-05-13T08:15:04,9.2,1098,7941,0,4,100.00,20,6.6,216.2
2026-05-13T08:15:09,16.3,1103,7941,0,4,100.00,20,5.3,216.3
2026-05-13T08:15:15,6.9,1098,7941,0,4,100.00,19,3.9,216.4
2026-05-13T08:15:20,6.3,1095,7941,0,3,100.00,18,3.5,216.5
2026-05-13T08:15:25,6.4,1100,7941,0,3,100.00,24,3.5,216.9
2026-05-13T08:15:31,6.5,1100,7941,0,3,100.00,14,3.9,217.4
2026-05-13T08:15:36,7.7,1076,7941,0,3,100.00,14,4.7,186.7
2026-05-13T08:15:41,7.5,1092,7941,0,4,100.00,16,4.5,199.2
2026-05-13T08:15:47,7.3,1094,7941,0,5,100.00,20,4.2,201.6
2026-05-13T08:15:52,6.2,1107,7941,0,5,100.00,12,3.5,214.2
2026-05-13T08:15:57,6.9,1093,7941,0,3,100.00,21,4.2,216.7
2026-05-13T08:16:02,7.1,1097,7941,0,4,100.00,9,5.0,216.7
