timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-13T11:42:22,34.5,1087,7941,0,4,100.00,5,8.2,143.8
2026-05-13T11:42:28,11.5,1033,7941,0,4,100.00,14,1.9,122.8
2026-05-13T11:42:33,37.1,1038,7941,8,1,100.00,13,2.4,126.9
2026-05-13T11:42:38,46.4,1035,7941,0,7,100.00,17,1.5,132.9
2026-05-13T11:42:44,37.8,1039,7941,0,7,100.00,17,2.1,137.9
2026-05-13T11:42:49,14.4,1058,7941,0,6,100.00,14,2.3,158.8
2026-05-13T11:42:54,41.5,1055,7941,0,7,100.00,21,2.4,159.7
2026-05-13T11:42:59,11.0,1066,7941,6,4,100.00,10,2.6,170.3
2026-05-13T11:43:05,26.7,1099,7941,0,7,100.00,15,3.5,188.3
2026-05-13T11:43:10,4.7,1087,7941,0,4,100.00,9,2.5,188.8
2026-05-13T11:43:15,16.6,1097,7941,0,4,100.00,19,5.3,210.9
2026-05-13T11:43:21,5.5,1099,7941,0,4,100.00,4,3.0,210.9
2026-05-13T11:43:26,14.9,1109,7941,0,5,100.00,18,4.0,207.6
2026-05-13T11:43:31,5.6,1095,7941,0,5,100.00,11,3.5,207.7
2026-05-13T11:43:37,7.0,1092,7941,0,3,100.00,18,4.3,207.7
2026-05-13T11:43:42,5.7,1098,7941,0,3,100.00,5,3.3,207.9
2026-05-13T11:43:47,7.6,1096,7941,0,3,100.00,19,5.1,208.0
2026-05-13T11:43:52,6.7,1096,7941,0,3,100.00,7,4.1,208.1
2026-05-13T11:43:58,7.4,1093,7941,0,3,100.00,14,4.8,209.0
2026-05-13T11:44:03,8.2,1099,7941,0,3,100.00,10,6.3,209.3
2026-05-13T11:44:08,7.8,1092,7941,0,3,100.00,21,5.0,210.0
2026-05-13T11:44:14,8.0,1099,7941,0,4,100.00,16,5.2,210.4
2026-05-13T11:44:19,9.1,1106,7941,0,4,100.00,11,6.0,211.1
2026-05-13T11:44:24,12.4,1106,7941,0,4,100.00,22,6.5,211.8
2026-05-13T11:44:30,20.0,1107,7941,0,5,100.00,15,5.8,212.4
2026-05-13T11:44:35,13.2,1105,7941,1,4,100.00,20,5.1,212.6
2026-05-13T11:44:40,18.7,1106,7941,0,5,100.00,17,5.1,212.7
2026-05-13T11:44:45,15.9,1103,7941,0,5,100.00,21,5.5,213.1
2026-05-13T11:44:51,9.9,1108,7941,0,5,100.00,18,5.5,213.5
2026-05-13T11:44:56,16.9,1111,7941,0,5,100.00,19,5.6,214.8
2026-05-13T11:45:01,8.7,1114,7941,2,3,100.00,12,7.8,216.5
2026-05-13T11:45:07,15.4,1106,7941,0,4,100.00,19,9.1,216.6
2026-05-13T11:45:13,8.6,1109,7941,0,4,100.00,15,5.7,219.0
2026-05-13T11:45:18,8.1,1102,7941,0,3,100.00,20,4.9,219.0
2026-05-13T11:45:23,11.6,1111,7941,0,4,100.00,9,5.0,221.0
2026-05-13T11:45:28,7.5,1107,7941,0,3,100.00,21,4.9,221.1
2026-05-13T11:45:34,14.3,1114,7941,0,5,100.00,18,5.0,222.1
2026-05-13T11:45:39,9.0,1116,7941,0,5,100.00,14,5.2,222.2
2026-05-13T11:45:44,8.6,1102,7941,0,3,100.00,17,4.9,222.4
2026-05-13T11:45:50,7.7,1110,7941,0,4,100.00,14,4.3,222.4
2026-05-13T11:45:55,8.3,1111,7941,0,4,100.00,16,4.5,222.4
2026-05-13T11:46:00,8.9,1111,7941,0,4,100.00,13,5.3,222.5
