timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-12T17:59:41,0.05,0.05
2026-05-12T17:59:46,0.03,0.02
2026-05-12T17:59:51,0.03,0.02
2026-05-12T17:59:56,0.09,0.63
2026-05-12T18:00:01,0.09,0.63
2026-05-12T18:00:06,0.28,1.35
2026-05-12T18:00:11,0.28,1.35
2026-05-12T18:00:16,0.46,3.18
2026-05-12T18:00:21,0.46,3.18
2026-05-12T18:00:26,0.56,2.81
2026-05-12T18:00:31,0.56,2.81
2026-05-12T18:00:36,1.83,12.36
2026-05-12T18:00:41,1.83,12.36
2026-05-12T18:00:46,3.72,36.66
2026-05-12T18:00:51,3.72,36.66
2026-05-12T18:00:56,5.43,60.5
2026-05-12T18:01:01,5.43,60.5
2026-05-12T18:01:06,7.56,88.58
2026-05-12T18:01:11,7.56,88.58
2026-05-12T18:01:16,9.62,122.02
2026-05-12T18:01:21,9.62,122.02
2026-05-12T18:01:26,11.51,150.2
2026-05-12T18:01:31,11.51,150.2
2026-05-12T18:01:36,13.17,176.41
2026-05-12T18:01:41,13.17,176.41
2026-05-12T18:01:46,15.29,209.9
2026-05-12T18:01:51,15.29,209.9
2026-05-12T18:01:56,17.65,245.46
2026-05-12T18:02:01,17.65,245.46
2026-05-12T18:02:06,18.77,253.93
2026-05-12T18:02:11,18.77,253.93
2026-05-12T18:02:16,20.06,267.79
2026-05-12T18:02:21,20.06,267.79
2026-05-12T18:02:26,22.57,304.35
2026-05-12T18:02:31,22.57,304.35
2026-05-12T18:02:36,23.73,332.48
2026-05-12T18:02:41,23.73,332.48
2026-05-12T18:02:46,23.36,349.83
2026-05-12T18:02:51,23.36,349.83
2026-05-12T18:02:56,23.24,346.64
2026-05-12T18:03:01,23.24,346.64
2026-05-12T18:03:06,23.31,337.26
2026-05-12T18:03:11,23.31,337.26
2026-05-12T18:03:16,23.27,338.82
2026-05-12T18:03:21,23.27,338.82
2026-05-12T18:03:26,23.05,335.27
2026-05-12T18:03:31,23.05,335.27
2026-05-12T18:03:36,22.97,328.07
2026-05-12T18:03:41,22.97,328.07
2026-05-12T18:03:46,23.04,331.73
2026-05-12T18:03:51,23.04,331.73
2026-05-12T18:03:56,23.52,347.83
2026-05-12T18:04:01,23.52,347.83
2026-05-12T18:04:06,23.88,359.84
2026-05-12T18:04:11,23.88,359.84
2026-05-12T18:04:16,23.35,343.16
2026-05-12T18:04:21,23.35,343.16
2026-05-12T18:04:26,23.14,340.13
2026-05-12T18:04:31,23.14,340.13
2026-05-12T18:04:36,23.62,352.27
2026-05-12T18:04:41,23.62,352.27
2026-05-12T18:04:46,24.12,360.26
2026-05-12T18:04:51,24.12,360.26
2026-05-12T18:04:56,24.06,371.72
2026-05-12T18:05:01,24.06,371.72
2026-05-12T18:05:06,23.01,346.03
2026-05-12T18:05:11,23.01,346.03
2026-05-12T18:05:16,22.91,332.43
2026-05-12T18:05:21,22.91,332.43
2026-05-12T18:05:26,23.35,340.02
2026-05-12T18:05:31,23.35,340.02
2026-05-12T18:05:36,22.82,328.22
2026-05-12T18:05:41,22.82,328.22
2026-05-12T18:05:46,22.87,340.9
2026-05-12T18:05:51,22.87,340.9
2026-05-12T18:05:56,23.15,356.34
2026-05-12T18:06:01,23.15,356.34
2026-05-12T18:06:06,23.12,354.09
2026-05-12T18:06:11,23.12,354.09
2026-05-12T18:06:16,23.03,341.14
2026-05-12T18:06:21,23.03,341.14
2026-05-12T18:06:26,23.46,336.83
2026-05-12T18:06:31,23.46,336.83
2026-05-12T18:06:36,23.67,343.38
2026-05-12T18:06:41,23.67,343.38
2026-05-12T18:06:46,23.17,336.06
2026-05-12T18:06:51,23.17,336.06
2026-05-12T18:06:56,23.22,335.68
2026-05-12T18:07:01,23.22,335.68
2026-05-12T18:07:06,23.16,336.97
2026-05-12T18:07:11,23.16,336.97
2026-05-12T18:07:16,22.97,338.68
2026-05-12T18:07:21,22.97,338.68
2026-05-12T18:07:26,23.22,342.25
2026-05-12T18:07:31,23.22,342.25
2026-05-12T18:07:36,23.26,341.63
2026-05-12T18:07:41,23.26,341.63
2026-05-12T18:07:46,23.35,348.42
2026-05-12T18:07:51,23.35,348.42
2026-05-12T18:07:56,23.1,342.65
2026-05-12T18:08:01,23.1,342.65
2026-05-12T18:08:06,23.1,337.42
2026-05-12T18:08:11,23.1,337.42
2026-05-12T18:08:16,23.6,348.99
2026-05-12T18:08:21,23.6,348.99
2026-05-12T18:08:26,23.56,347.56
2026-05-12T18:08:31,23.56,347.56
2026-05-12T18:08:36,23.1,328.59
2026-05-12T18:08:41,23.1,328.59
2026-05-12T18:08:46,23.31,340.29
2026-05-12T18:08:51,23.31,340.29
2026-05-12T18:08:56,23.31,350.9
2026-05-12T18:09:01,23.31,350.9
2026-05-12T18:09:06,23.07,345.27
2026-05-12T18:09:11,23.07,345.27
2026-05-12T18:09:16,23.22,348.12
2026-05-12T18:09:21,23.22,348.12
2026-05-12T18:09:26,22.9,337.74
2026-05-12T18:09:31,22.9,337.74
2026-05-12T18:09:36,23.36,349.15
2026-05-12T18:09:41,23.36,349.15
2026-05-12T18:09:46,23.78,350.88
2026-05-12T18:09:51,23.78,350.88
2026-05-12T18:09:56,23.48,331.15
2026-05-12T18:10:01,23.48,331.15
2026-05-12T18:10:06,23.43,333.72
2026-05-12T18:10:11,23.43,333.72
2026-05-12T18:10:16,23.01,333.59
2026-05-12T18:10:21,23.01,333.59
2026-05-12T18:10:26,23.02,330.51
2026-05-12T18:10:31,23.02,330.51
2026-05-12T18:10:36,23.64,344.71
2026-05-12T18:10:41,23.64,344.71
2026-05-12T18:10:46,23.67,345.06
2026-05-12T18:10:51,23.67,345.06
2026-05-12T18:10:56,23.3,339.86
2026-05-12T18:11:01,23.3,339.86
2026-05-12T18:11:06,23.22,350.96
2026-05-12T18:11:11,23.22,350.96
2026-05-12T18:11:16,23.4,351.17
2026-05-12T18:11:21,23.4,351.17
2026-05-12T18:11:26,23.76,349.44
2026-05-12T18:11:31,23.76,349.44
2026-05-12T18:11:36,24.05,353.96
2026-05-12T18:11:41,24.05,353.96
2026-05-12T18:11:46,23.79,347.87
2026-05-12T18:11:51,23.79,347.87
2026-05-12T18:11:56,23.35,339.56
2026-05-12T18:12:01,23.35,339.56
2026-05-12T18:12:06,23.07,333.56
2026-05-12T18:12:11,23.07,333.56
2026-05-12T18:12:16,23.34,331.04
2026-05-12T18:12:21,23.34,331.04
2026-05-12T18:12:26,23.34,331.09
2026-05-12T18:12:31,23.34,331.09
2026-05-12T18:12:36,25.7,366.62
2026-05-12T18:12:41,25.7,366.62
2026-05-12T18:12:46,30.34,419.27
2026-05-12T18:12:51,30.34,419.27
2026-05-12T18:12:56,34.44,462.52
2026-05-12T18:13:01,34.44,462.52
2026-05-12T18:13:06,38.31,520.45
2026-05-12T18:13:11,38.31,520.45
2026-05-12T18:13:16,41.8,579.96
2026-05-12T18:13:21,41.8,579.96
2026-05-12T18:13:26,45.61,639.43
2026-05-12T18:13:31,45.61,639.43
2026-05-12T18:13:36,47.08,672.23
2026-05-12T18:13:41,47.08,672.23
2026-05-12T18:13:46,46.26,674.27
2026-05-12T18:13:51,46.26,674.27
2026-05-12T18:13:56,46.33,670.44
2026-05-12T18:14:01,46.33,670.44
2026-05-12T18:14:06,45.69,650.96
2026-05-12T18:14:11,45.69,650.96
2026-05-12T18:14:16,45.65,663.73
2026-05-12T18:14:21,45.65,663.73
2026-05-12T18:14:26,46.68,699.87
2026-05-12T18:14:31,46.68,699.87
2026-05-12T18:14:36,46.31,682.89
2026-05-12T18:14:41,46.31,682.89
2026-05-12T18:14:46,46.21,670.18
2026-05-12T18:14:51,46.21,670.18
2026-05-12T18:14:56,46.05,671.42
2026-05-12T18:15:01,46.05,671.42
2026-05-12T18:15:06,45.41,669.72
2026-05-12T18:15:11,45.41,669.72
2026-05-12T18:15:16,44.88,657.94
2026-05-12T18:15:21,44.88,657.94
2026-05-12T18:15:26,45.41,660.9
2026-05-12T18:15:31,45.41,660.9
2026-05-12T18:15:36,46.79,688.49
2026-05-12T18:15:41,46.79,688.49
2026-05-12T18:15:46,47.0,692.34
2026-05-12T18:15:51,47.0,692.34
2026-05-12T18:15:56,46.47,679.43
2026-05-12T18:16:01,46.47,679.43
2026-05-12T18:16:06,45.79,673.52
2026-05-12T18:16:11,45.79,673.52
2026-05-12T18:16:16,46.03,685.1
2026-05-12T18:16:21,46.03,685.1
2026-05-12T18:16:26,45.78,673.59
2026-05-12T18:16:31,45.78,673.59
2026-05-12T18:16:36,45.64,671.09
2026-05-12T18:16:41,45.64,671.09
2026-05-12T18:16:46,46.37,680.44
2026-05-12T18:16:51,46.37,680.44
2026-05-12T18:16:56,46.83,680.59
2026-05-12T18:17:01,46.83,680.59
2026-05-12T18:17:06,46.54,673.32
2026-05-12T18:17:11,46.54,673.32
2026-05-12T18:17:16,46.01,671.32
2026-05-12T18:17:21,46.01,671.32
2026-05-12T18:17:26,46.44,680.72
2026-05-12T18:17:31,46.44,680.72
2026-05-12T18:17:36,46.38,683.36
2026-05-12T18:17:41,46.38,683.36
2026-05-12T18:17:46,46.54,694.11
2026-05-12T18:17:51,46.54,694.11
2026-05-12T18:17:56,52.58,682.87
2026-05-12T18:18:01,52.58,682.87
2026-05-12T18:18:06,51.92,656.58
2026-05-12T18:18:11,51.92,656.58
2026-05-12T18:18:16,46.51,673.45
2026-05-12T18:18:21,46.51,673.45
2026-05-12T18:18:26,46.82,695.3
2026-05-12T18:18:31,46.82,695.3
2026-05-12T18:18:36,46.56,693.08
