timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-13T02:21:40,0.38,0.69
2026-05-13T02:21:45,0.55,0.97
2026-05-13T02:21:50,0.55,0.97
2026-05-13T02:21:55,0.61,0.93
2026-05-13T02:22:00,0.61,0.93
2026-05-13T02:22:05,0.32,0.45
2026-05-13T02:22:10,0.32,0.45
2026-05-13T02:22:15,0.2,0.45
2026-05-13T02:22:20,0.2,0.45
2026-05-13T02:22:25,1.34,13.22
2026-05-13T02:22:30,1.34,13.22
2026-05-13T02:22:35,3.35,38.95
2026-05-13T02:22:40,3.35,38.95
2026-05-13T02:22:45,5.26,62.44
2026-05-13T02:22:50,5.26,62.44
2026-05-13T02:22:55,7.08,84.85
2026-05-13T02:23:00,7.08,84.85
2026-05-13T02:23:05,8.85,114.89
2026-05-13T02:23:10,8.85,114.89
2026-05-13T02:23:15,10.48,148.55
2026-05-13T02:23:20,10.48,148.55
2026-05-13T02:23:25,12.51,174.83
2026-05-13T02:23:30,12.51,174.83
2026-05-13T02:23:35,14.58,197.7
2026-05-13T02:23:40,14.58,197.7
2026-05-13T02:23:45,22.45,221.38
2026-05-13T02:23:50,22.45,221.38
2026-05-13T02:23:55,24.48,247.92
2026-05-13T02:24:00,24.48,247.92
2026-05-13T02:24:05,20.38,284.0
2026-05-13T02:24:10,20.38,284.0
2026-05-13T02:24:15,22.11,314.21
2026-05-13T02:24:20,22.11,314.21
2026-05-13T02:24:25,22.59,337.31
2026-05-13T02:24:30,22.59,337.31
2026-05-13T02:24:35,22.61,344.85
2026-05-13T02:24:40,22.61,344.85
2026-05-13T02:24:45,22.51,339.98
2026-05-13T02:24:50,22.51,339.98
2026-05-13T02:24:55,22.51,343.6
2026-05-13T02:25:00,22.51,343.6
2026-05-13T02:25:05,22.43,331.45
2026-05-13T02:25:10,22.43,331.45
2026-05-13T02:25:15,21.91,327.16
2026-05-13T02:25:20,21.91,327.16
2026-05-13T02:25:25,21.96,346.15
2026-05-13T02:25:30,21.96,346.15
2026-05-13T02:25:35,22.63,348.08
2026-05-13T02:25:40,22.63,348.08
2026-05-13T02:25:45,22.43,343.33
2026-05-13T02:25:50,22.43,343.33
2026-05-13T02:25:55,21.93,344.23
2026-05-13T02:26:00,21.93,344.23
2026-05-13T02:26:05,22.51,345.06
2026-05-13T02:26:10,22.51,345.06
2026-05-13T02:26:15,22.73,351.71
2026-05-13T02:26:20,22.73,351.71
2026-05-13T02:26:25,22.4,348.37
2026-05-13T02:26:30,22.4,348.37
2026-05-13T02:26:35,22.61,332.55
2026-05-13T02:26:40,22.61,332.55
2026-05-13T02:26:45,22.95,322.56
2026-05-13T02:26:50,22.95,322.56
2026-05-13T02:26:55,22.76,332.16
2026-05-13T02:27:00,22.76,332.16
2026-05-13T02:27:05,22.62,337.13
2026-05-13T02:27:10,22.62,337.13
2026-05-13T02:27:15,22.66,324.87
2026-05-13T02:27:20,22.66,324.87
2026-05-13T02:27:25,22.88,319.11
2026-05-13T02:27:30,22.88,319.11
2026-05-13T02:27:35,22.83,324.89
2026-05-13T02:27:40,22.83,324.89
2026-05-13T02:27:45,23.31,349.89
2026-05-13T02:27:50,23.31,349.89
2026-05-13T02:27:55,23.59,354.43
2026-05-13T02:28:00,23.59,354.43
2026-05-13T02:28:05,23.29,344.33
2026-05-13T02:28:10,23.29,344.33
2026-05-13T02:28:15,23.7,356.51
2026-05-13T02:28:20,23.7,356.51
2026-05-13T02:28:25,23.8,355.51
2026-05-13T02:28:30,23.8,355.51
2026-05-13T02:28:35,23.34,341.98
2026-05-13T02:28:40,23.34,341.98
2026-05-13T02:28:45,22.9,349.69
2026-05-13T02:28:50,22.9,349.69
2026-05-13T02:28:55,22.89,342.57
2026-05-13T02:29:00,22.89,342.57
2026-05-13T02:29:05,23.23,335.98
2026-05-13T02:29:10,23.23,335.98
2026-05-13T02:29:15,23.24,340.06
2026-05-13T02:29:20,23.24,340.06
2026-05-13T02:29:25,22.45,326.06
2026-05-13T02:29:30,22.45,326.06
2026-05-13T02:29:35,22.63,338.12
2026-05-13T02:29:40,22.63,338.12
2026-05-13T02:29:45,23.23,343.59
2026-05-13T02:29:50,23.23,343.59
2026-05-13T02:29:55,23.17,339.61
2026-05-13T02:30:00,23.17,339.61
2026-05-13T02:30:05,22.93,340.31
2026-05-13T02:30:10,22.93,340.31
2026-05-13T02:30:15,22.54,329.15
2026-05-13T02:30:20,22.54,329.15
2026-05-13T02:30:25,22.72,332.08
2026-05-13T02:30:30,22.72,332.08
2026-05-13T02:30:35,23.23,352.42
2026-05-13T02:30:40,23.23,352.42
2026-05-13T02:30:45,24.67,345.3
2026-05-13T02:30:50,24.67,345.3
2026-05-13T02:30:55,24.64,331.52
2026-05-13T02:31:00,24.64,331.52
2026-05-13T02:31:05,22.91,340.26
2026-05-13T02:31:10,22.91,340.26
2026-05-13T02:31:15,22.68,332.81
2026-05-13T02:31:20,22.68,332.81
2026-05-13T02:31:25,23.02,337.74
2026-05-13T02:31:30,23.02,337.74
2026-05-13T02:31:35,22.89,346.1
2026-05-13T02:31:40,22.89,346.1
2026-05-13T02:31:45,23.04,343.07
2026-05-13T02:31:50,23.04,343.07
2026-05-13T02:31:55,22.87,334.24
2026-05-13T02:32:00,22.87,334.24
2026-05-13T02:32:05,22.79,343.38
2026-05-13T02:32:10,22.79,343.38
2026-05-13T02:32:15,23.08,357.08
2026-05-13T02:32:20,23.08,357.08
2026-05-13T02:32:25,22.93,350.73
2026-05-13T02:32:30,22.93,350.73
2026-05-13T02:32:35,23.16,338.1
2026-05-13T02:32:40,23.16,338.1
2026-05-13T02:32:45,22.71,327.48
2026-05-13T02:32:50,22.71,327.48
2026-05-13T02:32:55,22.28,335.49
2026-05-13T02:33:00,22.28,335.49
2026-05-13T02:33:05,22.72,336.38
2026-05-13T02:33:10,22.72,336.38
2026-05-13T02:33:15,22.96,343.4
2026-05-13T02:33:20,22.96,343.4
2026-05-13T02:33:25,22.72,344.35
2026-05-13T02:33:30,22.72,344.35
2026-05-13T02:33:35,22.8,332.64
2026-05-13T02:33:40,22.8,332.64
2026-05-13T02:33:45,22.92,324.75
2026-05-13T02:33:50,22.92,324.75
2026-05-13T02:33:55,23.05,334.94
2026-05-13T02:34:00,23.05,334.94
2026-05-13T02:34:05,23.22,349.79
2026-05-13T02:34:10,23.22,349.79
2026-05-13T02:34:15,23.13,342.83
2026-05-13T02:34:20,23.13,342.83
2026-05-13T02:34:25,24.74,356.53
2026-05-13T02:34:30,24.74,356.53
2026-05-13T02:34:35,28.96,402.43
2026-05-13T02:34:40,28.96,402.43
2026-05-13T02:34:45,33.08,451.15
2026-05-13T02:34:50,33.08,451.15
2026-05-13T02:34:55,36.25,501.43
2026-05-13T02:35:00,36.25,501.43
2026-05-13T02:35:05,40.54,554.22
2026-05-13T02:35:10,40.54,554.22
2026-05-13T02:35:15,44.19,617.54
2026-05-13T02:35:20,44.19,617.54
2026-05-13T02:35:25,45.71,679.86
2026-05-13T02:35:30,45.71,679.86
2026-05-13T02:35:35,45.22,697.64
2026-05-13T02:35:40,45.22,697.64
2026-05-13T02:35:45,44.03,664.84
2026-05-13T02:35:50,44.03,664.84
2026-05-13T02:35:55,44.39,667.16
2026-05-13T02:36:00,44.39,667.16
2026-05-13T02:36:05,44.48,693.17
2026-05-13T02:36:10,44.48,693.17
2026-05-13T02:36:15,44.21,679.35
2026-05-13T02:36:20,44.21,679.35
2026-05-13T02:36:25,44.57,677.21
2026-05-13T02:36:30,44.57,677.21
2026-05-13T02:36:35,44.64,699.6
2026-05-13T02:36:40,44.64,699.6
2026-05-13T02:36:45,44.05,693.58
2026-05-13T02:36:50,44.05,693.58
2026-05-13T02:36:55,44.0,673.78
2026-05-13T02:37:00,44.0,673.78
2026-05-13T02:37:05,44.08,668.74
2026-05-13T02:37:10,44.08,668.74
2026-05-13T02:37:15,43.97,669.15
2026-05-13T02:37:20,43.97,669.15
2026-05-13T02:37:25,44.35,671.77
2026-05-13T02:37:30,44.35,671.77
2026-05-13T02:37:35,45.02,707.04
2026-05-13T02:37:40,45.02,707.04
