timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-13T08:10:52,0.07,0.23
2026-05-13T08:10:57,0.04,0.05
2026-05-13T08:11:02,0.04,0.05
2026-05-13T08:11:07,0.12,0.61
2026-05-13T08:11:12,0.12,0.61
2026-05-13T08:11:17,0.29,1.27
2026-05-13T08:11:22,0.29,1.27
2026-05-13T08:11:27,0.23,0.76
2026-05-13T08:11:32,0.23,0.76
2026-05-13T08:11:37,0.13,0.17
2026-05-13T08:11:42,0.13,0.17
2026-05-13T08:11:47,0.1,0.11
2026-05-13T08:11:52,0.1,0.11
2026-05-13T08:11:57,0.04,0.03
2026-05-13T08:12:02,0.04,0.03
2026-05-13T08:12:07,0.11,0.78
2026-05-13T08:12:12,0.11,0.78
2026-05-13T08:12:17,1.42,9.87
2026-05-13T08:12:22,1.42,9.87
2026-05-13T08:12:27,3.36,33.2
2026-05-13T08:12:32,3.36,33.2
2026-05-13T08:12:37,4.9,61.24
2026-05-13T08:12:42,4.9,61.24
2026-05-13T08:12:47,6.48,89.45
2026-05-13T08:12:52,6.48,89.45
2026-05-13T08:12:57,8.05,116.92
2026-05-13T08:13:02,8.05,116.92
2026-05-13T08:13:07,9.72,137.15
2026-05-13T08:13:12,9.72,137.15
2026-05-13T08:13:17,11.32,163.62
2026-05-13T08:13:22,11.32,163.62
2026-05-13T08:13:27,12.85,191.24
2026-05-13T08:13:32,12.85,191.24
2026-05-13T08:13:37,14.96,224.96
2026-05-13T08:13:42,14.96,224.96
2026-05-13T08:13:47,16.82,263.37
2026-05-13T08:13:52,16.82,263.37
2026-05-13T08:13:57,18.0,292.35
2026-05-13T08:14:02,18.0,292.35
2026-05-13T08:14:07,19.52,311.63
2026-05-13T08:14:12,19.52,311.63
2026-05-13T08:14:17,20.33,319.1
2026-05-13T08:14:22,20.33,319.1
2026-05-13T08:14:27,19.83,319.28
2026-05-13T08:14:32,19.83,319.28
2026-05-13T08:14:37,19.78,330.5
2026-05-13T08:14:42,19.78,330.5
2026-05-13T08:14:47,19.86,329.61
2026-05-13T08:14:52,19.86,329.61
2026-05-13T08:14:57,19.51,319.51
2026-05-13T08:15:02,19.51,319.51
2026-05-13T08:15:07,19.59,335.15
2026-05-13T08:15:12,19.59,335.15
2026-05-13T08:15:17,20.0,348.82
2026-05-13T08:15:22,20.0,348.82
2026-05-13T08:15:27,20.25,350.77
2026-05-13T08:15:32,20.25,350.77
2026-05-13T08:15:37,19.86,336.19
2026-05-13T08:15:42,19.86,336.19
2026-05-13T08:15:47,19.82,338.2
2026-05-13T08:15:52,19.82,338.2
2026-05-13T08:15:57,20.02,346.33
2026-05-13T08:16:02,20.02,346.33
2026-05-13T08:16:07,19.97,344.99
2026-05-13T08:16:12,19.97,344.99
2026-05-13T08:16:17,19.82,349.63
2026-05-13T08:16:22,19.82,349.63
2026-05-13T08:16:27,19.8,350.7
2026-05-13T08:16:32,19.8,350.7
2026-05-13T08:16:37,20.35,353.71
2026-05-13T08:16:42,20.35,353.71
2026-05-13T08:16:47,21.8,350.23
2026-05-13T08:16:52,21.8,350.23
2026-05-13T08:16:57,21.71,352.42
2026-05-13T08:17:02,21.71,352.42
2026-05-13T08:17:07,20.3,352.09
2026-05-13T08:17:12,20.3,352.09
2026-05-13T08:17:17,20.31,351.5
2026-05-13T08:17:22,20.31,351.5
2026-05-13T08:17:27,20.56,344.63
2026-05-13T08:17:32,20.56,344.63
2026-05-13T08:17:37,20.12,342.12
2026-05-13T08:17:42,20.12,342.12
2026-05-13T08:17:47,20.06,345.3
2026-05-13T08:17:52,20.06,345.3
2026-05-13T08:17:57,19.92,338.21
2026-05-13T08:18:02,19.92,338.21
2026-05-13T08:18:07,19.81,343.12
2026-05-13T08:18:12,19.81,343.12
2026-05-13T08:18:17,20.04,339.85
2026-05-13T08:18:22,20.04,339.85
2026-05-13T08:18:27,19.86,332.21
2026-05-13T08:18:32,19.86,332.21
2026-05-13T08:18:37,19.81,325.37
