timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-13T07:32:54,0.04,0.1
2026-05-13T07:32:59,0.04,0.1
2026-05-13T07:33:04,0.08,0.58
2026-05-13T07:33:09,0.08,0.58
2026-05-13T07:33:14,0.22,1.07
2026-05-13T07:33:19,0.22,1.07
2026-05-13T07:33:24,0.62,4.83
2026-05-13T07:33:29,0.62,4.83
2026-05-13T07:33:34,1.81,16.55
2026-05-13T07:33:39,1.81,16.55
2026-05-13T07:33:44,3.78,37.65
2026-05-13T07:33:49,3.78,37.65
2026-05-13T07:33:54,5.78,67.17
2026-05-13T07:33:59,5.78,67.17
2026-05-13T07:34:04,7.37,93.92
2026-05-13T07:34:09,7.37,93.92
2026-05-13T07:34:14,9.14,122.0
2026-05-13T07:34:19,9.14,122.0
2026-05-13T07:34:24,11.18,153.6
2026-05-13T07:34:29,11.18,153.6
2026-05-13T07:34:34,12.89,181.47
2026-05-13T07:34:39,12.89,181.47
2026-05-13T07:34:44,14.73,205.73
2026-05-13T07:34:49,14.73,205.73
2026-05-13T07:34:54,16.93,233.47
2026-05-13T07:34:59,16.93,233.47
2026-05-13T07:35:04,18.65,260.89
2026-05-13T07:35:09,18.65,260.89
2026-05-13T07:35:14,20.2,283.66
2026-05-13T07:35:19,20.2,283.66
2026-05-13T07:35:24,21.82,305.66
2026-05-13T07:35:29,21.82,305.66
2026-05-13T07:35:34,22.14,318.23
2026-05-13T07:35:39,22.14,318.23
2026-05-13T07:35:44,21.9,328.99
2026-05-13T07:35:49,21.9,328.99
2026-05-13T07:35:54,21.98,340.88
2026-05-13T07:35:59,21.98,340.88
2026-05-13T07:36:04,22.06,346.27
2026-05-13T07:36:09,22.06,346.27
2026-05-13T07:36:14,21.67,329.61
2026-05-13T07:36:19,21.67,329.61
2026-05-13T07:36:24,21.56,321.54
2026-05-13T07:36:29,21.56,321.54
2026-05-13T07:36:34,22.05,336.34
2026-05-13T07:36:39,22.05,336.34
2026-05-13T07:36:44,22.1,353.41
2026-05-13T07:36:49,22.1,353.41
2026-05-13T07:36:54,21.94,348.65
2026-05-13T07:36:59,21.94,348.65
2026-05-13T07:37:04,22.08,347.12
2026-05-13T07:37:09,22.08,347.12
2026-05-13T07:37:14,22.17,347.91
2026-05-13T07:37:19,22.17,347.91
2026-05-13T07:37:24,22.58,341.53
2026-05-13T07:37:29,22.58,341.53
2026-05-13T07:37:34,22.74,336.61
2026-05-13T07:37:39,22.74,336.61
2026-05-13T07:37:44,21.89,323.33
2026-05-13T07:37:49,21.89,323.33
2026-05-13T07:37:54,21.79,321.27
2026-05-13T07:37:59,21.79,321.27
2026-05-13T07:38:04,21.92,329.96
2026-05-13T07:38:09,21.92,329.96
2026-05-13T07:38:14,22.22,330.48
2026-05-13T07:38:19,22.22,330.48
2026-05-13T07:38:24,22.53,324.23
2026-05-13T07:38:29,22.53,324.23
2026-05-13T07:38:34,22.11,330.83
2026-05-13T07:38:39,22.11,330.83
2026-05-13T07:38:44,22.17,340.03
2026-05-13T07:38:49,22.17,340.03
2026-05-13T07:38:54,22.19,339.95
2026-05-13T07:38:59,22.19,339.95
2026-05-13T07:39:04,21.99,338.92
2026-05-13T07:39:09,21.99,338.92
2026-05-13T07:39:14,22.14,348.2
2026-05-13T07:39:19,22.14,348.2
2026-05-13T07:39:24,22.12,344.69
2026-05-13T07:39:29,22.12,344.69
2026-05-13T07:39:34,21.94,349.53
2026-05-13T07:39:39,21.94,349.53
2026-05-13T07:39:44,21.85,339.88
2026-05-13T07:39:49,21.85,339.88
2026-05-13T07:39:54,22.02,329.86
2026-05-13T07:39:59,22.02,329.86
2026-05-13T07:40:04,21.76,334.71
2026-05-13T07:40:09,21.76,334.71
2026-05-13T07:40:14,21.77,334.47
2026-05-13T07:40:19,21.77,334.47
2026-05-13T07:40:24,21.88,348.78
2026-05-13T07:40:29,21.88,348.78
2026-05-13T07:40:34,21.63,339.88
2026-05-13T07:40:39,21.63,339.88
2026-05-13T07:40:44,22.06,324.47
2026-05-13T07:40:49,22.06,324.47
2026-05-13T07:40:54,21.71,329.07
2026-05-13T07:40:59,21.71,329.07
2026-05-13T07:41:04,21.49,337.68
2026-05-13T07:41:09,21.49,337.68
2026-05-13T07:41:14,21.96,338.0
2026-05-13T07:41:19,21.96,338.0
2026-05-13T07:41:24,21.96,337.83
2026-05-13T07:41:29,21.96,337.83
2026-05-13T07:41:34,21.72,335.66
2026-05-13T07:41:39,21.72,335.66
2026-05-13T07:41:44,21.69,338.93
2026-05-13T07:41:49,21.69,338.93
2026-05-13T07:41:54,21.92,342.09
2026-05-13T07:41:59,21.92,342.09
2026-05-13T07:42:04,21.9,333.42
2026-05-13T07:42:09,21.9,333.42
2026-05-13T07:42:14,21.78,332.52
2026-05-13T07:42:19,21.78,332.52
2026-05-13T07:42:24,21.66,332.76
2026-05-13T07:42:29,21.66,332.76
2026-05-13T07:42:34,21.9,331.74
2026-05-13T07:42:39,21.9,331.74
2026-05-13T07:42:44,22.13,331.84
2026-05-13T07:42:49,22.13,331.84
2026-05-13T07:42:54,21.64,319.19
2026-05-13T07:42:59,21.64,319.19
2026-05-13T07:43:04,21.49,316.07
2026-05-13T07:43:09,21.49,316.07
2026-05-13T07:43:14,22.06,336.47
2026-05-13T07:43:19,22.06,336.47
2026-05-13T07:43:24,22.44,353.73
2026-05-13T07:43:29,22.44,353.73
2026-05-13T07:43:34,22.24,342.52
2026-05-13T07:43:39,22.24,342.52
2026-05-13T07:43:44,21.86,334.32
2026-05-13T07:43:49,21.86,334.32
2026-05-13T07:43:54,21.73,335.64
2026-05-13T07:43:59,21.73,335.64
2026-05-13T07:44:04,21.83,333.36
2026-05-13T07:44:09,21.83,333.36
2026-05-13T07:44:14,21.96,349.1
2026-05-13T07:44:19,21.96,349.1
2026-05-13T07:44:24,22.04,347.01
2026-05-13T07:44:29,22.04,347.01
2026-05-13T07:44:34,21.95,334.02
2026-05-13T07:44:39,21.95,334.02
2026-05-13T07:44:44,22.11,334.69
2026-05-13T07:44:49,22.11,334.69
2026-05-13T07:44:54,21.89,328.18
2026-05-13T07:44:59,21.89,328.18
2026-05-13T07:45:04,21.72,334.91
2026-05-13T07:45:09,21.72,334.91
2026-05-13T07:45:14,22.0,340.91
2026-05-13T07:45:19,22.0,340.91
2026-05-13T07:45:24,21.74,334.56
2026-05-13T07:45:29,21.74,334.56
2026-05-13T07:45:34,24.64,360.13
2026-05-13T07:45:39,24.64,360.13
2026-05-13T07:45:44,29.58,421.12
2026-05-13T07:45:49,29.58,421.12
2026-05-13T07:45:54,33.01,481.23
