timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-13T13:56:07,10.7,1132,7941,0,3,100.00,9,4.8,181.0
2026-05-13T13:56:12,8.3,1088,7941,0,3,100.00,6,0.7,187.5
2026-05-13T13:56:18,7.5,1125,7941,0,3,100.00,14,1.1,188.0
2026-05-13T13:56:23,30.0,1054,7941,0,3,100.00,16,1.8,157.9
2026-05-13T13:56:28,22.2,1075,7941,0,4,100.00,18,1.4,175.1
2026-05-13T13:56:33,31.0,1075,7941,0,5,100.00,11,1.0,178.4
2026-05-13T13:56:39,35.6,1087,7941,5,5,100.00,21,1.2,180.5
2026-05-13T13:56:44,19.1,1086,7941,0,7,100.00,14,1.5,185.9
2026-05-13T13:56:49,13.1,1109,7941,0,5,100.00,13,2.1,198.7
2026-05-13T13:56:54,7.5,1101,7941,0,4,100.00,18,1.2,199.3
2026-05-13T13:57:00,11.2,1123,7941,0,4,100.00,8,2.4,215.9
2026-05-13T13:57:05,15.3,1113,7941,0,4,100.00,12,2.8,221.4
2026-05-13T13:57:10,3.4,1126,7941,0,4,100.00,6,1.5,229.3
2026-05-13T13:57:15,8.1,1127,7941,0,4,100.00,14,1.6,229.4
2026-05-13T13:57:21,4.0,1130,7941,0,4,100.00,9,1.9,231.8
2026-05-13T13:57:26,4.3,1118,7941,0,3,100.00,14,2.1,232.1
2026-05-13T13:57:31,3.9,1121,7941,0,3,100.00,7,2.1,232.1
2026-05-13T13:57:36,4.5,1130,7941,0,3,100.00,14,2.2,232.2
2026-05-13T13:57:41,4.7,1127,7941,0,3,100.00,12,2.9,233.1
2026-05-13T13:57:47,4.8,1131,7941,0,3,100.00,12,2.5,233.1
2026-05-13T13:57:52,4.6,1131,7941,0,3,100.00,10,2.5,233.3
2026-05-13T13:57:57,5.3,1128,7941,0,3,100.00,14,2.9,229.1
2026-05-13T13:58:02,5.1,1126,7941,0,3,100.00,9,2.9,229.1
2026-05-13T13:58:08,4.8,1124,7941,0,3,100.00,15,2.4,229.1
2026-05-13T13:58:13,6.3,1128,7941,1,4,100.00,11,3.1,229.9
2026-05-13T13:58:18,7.5,1130,7941,0,5,100.00,21,3.0,230.0
2026-05-13T13:58:23,10.3,1130,7941,0,4,100.00,12,3.9,230.7
2026-05-13T13:58:29,13.1,1131,7941,0,5,100.00,15,2.5,230.8
2026-05-13T13:58:34,11.6,1134,7941,0,5,100.00,20,3.7,231.3
2026-05-13T13:58:39,15.0,1128,7941,0,4,100.00,16,3.3,231.3
2026-05-13T13:58:44,10.0,1130,7941,0,4,100.00,20,3.1,231.4
2026-05-13T13:58:50,7.4,1131,7941,0,5,100.00,15,3.9,232.3
2026-05-13T13:58:55,6.3,1129,7941,0,5,100.00,24,3.2,232.3
2026-05-13T13:59:00,6.9,1122,7941,0,4,100.00,20,4.0,232.5
2026-05-13T13:59:06,14.6,1131,7941,1,4,100.00,19,5.1,233.7
2026-05-13T13:59:11,7.3,1138,7941,0,4,100.00,12,3.7,233.8
2026-05-13T13:59:16,8.1,1138,7941,0,3,100.00,23,4.5,234.2
2026-05-13T13:59:22,7.6,1139,7941,0,3,100.00,17,4.7,235.1
2026-05-13T13:59:27,7.1,1135,7941,0,3,100.00,27,4.0,235.2
2026-05-13T13:59:32,6.9,1140,7941,0,3,100.00,17,4.3,235.4
2026-05-13T13:59:37,7.6,1135,7941,0,5,100.00,21,4.6,236.1
2026-05-13T13:59:43,7.9,1145,7941,0,5,100.00,22,4.8,236.3
2026-05-13T13:59:48,8.2,1140,7941,0,4,100.00,25,4.9,236.4
2026-05-13T13:59:53,7.1,1131,7941,0,4,100.00,12,4.0,236.5
2026-05-13T13:59:59,8.7,1135,7941,0,4,100.00,29,5.1,237.2
2026-05-13T14:00:04,10.2,1136,7941,0,4,100.00,23,8.4,237.3
2026-05-13T14:00:10,10.7,1135,7941,1,3,100.00,15,11.2,237.6
2026-05-13T14:00:15,13.1,1130,7941,0,3,100.00,23,10.4,237.6
2026-05-13T14:00:21,14.9,1136,7941,0,4,100.00,27,7.4,237.8
2026-05-13T14:00:26,15.3,1138,7941,0,5,100.00,31,9.1,241.7
2026-05-13T14:00:31,20.2,1144,7941,0,5,100.00,20,6.9,241.7
2026-05-13T14:00:37,26.0,1149,7941,0,5,100.00,32,6.8,243.8
2026-05-13T14:00:42,19.1,1149,7941,3,4,100.00,22,6.6,243.8
2026-05-13T14:00:47,21.1,1151,7941,0,5,100.00,32,5.8,243.8
2026-05-13T14:00:53,13.4,1147,7941,0,5,100.00,20,6.8,243.4
2026-05-13T14:00:58,10.4,1147,7941,0,5,100.00,27,6.5,243.4
2026-05-13T14:01:03,14.5,1151,7941,1,4,100.00,30,10.5,243.5
2026-05-13T14:01:09,26.5,1146,7941,1,4,100.00,34,8.4,243.6
2026-05-13T14:01:14,13.9,1145,7941,0,5,100.00,35,6.8,243.6
2026-05-13T14:01:19,10.5,1151,7941,0,4,100.00,33,6.7,248.6
2026-05-13T14:01:25,10.2,1150,7941,0,4,100.00,36,6.0,248.6
2026-05-13T14:01:30,10.1,1157,7941,0,4,100.00,30,6.0,249.1
2026-05-13T14:01:35,11.3,1160,7941,0,5,100.00,40,7.1,254.4
2026-05-13T14:01:40,9.2,1156,7941,0,5,100.00,27,5.7,254.4
2026-05-13T14:01:46,10.6,1158,7941,0,5,100.00,32,6.5,254.5
2026-05-13T14:01:51,9.9,1153,7941,0,5,100.00,25,6.3,254.5
2026-05-13T14:01:56,9.2,1157,7941,0,5,100.00,31,5.8,254.5
2026-05-13T14:02:02,11.0,1160,7941,0,5,100.00,22,8.1,254.5
2026-05-13T14:02:07,10.5,1153,7941,0,5,100.00,32,6.6,254.5
2026-05-13T14:02:12,10.0,1153,7941,0,4,100.00,29,6.6,254.6
2026-05-13T14:02:18,33.2,1165,7941,0,9,100.00,33,6.2,254.6
2026-05-13T14:02:23,33.6,1176,7941,0,9,100.00,23,5.9,254.6
2026-05-13T14:02:28,34.0,1185,7941,0,9,100.00,33,5.3,254.6
2026-05-13T14:02:33,26.3,1170,7941,0,6,100.00,21,5.9,254.6
2026-05-13T14:02:39,49.1,1177,7941,1,6,100.00,35,5.8,254.6
2026-05-13T14:02:44,79.1,1177,7941,3,6,100.00,42,6.0,254.7
2026-05-13T14:02:49,58.7,1177,7941,0,10,100.00,33,6.5,254.7
2026-05-13T14:02:55,43.5,1178,7941,3,9,100.00,44,6.1,254.7
2026-05-13T14:03:00,16.4,1160,7941,0,6,100.00,33,6.8,254.7
2026-05-13T14:03:05,11.6,1151,7941,4,1,100.00,27,8.8,254.7
2026-05-13T14:03:11,23.3,1162,7941,4,3,100.00,27,6.0,254.8
2026-05-13T14:03:16,15.0,1167,7941,0,5,100.00,31,6.1,254.8
2026-05-13T14:03:21,21.5,1167,7941,0,7,100.00,23,6.5,254.8
2026-05-13T14:03:27,9.8,1168,7941,0,7,100.00,25,5.9,254.8
2026-05-13T14:03:32,9.0,1153,7941,0,4,100.00,23,5.7,254.8
2026-05-13T14:03:37,9.1,1169,7941,0,4,100.00,29,5.4,254.8
2026-05-13T14:03:43,9.9,1163,7941,0,5,100.00,32,6.3,254.8
2026-05-13T14:03:48,10.2,1165,7941,0,5,100.00,38,6.2,254.8
2026-05-13T14:03:53,9.6,1157,7941,0,5,100.00,28,5.9,254.9
2026-05-13T14:03:58,9.6,1163,7941,0,5,100.00,31,5.9,254.9
2026-05-13T14:04:04,10.7,1158,7941,0,4,100.00,27,7.9,254.9
2026-05-13T14:04:09,10.3,1162,7941,0,3,100.00,19,6.5,255.0
2026-05-13T14:04:14,8.8,1160,7941,0,5,100.00,32,5.2,255.0
2026-05-13T14:04:20,10.0,1166,7941,0,5,100.00,28,6.3,255.0
2026-05-13T14:04:25,15.2,1151,7941,0,4,100.00,42,6.7,255.0
2026-05-13T14:04:30,13.0,1154,7941,0,4,100.00,21,6.0,255.0
