timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-13T18:08:46,7.0,1152,7941,0,3,100.00,8,5.9,182.4
2026-05-13T18:08:51,17.9,1135,7941,0,3,100.00,8,1.1,190.4
2026-05-13T18:08:56,15.9,1122,7941,0,4,100.00,13,0.9,192.2
2026-05-13T18:09:01,20.5,1105,7941,0,4,100.00,10,2.0,166.3
2026-05-13T18:09:07,88.5,1115,7941,3,8,100.00,18,2.7,170.8
2026-05-13T18:09:12,33.1,1120,7941,0,11,100.00,11,1.2,174.2
2026-05-13T18:09:17,25.0,1128,7941,0,4,100.00,26,2.5,195.2
2026-05-13T18:09:23,17.8,1131,7941,0,4,100.00,11,2.0,205.5
2026-05-13T18:09:28,10.4,1133,7941,0,5,100.00,18,2.1,206.5
2026-05-13T18:09:33,20.3,1151,7941,0,5,100.00,16,2.7,227.0
2026-05-13T18:09:38,4.0,1149,7941,0,5,100.00,11,2.3,228.9
2026-05-13T18:09:44,9.3,1153,7941,0,5,100.00,12,2.3,231.5
2026-05-13T18:09:49,3.9,1139,7941,0,5,100.00,7,1.9,210.0
2026-05-13T18:09:54,3.9,1129,7941,0,4,100.00,13,2.1,210.1
2026-05-13T18:09:59,4.3,1130,7941,0,3,100.00,7,2.5,207.0
2026-05-13T18:10:05,6.6,1129,7941,0,3,100.00,11,5.4,207.2
2026-05-13T18:10:10,7.1,1128,7941,0,3,100.00,10,4.9,214.2
2026-05-13T18:10:15,6.3,1133,7941,0,3,100.00,16,3.4,214.2
2026-05-13T18:10:21,6.2,1131,7941,0,3,100.00,7,4.0,215.7
2026-05-13T18:10:26,6.2,1136,7941,0,3,100.00,15,3.5,215.8
2026-05-13T18:10:31,5.4,1145,7941,0,3,100.00,7,3.4,215.9
2026-05-13T18:10:36,5.9,1135,7941,0,3,100.00,18,3.6,216.0
2026-05-13T18:10:42,5.9,1138,7941,0,3,100.00,8,3.4,216.1
2026-05-13T18:10:47,6.2,1137,7941,0,4,100.00,18,3.9,216.6
2026-05-13T18:10:52,7.5,1142,7941,0,4,100.00,14,4.2,217.6
2026-05-13T18:10:57,8.9,1145,7941,0,4,100.00,19,4.3,218.0
2026-05-13T18:11:03,12.7,1143,7941,0,5,100.00,17,4.8,218.4
2026-05-13T18:11:08,15.7,1142,7941,0,5,100.00,18,3.9,218.4
2026-05-13T18:11:13,12.6,1141,7941,0,5,100.00,12,4.0,219.2
2026-05-13T18:11:18,10.4,1135,7941,0,4,100.00,23,4.5,219.5
2026-05-13T18:11:24,7.9,1140,7941,1,3,100.00,16,3.8,219.7
2026-05-13T18:11:29,12.3,1146,7941,0,5,100.00,18,4.5,220.2
2026-05-13T18:11:34,7.1,1148,7941,0,5,100.00,19,4.0,220.6
2026-05-13T18:11:39,6.7,1146,7941,0,4,100.00,8,3.8,220.9
2026-05-13T18:11:44,10.0,1141,7941,0,4,100.00,21,4.6,221.4
2026-05-13T18:11:50,7.1,1145,7941,0,4,100.00,15,4.8,221.7
2026-05-13T18:11:55,7.0,1150,7941,0,3,100.00,31,4.3,222.2
2026-05-13T18:12:00,7.3,1153,7941,0,3,100.00,16,5.0,223.3
2026-05-13T18:12:05,8.7,1148,7941,0,3,100.00,28,5.9,223.5
2026-05-13T18:12:11,7.5,1155,7941,0,4,100.00,17,5.1,223.8
2026-05-13T18:12:16,8.2,1146,7941,0,3,100.00,24,5.4,223.9
2026-05-13T18:12:21,7.8,1152,7941,0,3,100.00,22,5.1,224.3
2026-05-13T18:12:26,8.3,1144,7941,0,3,100.00,21,5.5,225.3
2026-05-13T18:12:32,7.5,1146,7941,0,3,100.00,21,5.1,227.6
2026-05-13T18:12:37,7.9,1147,7941,0,4,100.00,28,5.2,227.8
2026-05-13T18:12:42,8.0,1157,7941,0,4,100.00,25,5.0,227.8
2026-05-13T18:12:47,9.7,1155,7941,0,4,100.00,33,6.6,228.2
2026-05-13T18:12:53,8.3,1157,7941,0,3,100.00,20,5.5,228.3
2026-05-13T18:12:58,10.0,1151,7941,0,4,100.00,27,6.4,228.7
2026-05-13T18:13:03,12.9,1151,7941,0,5,100.00,27,7.3,228.9
2026-05-13T18:13:08,19.7,1157,7941,0,5,100.00,29,6.8,228.9
2026-05-13T18:13:14,17.7,1160,7941,1,4,100.00,26,6.9,228.9
2026-05-13T18:13:19,16.6,1155,7941,0,4,100.00,30,7.2,231.4
2026-05-13T18:13:24,10.8,1151,7941,0,4,100.00,28,6.2,231.5
2026-05-13T18:13:29,13.1,1167,7941,1,4,100.00,29,7.5,240.0
2026-05-13T18:13:35,13.9,1169,7941,0,5,100.00,36,7.1,239.9
2026-05-13T18:13:40,13.4,1169,7941,0,5,100.00,22,7.4,239.9
2026-05-13T18:13:45,14.5,1161,7941,0,4,100.00,33,7.3,239.9
2026-05-13T18:13:50,10.9,1167,7941,0,4,100.00,30,7.4,239.9
2026-05-13T18:13:56,10.7,1164,7941,0,5,100.00,30,7.2,239.9
2026-05-13T18:14:01,11.3,1171,7941,0,5,100.00,22,8.1,240.1
2026-05-13T18:14:06,10.4,1160,7941,0,4,100.00,36,7.0,240.2
2026-05-13T18:14:12,10.5,1166,7941,0,5,100.00,28,7.3,240.2
2026-05-13T18:14:17,9.6,1165,7941,0,5,100.00,43,6.3,240.3
2026-05-13T18:14:22,10.5,1165,7941,0,5,100.00,28,7.3,240.3
2026-05-13T18:14:27,10.5,1160,7941,0,4,100.00,39,7.1,240.4
2026-05-13T18:14:33,10.4,1164,7941,0,4,100.00,35,7.2,240.6
2026-05-13T18:14:38,9.7,1168,7941,0,4,100.00,32,6.5,240.6
2026-05-13T18:14:43,10.6,1168,7941,0,5,100.00,24,7.2,240.6
2026-05-13T18:14:48,10.5,1166,7941,0,5,100.00,29,6.9,240.7
2026-05-13T18:14:54,13.9,1164,7941,0,4,100.00,34,6.2,240.8
2026-05-13T18:14:59,9.6,1166,7941,3,4,100.00,29,6.3,240.8
2026-05-13T18:15:04,47.0,1183,7941,0,9,100.00,33,12.5,240.8
2026-05-13T18:15:10,70.6,1191,7941,5,6,100.00,43,10.2,240.9
2026-05-13T18:15:15,54.7,1189,7941,0,9,100.00,34,7.2,243.2
2026-05-13T18:15:20,30.4,1189,7941,0,9,100.00,29,5.9,243.2
2026-05-13T18:15:25,33.2,1187,7941,0,7,100.00,33,5.7,250.6
2026-05-13T18:15:31,26.3,1194,7941,0,6,100.00,39,5.9,265.7
2026-05-13T18:15:36,27.0,1212,7941,0,5,100.00,38,5.9,280.4
2026-05-13T18:15:41,21.0,1215,7941,0,5,100.00,32,5.6,280.4
2026-05-13T18:15:46,24.1,1216,7941,0,5,100.00,29,5.4,280.6
2026-05-13T18:15:52,17.3,1217,7941,0,5,100.00,22,6.0,280.7
2026-05-13T18:15:57,9.9,1206,7941,0,5,100.00,38,6.5,280.9
2026-05-13T18:16:02,9.7,1217,7941,0,5,100.00,28,6.5,280.9
2026-05-13T18:16:07,9.7,1211,7941,1,3,100.00,33,6.2,280.9
2026-05-13T18:16:13,9.4,1217,7941,0,4,100.00,23,6.5,281.0
2026-05-13T18:16:18,9.9,1205,7941,0,4,100.00,34,6.2,281.0
2026-05-13T18:16:23,9.8,1212,7941,0,4,100.00,24,6.8,281.1
2026-05-13T18:16:28,10.4,1208,7941,0,4,100.00,31,6.9,281.1
2026-05-13T18:16:34,8.6,1207,7941,0,4,100.00,33,5.8,281.2
2026-05-13T18:16:39,9.3,1207,7941,0,4,100.00,27,6.1,281.3
2026-05-13T18:16:44,9.1,1211,7941,0,3,100.00,29,5.5,281.3
2026-05-13T18:16:49,8.7,1208,7941,0,5,100.00,26,5.5,281.4
2026-05-13T18:16:55,9.2,1208,7941,0,5,100.00,27,6.0,281.4
2026-05-13T18:17:00,8.7,1208,7941,0,5,100.00,22,5.7,281.7
2026-05-13T18:17:05,12.7,1212,7941,0,5,100.00,44,6.9,281.7
2026-05-13T18:17:10,16.2,1218,7941,0,5,100.00,30,5.3,281.7
2026-05-13T18:17:16,21.6,1227,7941,2,4,100.00,29,5.9,290.4
2026-05-13T18:17:21,14.2,1239,7941,0,6,100.00,25,5.9,305.6
2026-05-13T18:17:26,14.3,1244,7941,0,4,100.00,35,6.7,320.8
2026-05-13T18:17:31,10.3,1262,7941,0,4,100.00,21,6.2,336.0
2026-05-13T18:17:37,15.2,1279,7941,0,5,100.00,23,7.4,349.3
2026-05-13T18:17:42,10.5,1289,7941,0,5,100.00,28,5.7,349.3
2026-05-13T18:17:47,10.2,1284,7941,0,4,100.00,33,6.8,349.3
2026-05-13T18:17:52,20.7,1288,7941,0,5,100.00,28,6.5,349.3
2026-05-13T18:17:58,11.7,1282,7941,0,5,100.00,39,7.3,349.4
2026-05-13T18:18:03,11.9,1284,7941,0,5,100.00,25,9.0,349.4
2026-05-13T18:18:08,11.3,1285,7941,0,5,100.00,28,7.5,349.4
2026-05-13T18:18:14,10.8,1286,7941,0,4,100.00,28,7.2,349.5
2026-05-13T18:18:19,9.8,1281,7941,0,5,100.00,31,6.3,349.5
2026-05-13T18:18:24,10.6,1276,7941,0,5,100.00,27,7.0,349.5
2026-05-13T18:18:29,10.1,1279,7941,0,4,100.00,21,6.7,349.5
2026-05-13T18:18:35,9.8,1280,7941,0,3,100.00,24,6.2,349.5
2026-05-13T18:18:40,9.3,1284,7941,0,4,100.00,25,6.0,349.7
2026-05-13T18:18:45,8.6,1277,7941,0,4,100.00,28,5.1,349.7
2026-05-13T18:18:50,8.6,1278,7941,0,3,100.00,24,5.5,349.9
2026-05-13T18:18:56,10.5,1281,7941,0,5,100.00,34,7.0,349.9
2026-05-13T18:19:01,10.1,1280,7941,0,5,100.00,36,6.9,349.9
2026-05-13T18:19:06,17.1,1275,7941,0,4,100.00,41,11.1,349.9
2026-05-13T18:19:12,17.9,1284,7941,0,6,100.00,23,6.7,349.9
2026-05-13T18:19:17,20.7,1284,7941,2,4,100.00,43,6.8,349.9
2026-05-13T18:19:22,22.3,1287,7941,1,5,100.00,33,7.0,349.9
2026-05-13T18:19:27,13.2,1286,7941,0,5,100.00,35,5.9,349.9
2026-05-13T18:19:33,10.9,1283,7941,0,4,100.00,30,6.6,349.9
2026-05-13T18:19:38,11.0,1282,7941,0,4,100.00,43,6.6,349.9
2026-05-13T18:19:43,21.4,1289,7941,0,8,100.00,24,6.4,349.9
2026-05-13T18:19:48,10.9,1293,7941,0,8,100.00,38,7.2,349.9
2026-05-13T18:19:54,9.6,1272,7941,0,3,100.00,32,6.3,349.9
2026-05-13T18:19:59,18.2,1286,7941,0,5,100.00,32,6.9,349.9
2026-05-13T18:20:04,14.3,1278,7941,0,5,100.00,28,12.2,349.9
2026-05-13T18:20:10,13.8,1287,7941,0,4,100.00,28,11.7,349.9
2026-05-13T18:20:15,13.7,1292,7941,0,5,100.00,36,10.1,349.9
2026-05-13T18:20:21,12.9,1287,7941,0,5,100.00,27,9.7,349.9
2026-05-13T18:20:26,12.3,1287,7941,0,5,100.00,22,8.3,349.9
2026-05-13T18:20:31,10.9,1283,7941,0,5,100.00,29,7.1,349.9
2026-05-13T18:20:37,11.5,1287,7941,0,5,100.00,35,7.8,352.3
2026-05-13T18:20:42,10.3,1293,7941,0,5,100.00,25,6.5,352.3
2026-05-13T18:20:47,10.1,1282,7941,0,5,100.00,28,6.7,352.3
2026-05-13T18:20:52,9.9,1281,7941,0,3,100.00,29,6.5,352.4
2026-05-13T18:20:58,19.9,1288,7941,0,6,100.00,31,6.7,352.4
2026-05-13T18:21:03,11.1,1286,7941,0,6,100.00,28,8.6,352.5
2026-05-13T18:21:08,27.5,1289,7941,3,4,100.00,27,7.5,352.5
2026-05-13T18:21:13,49.8,1298,7941,4,6,100.00,30,7.0,352.6
2026-05-13T18:21:19,51.4,1292,7941,9,3,100.00,33,7.0,352.6
2026-05-13T18:21:24,50.6,1289,7941,0,9,100.00,37,6.4,352.8
2026-05-13T18:21:29,51.3,1297,7941,7,5,100.00,29,6.9,352.9
2026-05-13T18:21:35,48.9,1285,7941,0,8,100.00,42,7.5,352.9
2026-05-13T18:21:40,23.6,1293,7941,0,8,100.00,30,7.0,352.9
2026-05-13T18:21:45,35.9,1282,7941,0,7,100.00,35,6.3,352.9
2026-05-13T18:21:51,10.4,1281,7941,0,7,100.00,27,6.9,352.9
2026-05-13T18:21:56,11.3,1277,7941,0,5,100.00,45,7.3,353.1
2026-05-13T18:22:01,31.2,1298,7941,0,8,100.00,30,7.6,353.3
2026-05-13T18:22:07,12.6,1287,7941,0,8,100.00,33,7.3,353.3
2026-05-13T18:22:12,10.4,1274,7941,0,5,100.00,31,7.2,353.3
2026-05-13T18:22:17,10.6,1274,7941,0,5,100.00,31,6.7,353.3
2026-05-13T18:22:23,11.2,1270,7941,0,3,100.00,28,7.1,353.3
2026-05-13T18:22:28,11.3,1267,7941,0,4,100.00,29,7.5,353.3
2026-05-13T18:22:33,10.4,1271,7941,0,4,100.00,27,6.9,353.4
2026-05-13T18:22:38,10.6,1266,7941,0,4,100.00,29,7.0,353.4
2026-05-13T18:22:44,9.2,1271,7941,0,3,100.00,32,5.5,353.4
2026-05-13T18:22:49,9.5,1274,7941,0,5,100.00,22,6.2,353.4
2026-05-13T18:22:54,9.0,1270,7941,0,5,100.00,31,5.9,353.4
2026-05-13T18:22:59,8.1,1263,7941,0,3,100.00,27,5.2,353.4
2026-05-13T18:23:05,10.5,1263,7941,0,4,100.00,25,7.0,353.4
2026-05-13T18:23:10,9.5,1272,7941,0,5,100.00,24,6.3,353.4
2026-05-13T18:23:15,25.9,1281,7941,0,5,100.00,36,6.5,353.4
2026-05-13T18:23:20,8.6,1281,7941,0,5,100.00,18,5.7,353.4
2026-05-13T18:23:26,20.1,1277,7941,0,5,100.00,30,6.9,353.4
2026-05-13T18:23:31,11.5,1273,7941,0,5,100.00,30,7.1,353.5
2026-05-13T18:23:36,18.6,1278,7941,0,6,100.00,29,6.2,353.5
2026-05-13T18:23:41,10.2,1283,7941,1,5,100.00,28,6.2,353.5
2026-05-13T18:23:46,13.1,1272,7941,0,4,100.00,35,5.8,353.5
2026-05-13T18:23:52,12.1,1272,7941,0,4,100.00,22,6.4,353.6
2026-05-13T18:23:57,10.7,1280,7941,0,4,100.00,40,7.1,353.6
2026-05-13T18:24:02,15.1,1282,7941,0,4,100.00,26,7.6,353.7
2026-05-13T18:24:08,10.5,1273,7941,0,4,100.00,36,6.6,353.9
2026-05-13T18:24:13,8.6,1278,7941,0,5,100.00,36,5.6,353.9
2026-05-13T18:24:18,9.7,1273,7941,0,5,100.00,34,6.4,353.9
2026-05-13T18:24:23,9.6,1273,7941,0,5,100.00,29,6.5,353.9
2026-05-13T18:24:29,8.8,1273,7941,0,5,100.00,28,5.9,353.9
2026-05-13T18:24:34,8.3,1279,7941,1,5,100.00,31,5.4,353.9
2026-05-13T18:24:39,8.7,1276,7941,0,5,100.00,24,5.9,353.9
2026-05-13T18:24:44,10.2,1267,7941,0,3,100.00,35,6.3,353.9
2026-05-13T18:24:49,8.9,1275,7941,0,3,100.00,25,5.8,353.9
2026-05-13T18:24:55,8.9,1277,7941,0,4,100.00,34,5.9,353.9
2026-05-13T18:25:00,9.3,1278,7941,0,4,100.00,32,6.3,353.9
2026-05-13T18:25:05,14.4,1275,7941,0,4,100.00,26,13.2,354.2
2026-05-13T18:25:10,9.1,1277,7941,0,4,100.00,29,5.9,354.2
2026-05-13T18:25:16,25.0,1276,7941,0,6,100.00,38,6.6,354.2
2026-05-13T18:25:21,9.3,1283,7941,0,6,100.00,26,5.8,354.5
2026-05-13T18:25:26,21.4,1275,7941,0,6,100.00,41,6.6,354.5
2026-05-13T18:25:31,11.4,1279,7941,0,6,100.00,29,5.9,354.5
2026-05-13T18:25:37,10.0,1273,7941,1,3,100.00,37,5.4,354.5
2026-05-13T18:25:42,15.3,1281,7941,0,4,100.00,29,6.5,354.5
2026-05-13T18:25:47,10.6,1278,7941,0,4,100.00,33,6.0,354.6
2026-05-13T18:25:52,17.6,1278,7941,0,4,100.00,29,5.8,354.7
2026-05-13T18:25:58,9.1,1277,7941,0,4,100.00,36,5.9,354.7
2026-05-13T18:26:03,18.6,1281,7941,0,4,100.00,26,6.9,354.7
2026-05-13T18:26:08,9.9,1276,7941,0,4,100.00,34,6.6,354.7
2026-05-13T18:26:13,9.9,1282,7941,0,5,100.00,26,6.3,354.8
2026-05-13T18:26:19,9.7,1280,7941,0,5,100.00,34,6.4,355.0
2026-05-13T18:26:24,8.8,1276,7941,0,3,100.00,23,5.9,355.0
2026-05-13T18:26:29,9.3,1277,7941,0,5,100.00,24,6.3,355.0
2026-05-13T18:26:34,9.5,1281,7941,0,5,100.00,28,6.2,355.0
2026-05-13T18:26:40,9.5,1274,7941,0,3,100.00,25,6.2,355.0
2026-05-13T18:26:45,10.1,1277,7941,0,5,100.00,35,6.3,355.0
2026-05-13T18:26:50,9.0,1281,7941,0,5,100.00,26,5.8,355.0
2026-05-13T18:26:55,8.9,1289,7941,0,5,100.00,29,5.9,355.0
2026-05-13T18:27:01,9.3,1292,7941,0,5,100.00,22,6.4,355.0
2026-05-13T18:27:06,24.5,1285,7941,0,5,100.00,37,7.1,355.0
2026-05-13T18:27:11,9.2,1280,7941,0,4,100.00,28,6.3,355.0
2026-05-13T18:27:16,42.0,1301,7941,11,3,100.00,40,7.1,355.0
2026-05-13T18:27:22,48.4,1314,7941,0,11,100.00,22,6.6,355.3
2026-05-13T18:27:27,22.8,1306,7941,0,11,100.00,41,5.4,355.3
2026-05-13T18:27:32,36.0,1297,7941,3,10,100.00,34,6.4,355.3
2026-05-13T18:27:38,27.6,1306,7941,0,11,100.00,28,6.5,355.3
2026-05-13T18:27:43,43.0,1293,7941,4,7,100.00,40,6.5,355.3
2026-05-13T18:27:48,31.0,1294,7941,1,8,100.00,35,7.1,355.3
2026-05-13T18:27:54,28.5,1286,7941,0,5,100.00,32,6.3,355.3
2026-05-13T18:27:59,9.7,1277,7941,0,5,100.00,27,6.6,355.4
2026-05-13T18:28:04,17.9,1287,7941,0,5,100.00,33,7.4,355.6
2026-05-13T18:28:09,17.8,1288,7941,0,5,100.00,22,6.1,355.6
2026-05-13T18:28:15,20.4,1294,7941,0,7,100.00,33,6.2,355.6
2026-05-13T18:28:20,9.8,1292,7941,0,7,100.00,28,6.5,355.7
2026-05-13T18:28:25,10.0,1274,7941,0,3,100.00,37,5.9,355.8
2026-05-13T18:28:31,8.3,1282,7941,0,3,100.00,33,5.2,355.8
2026-05-13T18:28:36,8.9,1269,7941,0,3,100.00,23,5.5,355.8
2026-05-13T18:28:41,8.5,1280,7941,0,3,100.00,18,5.5,355.8
2026-05-13T18:28:46,9.3,1279,7941,0,3,100.00,26,6.0,355.8
2026-05-13T18:28:51,9.1,1278,7941,0,5,100.00,24,6.0,355.8
2026-05-13T18:28:57,9.6,1283,7941,0,5,100.00,35,6.3,355.8
2026-05-13T18:29:02,10.3,1278,7941,0,4,100.00,17,7.2,356.0
2026-05-13T18:29:07,9.7,1272,7941,0,3,100.00,34,6.3,356.0
2026-05-13T18:29:12,10.1,1277,7941,0,3,100.00,31,6.7,356.0
2026-05-13T18:29:18,16.9,1279,7941,0,4,100.00,33,7.3,356.0
2026-05-13T18:29:23,23.9,1284,7941,0,4,100.00,33,7.3,356.0
2026-05-13T18:29:28,12.6,1284,7941,1,3,100.00,39,7.0,356.0
2026-05-13T18:29:34,18.7,1281,7941,1,4,100.00,24,7.0,356.0
2026-05-13T18:29:39,12.5,1276,7941,0,5,100.00,32,7.2,356.0
2026-05-13T18:29:44,15.0,1277,7941,0,4,100.00,35,7.0,356.0
2026-05-13T18:29:49,14.7,1288,7941,0,6,100.00,25,6.8,356.0
2026-05-13T18:29:55,15.7,1279,7941,0,6,100.00,35,6.9,356.0
2026-05-13T18:30:00,10.0,1271,7941,0,4,100.00,21,6.8,356.0
2026-05-13T18:30:05,17.1,1274,7941,0,4,100.00,34,14.7,356.0
2026-05-13T18:30:11,22.2,1276,7941,0,5,100.00,19,10.2,356.0
2026-05-13T18:30:16,13.4,1278,7941,0,5,100.00,39,8.2,356.0
2026-05-13T18:30:21,12.2,1278,7941,0,3,100.00,20,8.6,356.0
2026-05-13T18:30:27,13.0,1281,7941,0,3,100.00,35,8.6,356.0
2026-05-13T18:30:32,11.0,1287,7941,0,4,100.00,16,7.1,356.0
2026-05-13T18:30:37,11.2,1282,7941,0,4,100.00,28,7.2,356.0
2026-05-13T18:30:43,11.8,1283,7941,0,3,100.00,29,7.9,356.0
2026-05-13T18:30:48,11.2,1283,7941,0,3,100.00,27,7.4,356.0
2026-05-13T18:30:53,10.4,1280,7941,0,4,100.00,23,6.9,356.0
2026-05-13T18:30:58,10.7,1265,7941,0,4,100.00,33,6.9,356.0
2026-05-13T18:31:04,13.0,1272,7941,1,4,100.00,36,9.8,356.0
2026-05-13T18:31:09,12.2,1268,7941,0,3,100.00,23,8.3,356.0
2026-05-13T18:31:14,10.6,1275,7941,0,5,100.00,31,6.9,356.0
2026-05-13T18:31:20,20.4,1276,7941,0,5,100.00,26,7.0,356.0
2026-05-13T18:31:25,16.5,1277,7941,0,6,100.00,35,7.1,356.0
2026-05-13T18:31:30,15.7,1276,7941,0,6,100.00,26,7.0,356.0
2026-05-13T18:31:35,14.4,1270,7941,0,5,100.00,27,7.0,356.0
2026-05-13T18:31:41,12.5,1274,7941,1,4,100.00,29,6.5,356.0
2026-05-13T18:31:46,18.6,1270,7941,0,5,100.00,29,6.7,356.0
2026-05-13T18:31:51,12.4,1274,7941,0,5,100.00,26,6.3,356.0
2026-05-13T18:31:56,14.0,1276,7941,0,5,100.00,32,7.3,356.0
2026-05-13T18:32:02,19.0,1287,7941,0,8,100.00,32,8.2,356.0
2026-05-13T18:32:07,9.7,1285,7941,0,8,100.00,26,5.5,356.0
2026-05-13T18:32:12,12.3,1273,7941,0,5,100.00,18,6.3,356.0
2026-05-13T18:32:18,9.8,1270,7941,0,4,100.00,28,6.2,356.0
2026-05-13T18:32:23,10.9,1278,7941,0,4,100.00,26,6.7,356.0
2026-05-13T18:32:28,11.2,1276,7941,0,5,100.00,31,7.3,356.0
2026-05-13T18:32:33,10.1,1267,7941,0,3,100.00,29,6.9,356.0
2026-05-13T18:32:39,9.8,1266,7941,0,3,100.00,29,6.5,356.0
