timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-14T09:33:11,7.9,1294,7941,0,3,100.00,2,7.0,181.6
2026-05-14T09:33:16,13.8,1269,7941,0,3,100.00,14,1.4,160.5
2026-05-14T09:33:22,20.2,1250,7941,0,4,100.00,6,1.8,162.3
2026-05-14T09:33:27,25.2,1244,7941,8,3,100.00,15,2.2,165.4
2026-05-14T09:33:32,35.1,1254,7941,0,8,100.00,11,1.7,181.8
2026-05-14T09:33:38,39.4,1251,7941,4,4,100.00,21,1.4,183.3
2026-05-14T09:33:43,15.6,1251,7941,0,6,100.00,10,2.0,188.4
2026-05-14T09:33:48,15.3,1255,7941,0,5,100.00,18,2.4,192.4
2026-05-14T09:33:54,35.1,1268,7941,0,6,100.00,20,2.1,193.8
2026-05-14T09:33:59,17.6,1268,7941,0,6,100.00,10,2.2,201.4
2026-05-14T09:34:04,16.6,1270,7941,4,5,100.00,15,2.6,208.1
2026-05-14T09:34:10,12.7,1279,7941,0,7,100.00,8,3.8,209.7
2026-05-14T09:34:15,17.3,1276,7941,0,5,100.00,16,3.6,215.8
2026-05-14T09:34:20,5.0,1279,7941,0,4,100.00,13,2.4,215.8
2026-05-14T09:34:26,5.3,1277,7941,0,3,100.00,13,2.9,215.6
2026-05-14T09:34:31,5.0,1280,7941,0,3,100.00,4,2.9,211.4
2026-05-14T09:34:36,5.4,1282,7941,0,3,100.00,11,2.9,211.5
2026-05-14T09:34:42,5.9,1281,7941,0,3,100.00,6,3.8,212.3
2026-05-14T09:34:47,5.5,1275,7941,0,3,100.00,13,2.9,212.4
2026-05-14T09:34:52,6.7,1269,7941,0,3,100.00,10,4.2,212.7
2026-05-14T09:34:57,5.7,1271,7941,0,3,100.00,14,3.0,212.8
2026-05-14T09:35:03,6.4,1272,7941,0,3,100.00,5,5.8,213.6
2026-05-14T09:35:08,7.3,1267,7941,0,3,100.00,12,4.9,213.9
2026-05-14T09:35:14,6.1,1270,7941,0,3,100.00,12,3.8,214.7
2026-05-14T09:35:19,6.8,1276,7941,0,4,100.00,16,3.6,215.0
2026-05-14T09:35:24,12.7,1273,7941,0,5,100.00,17,4.2,215.2
2026-05-14T09:35:29,7.7,1274,7941,0,5,100.00,14,4.9,215.6
2026-05-14T09:35:35,13.0,1276,7941,0,7,100.00,21,3.8,215.6
2026-05-14T09:35:40,23.6,1280,7941,0,7,100.00,16,6.0,216.0
2026-05-14T09:35:45,10.2,1277,7941,0,6,100.00,17,5.1,216.6
2026-05-14T09:35:51,7.9,1278,7941,0,4,100.00,15,4.3,216.7
2026-05-14T09:35:56,12.3,1278,7941,0,4,100.00,23,5.7,217.6
2026-05-14T09:36:01,8.7,1283,7941,1,3,100.00,16,5.9,218.3
2026-05-14T09:36:07,16.9,1283,7941,0,4,100.00,22,7.0,218.6
2026-05-14T09:36:12,44.5,1297,7941,0,6,100.00,45,19.5,231.5
2026-05-14T09:36:17,41.1,1344,7941,0,6,100.00,139,29.2,266.8
2026-05-14T09:36:23,37.6,1418,7941,0,5,100.00,122,28.1,331.7
2026-05-14T09:36:28,37.3,1425,7941,0,5,100.00,113,27.7,352.9
2026-05-14T09:36:33,37.1,1428,7941,1,4,100.00,130,27.5,353.7
2026-05-14T09:36:39,35.1,1446,7941,0,6,100.00,136,26.3,362.0
2026-05-14T09:36:44,37.2,1451,7941,0,6,100.00,111,27.5,362.2
2026-05-14T09:36:49,38.3,1455,7941,0,6,100.00,119,28.4,362.8
2026-05-14T09:36:55,36.4,1455,7941,0,6,100.00,140,27.4,363.8
2026-05-14T09:37:00,36.7,1455,7941,0,6,100.00,104,27.6,366.5
2026-05-14T09:37:05,37.0,1458,7941,0,6,100.00,104,28.1,366.5
2026-05-14T09:37:11,36.9,1471,7941,0,6,100.00,127,27.7,370.4
2026-05-14T09:37:16,34.6,1463,7941,0,5,100.00,136,25.1,370.6
2026-05-14T09:37:21,38.6,1478,7941,0,5,100.00,138,27.3,371.4
2026-05-14T09:37:27,45.4,1391,7941,0,6,100.00,106,25.4,371.5
2026-05-14T09:37:32,34.9,1394,7941,0,6,100.00,103,26.4,371.9
2026-05-14T09:37:37,53.6,1403,7941,2,7,100.00,137,24.9,371.9
2026-05-14T09:37:42,47.3,1404,7941,0,9,100.00,126,27.0,372.1
2026-05-14T09:37:48,40.2,1385,7941,0,6,100.00,130,27.8,372.1
2026-05-14T09:37:53,37.1,1390,7941,0,5,100.00,98,27.4,373.0
2026-05-14T09:37:58,42.5,1391,7941,0,8,100.00,113,27.7,373.2
2026-05-14T09:38:04,46.8,1394,7941,2,7,100.00,102,28.1,373.4
2026-05-14T09:38:09,61.8,1410,7941,1,8,100.00,114,24.9,373.4
2026-05-14T09:38:15,49.6,1404,7941,0,9,100.00,123,25.3,373.4
2026-05-14T09:38:20,33.1,1404,7941,0,6,100.00,146,24.2,373.4
2026-05-14T09:38:25,30.7,1409,7941,0,6,100.00,106,23.2,373.6
2026-05-14T09:38:30,11.0,1403,7941,0,5,100.00,32,7.4,373.6
2026-05-14T09:38:36,6.7,1385,7941,0,3,100.00,32,3.6,373.6
2026-05-14T09:38:41,5.8,1391,7941,0,4,100.00,21,3.4,373.6
2026-05-14T09:38:46,5.8,1385,7941,0,4,100.00,29,3.2,373.6
2026-05-14T09:38:51,5.5,1386,7941,0,4,100.00,14,3.2,373.6
