timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-14T09:44:18,0.06,0.06
2026-05-14T09:44:23,0.06,0.06
2026-05-14T09:44:28,0.18,0.19
2026-05-14T09:44:33,0.18,0.19
2026-05-14T09:44:38,0.28,0.77
2026-05-14T09:44:43,0.28,0.77
2026-05-14T09:44:48,0.26,1.22
2026-05-14T09:44:53,0.26,1.22
2026-05-14T09:44:58,0.83,5.6
2026-05-14T09:45:03,0.83,5.6
2026-05-14T09:45:08,2.02,15.79
2026-05-14T09:45:13,2.02,15.79
2026-05-14T09:45:18,3.01,29.19
2026-05-14T09:45:23,3.01,29.19
2026-05-14T09:45:28,4.09,50.64
2026-05-14T09:45:33,4.09,50.64
2026-05-14T09:45:38,5.31,69.21
2026-05-14T09:45:43,5.31,69.21
2026-05-14T09:45:48,6.57,89.83
2026-05-14T09:45:53,6.57,89.83
2026-05-14T09:45:58,7.58,108.35
2026-05-14T09:46:03,7.58,108.35
2026-05-14T09:46:08,8.96,121.8
2026-05-14T09:46:13,8.96,121.8
2026-05-14T09:46:18,10.33,147.33
2026-05-14T09:46:23,10.33,147.33
2026-05-14T09:46:28,11.25,168.16
2026-05-14T09:46:33,11.25,168.16
2026-05-14T09:46:38,12.52,184.74
2026-05-14T09:46:43,12.52,184.74
2026-05-14T09:46:48,13.97,207.13
2026-05-14T09:46:53,13.97,207.13
2026-05-14T09:46:58,15.39,229.31
2026-05-14T09:47:03,15.39,229.31
2026-05-14T09:47:08,16.5,252.56
2026-05-14T09:47:13,16.5,252.56
2026-05-14T09:47:18,17.58,270.81
2026-05-14T09:47:23,17.58,270.81
2026-05-14T09:47:28,19.03,292.41
2026-05-14T09:47:33,19.03,292.41
2026-05-14T09:47:38,20.1,302.56
2026-05-14T09:47:43,20.1,302.56
2026-05-14T09:47:48,21.06,307.03
2026-05-14T09:47:53,21.06,307.03
2026-05-14T09:47:58,121.28,951.98
2026-05-14T09:48:03,121.28,951.98
2026-05-14T09:48:08,219.38,2249.72
2026-05-14T09:48:13,219.38,2249.72
2026-05-14T09:48:18,209.19,3081.49
2026-05-14T09:48:23,209.19,3081.49
2026-05-14T09:48:28,205.44,3289.79
2026-05-14T09:48:33,205.44,3289.79
2026-05-14T09:48:38,212.88,3386.95
2026-05-14T09:48:43,212.88,3386.95
2026-05-14T09:48:48,213.74,3353.63
2026-05-14T09:48:53,213.74,3353.63
2026-05-14T09:48:58,212.56,3275.84
2026-05-14T09:49:03,212.56,3275.84
2026-05-14T09:49:08,208.43,3178.78
2026-05-14T09:49:13,208.43,3178.78
2026-05-14T09:49:18,204.9,3223.36
2026-05-14T09:49:23,204.9,3223.36
2026-05-14T09:49:28,210.52,3384.28
2026-05-14T09:49:33,210.52,3384.28
2026-05-14T09:49:38,214.02,3373.9
2026-05-14T09:49:43,214.02,3373.9
2026-05-14T09:49:48,212.08,3350.76
2026-05-14T09:49:53,212.08,3350.76
2026-05-14T09:49:58,210.26,3318.52
2026-05-14T09:50:03,210.26,3318.52
2026-05-14T09:50:08,204.06,3108.07
