timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-15T05:43:21,12.5,1239,7941,0,3,100.00,5,11.8,186.6
2026-05-15T05:43:27,8.7,1182,7941,0,3,100.00,16,6.7,172.0
2026-05-15T05:43:32,10.5,1149,7941,0,3,100.00,44,8.7,145.0
2026-05-15T05:43:37,11.2,1147,7941,0,3,100.00,53,9.3,151.4
2026-05-15T05:43:42,11.0,1151,7941,0,4,100.00,47,8.8,160.2
2026-05-15T05:43:48,11.9,1163,7941,0,4,100.00,95,9.2,170.0
2026-05-15T05:43:53,12.4,1170,7941,0,4,100.00,103,10.1,175.3
2026-05-15T05:43:58,12.9,1167,7941,0,4,100.00,98,10.1,172.9
2026-05-15T05:44:03,12.0,1166,7941,0,4,100.00,153,9.6,173.0
2026-05-15T05:44:09,16.4,1162,7941,0,5,100.00,144,13.5,174.0
2026-05-15T05:44:14,14.4,1173,7941,0,5,100.00,135,11.3,178.9
2026-05-15T05:44:19,15.8,1168,7941,0,4,100.00,164,12.4,179.2
2026-05-15T05:44:24,18.2,1170,7941,0,4,100.00,199,14.2,183.0
2026-05-15T05:44:30,14.9,1175,7941,0,6,100.00,160,11.8,183.5
2026-05-15T05:44:35,16.9,1178,7941,0,6,100.00,250,12.8,184.8
2026-05-15T05:44:40,18.3,1181,7941,0,6,100.00,205,14.6,184.9
2026-05-15T05:44:46,17.5,1186,7941,0,6,100.00,232,13.4,185.0
2026-05-15T05:44:51,18.0,1183,7941,0,5,100.00,303,14.0,185.2
2026-05-15T05:44:56,21.1,1185,7941,0,6,100.00,251,16.8,185.5
2026-05-15T05:45:01,18.7,1185,7941,0,6,100.00,326,14.4,187.1
2026-05-15T05:45:07,22.7,1183,7941,0,5,100.00,292,18.7,187.7
2026-05-15T05:45:12,20.1,1188,7941,0,5,100.00,333,15.1,187.8
2026-05-15T05:45:17,20.8,1183,7941,0,5,100.00,309,15.6,188.9
2026-05-15T05:45:23,17.3,1185,7941,0,6,100.00,330,12.0,189.1
2026-05-15T05:45:28,17.5,1189,7941,2,4,100.00,354,11.7,189.9
2026-05-15T05:45:33,15.3,1195,7941,0,6,100.00,361,10.1,189.9
2026-05-15T05:45:39,16.9,1192,7941,0,9,100.00,322,10.9,192.0
2026-05-15T05:45:44,15.3,1198,7941,0,9,100.00,360,10.3,195.6
2026-05-15T05:45:49,14.1,1189,7941,0,6,100.00,309,8.9,195.7
2026-05-15T05:45:54,17.6,1187,7941,0,6,100.00,390,11.2,197.9
2026-05-15T05:46:00,14.8,1194,7941,0,6,100.00,337,9.8,198.1
2026-05-15T05:46:05,16.3,1189,7941,1,5,100.00,315,10.3,198.1
2026-05-15T05:46:10,15.3,1197,7941,0,6,100.00,408,9.8,199.9
2026-05-15T05:46:15,15.3,1197,7941,0,6,100.00,351,9.8,208.4
2026-05-15T05:46:21,15.6,1202,7941,0,6,100.00,285,10.0,208.6
2026-05-15T05:46:26,15.6,1205,7941,0,6,100.00,388,9.3,214.6
2026-05-15T05:46:31,14.5,1215,7941,0,6,100.00,299,9.4,221.0
2026-05-15T05:46:36,15.5,1216,7941,1,5,100.00,417,9.7,221.0
2026-05-15T05:46:42,15.4,1208,7941,0,5,100.00,333,9.7,221.0
2026-05-15T05:46:47,17.0,1229,7941,0,6,100.00,360,10.4,232.4
2026-05-15T05:46:52,16.2,1244,7941,0,6,100.00,323,10.4,248.5
2026-05-15T05:46:58,15.3,1256,7941,0,5,100.00,368,9.6,262.4
2026-05-15T05:47:03,16.8,1279,7941,0,6,100.00,354,10.6,278.4
2026-05-15T05:47:08,15.5,1293,7941,1,6,100.00,296,9.6,293.3
2026-05-15T05:47:13,15.4,1302,7941,0,7,100.00,351,10.1,294.8
2026-05-15T05:47:19,16.9,1303,7941,0,6,100.00,381,10.3,295.0
2026-05-15T05:47:24,16.1,1315,7941,2,4,100.00,312,10.2,295.0
2026-05-15T05:47:29,16.7,1313,7941,0,6,100.00,332,10.7,295.1
2026-05-15T05:47:35,16.3,1306,7941,0,6,100.00,393,10.2,295.1
2026-05-15T05:47:40,14.3,1314,7941,0,6,100.00,333,9.0,295.1
2026-05-15T05:47:45,16.8,1308,7941,1,5,100.00,335,10.5,295.1
2026-05-15T05:47:50,15.7,1310,7941,0,6,100.00,346,10.1,295.2
2026-05-15T05:47:56,14.9,1308,7941,0,6,100.00,363,9.6,295.2
2026-05-15T05:48:01,16.5,1310,7941,0,6,100.00,350,11.1,295.2
2026-05-15T05:48:06,15.3,1305,7941,0,6,100.00,347,9.7,295.3
2026-05-15T05:48:12,14.8,1307,7941,0,6,100.00,365,9.7,295.4
2026-05-15T05:48:17,15.1,1306,7941,0,6,100.00,318,9.6,295.4
2026-05-15T05:48:22,14.4,1308,7941,0,6,100.00,336,9.4,295.4
2026-05-15T05:48:27,17.4,1314,7941,0,5,100.00,390,10.8,295.5
2026-05-15T05:48:33,12.8,1318,7941,0,5,100.00,352,8.1,295.5
2026-05-15T05:48:38,14.6,1309,7941,0,5,100.00,331,9.2,295.5
2026-05-15T05:48:43,15.8,1317,7941,0,5,100.00,372,10.1,295.5
2026-05-15T05:48:48,14.6,1324,7941,0,5,100.00,290,9.2,295.5
2026-05-15T05:48:54,15.3,1328,7941,0,6,100.00,400,10.1,295.5
2026-05-15T05:48:59,15.1,1336,7941,0,6,100.00,327,9.7,295.5
2026-05-15T05:49:04,16.5,1334,7941,0,7,100.00,370,10.3,295.5
2026-05-15T05:49:09,15.2,1344,7941,0,7,100.00,321,9.7,295.5
2026-05-15T05:49:15,14.8,1334,7941,0,7,100.00,371,9.2,295.5
2026-05-15T05:49:20,15.5,1335,7941,0,7,100.00,331,9.8,295.5
2026-05-15T05:49:25,15.0,1333,7941,1,5,100.00,349,9.4,295.5
2026-05-15T05:49:30,15.1,1331,7941,0,6,100.00,335,10.0,295.6
2026-05-15T05:49:36,18.6,1334,7941,2,5,100.00,416,12.0,295.6
2026-05-15T05:49:41,14.8,1337,7941,0,7,100.00,299,9.7,295.6
2026-05-15T05:49:46,15.9,1335,7941,0,5,100.00,314,10.0,295.6
2026-05-15T05:49:52,16.8,1336,7941,0,7,100.00,403,10.6,295.6
2026-05-15T05:49:57,15.0,1341,7941,0,7,100.00,324,9.3,295.6
2026-05-15T05:50:02,17.9,1339,7941,0,10,100.00,361,12.0,295.6
2026-05-15T05:50:08,18.8,1346,7941,0,10,100.00,314,12.7,295.6
2026-05-15T05:50:13,15.1,1332,7941,0,6,100.00,324,9.3,295.6
2026-05-15T05:50:18,16.7,1342,7941,0,8,100.00,395,10.1,295.7
2026-05-15T05:50:23,15.3,1349,7941,1,8,100.00,275,9.4,295.7
2026-05-15T05:50:29,15.6,1339,7941,0,6,100.00,376,9.4,295.7
2026-05-15T05:50:34,15.5,1341,7941,0,6,100.00,388,9.4,295.7
2026-05-15T05:50:39,13.1,1334,7941,1,4,100.00,318,8.1,295.7
2026-05-15T05:50:45,14.0,1333,7941,0,5,100.00,341,8.6,295.7
2026-05-15T05:50:50,14.8,1339,7941,0,5,100.00,330,9.3,295.7
2026-05-15T05:50:55,15.1,1343,7941,0,7,100.00,349,9.7,295.7
2026-05-15T05:51:00,16.0,1347,7941,0,7,100.00,321,10.5,295.7
2026-05-15T05:51:06,15.7,1341,7941,0,6,100.00,387,10.4,295.7
2026-05-15T05:51:11,14.9,1345,7941,1,5,100.00,346,9.7,295.7
2026-05-15T05:51:16,15.6,1341,7941,0,5,100.00,373,10.0,295.7
2026-05-15T05:51:21,14.0,1337,7941,0,5,100.00,324,9.0,295.7
2026-05-15T05:51:27,16.0,1344,7941,0,5,100.00,330,10.2,295.7
2026-05-15T05:51:32,15.4,1342,7941,0,5,100.00,387,9.9,295.7
2026-05-15T05:51:37,15.5,1338,7941,0,6,100.00,284,9.5,295.8
2026-05-15T05:51:42,15.1,1338,7941,0,6,100.00,375,9.2,295.8
2026-05-15T05:51:48,14.0,1338,7941,0,6,100.00,295,8.6,295.8
2026-05-15T05:51:53,15.3,1338,7941,0,5,100.00,401,10.0,295.8
2026-05-15T05:51:58,16.3,1336,7941,0,5,100.00,348,10.3,295.8
2026-05-15T05:52:03,17.2,1331,7941,0,5,100.00,310,10.9,295.8
2026-05-15T05:52:09,14.5,1341,7941,0,6,100.00,358,8.8,295.8
2026-05-15T05:52:14,14.3,1340,7941,0,6,100.00,337,9.3,295.8
2026-05-15T05:52:19,14.0,1341,7941,0,7,100.00,316,8.6,295.8
2026-05-15T05:52:25,15.8,1335,7941,0,7,100.00,355,9.4,295.8
2026-05-15T05:52:30,15.8,1328,7941,0,6,100.00,386,10.0,295.8
2026-05-15T05:52:35,15.8,1325,7941,0,5,100.00,328,9.8,295.9
2026-05-15T05:52:40,14.6,1324,7941,0,5,100.00,352,9.4,295.9
2026-05-15T05:52:46,14.7,1326,7941,0,5,100.00,329,9.0,295.9
2026-05-15T05:52:51,16.0,1326,7941,0,6,100.00,382,10.2,295.9
2026-05-15T05:52:56,15.5,1326,7941,0,6,100.00,331,9.7,295.9
2026-05-15T05:53:01,16.1,1332,7941,0,6,100.00,320,10.5,295.9
2026-05-15T05:53:07,15.1,1330,7941,0,6,100.00,367,9.3,295.9
2026-05-15T05:53:12,14.1,1324,7941,0,6,100.00,328,9.1,296.0
2026-05-15T05:53:17,15.4,1318,7941,0,5,100.00,373,9.2,296.0
2026-05-15T05:53:22,15.8,1326,7941,0,6,100.00,352,10.0,296.0
2026-05-15T05:53:28,14.8,1322,7941,0,6,100.00,351,9.0,296.0
2026-05-15T05:53:33,16.0,1322,7941,0,5,100.00,358,10.0,296.0
2026-05-15T05:53:38,14.2,1321,7941,1,4,100.00,282,8.8,296.0
2026-05-15T05:53:43,15.5,1323,7941,0,6,100.00,339,9.7,296.0
2026-05-15T05:53:49,15.0,1330,7941,0,7,100.00,393,9.3,296.0
2026-05-15T05:53:54,14.7,1325,7941,0,7,100.00,338,9.2,296.0
2026-05-15T05:53:59,15.0,1327,7941,0,5,100.00,369,9.7,296.0
2026-05-15T05:54:04,16.4,1326,7941,0,6,100.00,365,10.2,296.0
2026-05-15T05:54:10,15.2,1330,7941,0,6,100.00,304,9.7,296.0
2026-05-15T05:54:15,15.5,1326,7941,0,6,100.00,370,10.0,296.0
2026-05-15T05:54:20,15.0,1326,7941,0,6,100.00,332,9.6,296.0
2026-05-15T05:54:26,16.6,1307,7941,0,5,100.00,343,10.2,296.0
2026-05-15T05:54:31,15.3,1293,7941,0,6,100.00,336,9.9,296.0
2026-05-15T05:54:36,15.2,1296,7941,0,6,100.00,391,9.7,296.0
2026-05-15T05:54:41,15.3,1292,7941,0,6,100.00,388,9.8,296.0
2026-05-15T05:54:47,14.9,1293,7941,0,5,100.00,319,9.4,296.0
2026-05-15T05:54:52,15.8,1291,7941,0,6,100.00,337,10.7,296.0
2026-05-15T05:54:57,15.6,1302,7941,0,6,100.00,340,10.0,296.0
2026-05-15T05:55:03,17.6,1304,7941,0,8,100.00,315,12.4,296.0
2026-05-15T05:55:08,15.8,1294,7941,0,8,100.00,309,10.1,296.0
2026-05-15T05:55:13,15.0,1287,7941,0,6,100.00,386,9.4,296.0
2026-05-15T05:55:18,16.3,1288,7941,0,6,100.00,360,10.6,296.0
2026-05-15T05:55:24,27.0,1291,7941,0,8,100.00,369,21.6,296.0
2026-05-15T05:55:29,25.4,1297,7941,0,7,100.00,365,20.6,296.0
2026-05-15T05:55:34,28.6,1300,7941,0,8,100.00,434,22.1,296.0
2026-05-15T05:55:40,30.1,1302,7941,0,8,100.00,452,23.9,296.0
2026-05-15T05:55:45,29.7,1293,7941,0,7,100.00,464,23.3,296.1
2026-05-15T05:55:50,29.8,1295,7941,0,7,100.00,449,23.7,296.1
2026-05-15T05:55:55,30.9,1292,7941,0,7,100.00,569,23.8,296.1
2026-05-15T05:56:01,32.1,1300,7941,0,8,100.00,590,24.8,296.1
2026-05-15T05:56:06,33.7,1303,7941,1,7,100.00,597,26.2,296.1
2026-05-15T05:56:11,34.3,1297,7941,0,8,100.00,621,26.7,299.0
2026-05-15T05:56:16,36.1,1305,7941,0,8,100.00,637,28.1,303.0
2026-05-15T05:56:22,27.0,1301,7941,0,7,100.00,687,18.6,303.0
2026-05-15T05:56:27,24.7,1307,7941,0,8,100.00,674,15.8,303.0
2026-05-15T05:56:32,22.8,1307,7941,0,8,100.00,702,14.8,303.1
2026-05-15T05:56:38,25.1,1301,7941,0,7,100.00,700,16.2,304.8
2026-05-15T05:56:43,23.9,1313,7941,1,6,100.00,631,15.4,304.8
2026-05-15T05:56:48,25.4,1305,7941,0,9,100.00,701,16.5,304.8
2026-05-15T05:56:53,22.8,1310,7941,0,9,100.00,689,14.9,304.8
2026-05-15T05:56:59,23.6,1316,7941,0,8,100.00,664,15.3,304.8
2026-05-15T05:57:04,25.4,1307,7941,0,7,100.00,737,16.2,304.8
2026-05-15T05:57:09,24.4,1315,7941,1,7,100.00,701,16.0,304.8
2026-05-15T05:57:14,22.7,1314,7941,0,8,100.00,687,14.7,304.8
2026-05-15T05:57:20,23.6,1307,7941,0,7,100.00,650,15.2,304.8
2026-05-15T05:57:25,24.3,1307,7941,0,7,100.00,696,15.9,304.8
2026-05-15T05:57:30,23.4,1310,7941,0,7,100.00,718,15.2,304.8
2026-05-15T05:57:35,23.7,1306,7941,0,8,100.00,643,15.4,304.8
2026-05-15T05:57:41,21.5,1309,7941,0,8,100.00,636,14.1,304.8
2026-05-15T05:57:46,23.5,1309,7941,1,8,100.00,755,15.2,304.8
2026-05-15T05:57:51,21.8,1318,7941,0,8,100.00,671,14.3,304.8
2026-05-15T05:57:56,21.6,1312,7941,0,8,100.00,688,14.3,304.8
2026-05-15T05:58:02,24.1,1304,7941,0,7,100.00,652,16.0,304.8
2026-05-15T05:58:07,23.2,1309,7941,0,7,100.00,690,15.0,304.8
2026-05-15T05:58:12,22.0,1310,7941,0,8,100.00,666,14.6,304.9
2026-05-15T05:58:17,22.0,1309,7941,0,8,100.00,700,14.3,304.9
2026-05-15T05:58:23,21.6,1308,7941,0,8,100.00,618,14.2,304.9
2026-05-15T05:58:28,22.1,1309,7941,0,8,100.00,786,13.8,304.9
2026-05-15T05:58:33,20.8,1314,7941,0,8,100.00,675,13.4,304.9
2026-05-15T05:58:38,23.2,1306,7941,0,7,100.00,657,14.8,304.9
2026-05-15T05:58:44,23.0,1315,7941,1,6,100.00,685,14.4,305.0
2026-05-15T05:58:49,22.6,1317,7941,0,9,100.00,695,14.5,305.2
2026-05-15T05:58:54,24.3,1313,7941,0,9,100.00,697,15.7,305.2
2026-05-15T05:58:59,22.8,1312,7941,1,7,100.00,652,14.8,305.2
2026-05-15T05:59:05,24.1,1309,7941,0,8,100.00,761,15.8,305.2
2026-05-15T05:59:10,23.4,1314,7941,0,8,100.00,659,15.1,305.2
2026-05-15T05:59:15,23.2,1315,7941,0,8,100.00,721,14.8,305.2
2026-05-15T05:59:20,22.0,1321,7941,0,7,100.00,650,14.4,305.2
2026-05-15T05:59:26,22.8,1308,7941,0,9,100.00,697,14.6,305.2
2026-05-15T05:59:31,21.8,1312,7941,0,9,100.00,644,14.4,305.2
2026-05-15T05:59:36,24.5,1306,7941,0,7,100.00,728,15.9,305.2
2026-05-15T05:59:41,25.4,1310,7941,0,8,100.00,747,16.7,305.2
2026-05-15T05:59:47,21.0,1311,7941,0,8,100.00,627,13.4,305.2
2026-05-15T05:59:52,21.8,1308,7941,0,7,100.00,678,14.1,305.2
2026-05-15T05:59:57,21.5,1320,7941,0,7,100.00,702,13.9,305.2
2026-05-15T06:00:02,27.5,1311,7941,0,8,100.00,704,18.7,305.2
2026-05-15T06:00:08,27.2,1307,7941,1,7,100.00,671,17.8,305.3
2026-05-15T06:00:13,21.7,1315,7941,0,8,100.00,662,14.0,305.3
2026-05-15T06:00:18,23.1,1307,7941,0,7,100.00,742,14.3,305.3
2026-05-15T06:00:23,24.0,1316,7941,0,9,100.00,619,15.8,305.3
2026-05-15T06:00:29,21.6,1319,7941,1,8,100.00,619,13.8,305.3
2026-05-15T06:00:34,22.9,1317,7941,2,6,100.00,722,14.7,305.3
2026-05-15T06:00:39,23.8,1313,7941,0,7,100.00,681,15.8,305.3
2026-05-15T06:00:44,22.1,1302,7941,1,6,100.00,671,14.6,305.3
2026-05-15T06:00:50,22.1,1314,7941,0,7,100.00,658,14.4,305.3
2026-05-15T06:00:55,23.9,1307,7941,0,7,100.00,722,15.7,305.3
2026-05-15T06:01:00,21.5,1310,7941,1,6,100.00,699,13.9,305.3
2026-05-15T06:01:05,22.1,1309,7941,0,7,100.00,639,14.3,305.3
2026-05-15T06:01:11,22.5,1317,7941,0,8,100.00,787,14.8,305.3
2026-05-15T06:01:16,22.5,1312,7941,0,8,100.00,623,14.4,305.3
2026-05-15T06:01:21,21.7,1316,7941,0,8,100.00,648,14.0,305.3
2026-05-15T06:01:26,21.0,1310,7941,1,6,100.00,663,13.6,305.3
2026-05-15T06:01:31,21.1,1314,7941,1,6,100.00,734,13.9,305.3
2026-05-15T06:01:37,21.6,1307,7941,0,8,100.00,619,13.9,305.3
2026-05-15T06:01:42,20.6,1314,7941,0,8,100.00,697,13.8,305.3
2026-05-15T06:01:47,21.3,1312,7941,0,7,100.00,684,14.1,305.3
2026-05-15T06:01:52,21.1,1320,7941,0,8,100.00,771,13.6,305.3
2026-05-15T06:01:58,21.0,1317,7941,0,8,100.00,583,13.6,305.3
2026-05-15T06:02:03,23.4,1311,7941,0,7,100.00,723,15.3,305.3
2026-05-15T06:02:08,23.3,1314,7941,0,7,100.00,673,15.4,305.3
2026-05-15T06:02:13,22.5,1323,7941,0,8,100.00,662,14.9,305.3
2026-05-15T06:02:19,23.8,1320,7941,0,8,100.00,697,15.7,305.3
2026-05-15T06:02:24,23.0,1314,7941,0,8,100.00,715,15.1,305.3
2026-05-15T06:02:29,22.4,1318,7941,0,8,100.00,671,14.5,305.3
2026-05-15T06:02:34,23.2,1311,7941,0,7,100.00,738,14.9,305.3
