timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-16T03:09:23,0.38,1.44
2026-05-16T03:09:28,0.24,0.78
2026-05-16T03:09:33,0.24,0.78
2026-05-16T03:09:38,0.26,1.21
2026-05-16T03:09:43,0.26,1.21
2026-05-16T03:09:48,0.87,3.81
2026-05-16T03:09:53,0.87,3.81
2026-05-16T03:09:58,3.72,11.25
2026-05-16T03:10:03,3.72,11.25
2026-05-16T03:10:08,8.11,25.59
2026-05-16T03:10:13,8.11,25.59
2026-05-16T03:10:18,11.58,40.53
2026-05-16T03:10:23,11.58,40.53
2026-05-16T03:10:28,15.15,57.75
2026-05-16T03:10:33,15.15,57.75
2026-05-16T03:10:38,18.95,74.88
2026-05-16T03:10:43,18.95,74.88
2026-05-16T03:10:48,22.48,89.72
2026-05-16T03:10:53,22.48,89.72
2026-05-16T03:10:58,25.8,108.13
2026-05-16T03:11:03,25.8,108.13
2026-05-16T03:11:08,29.15,125.39
2026-05-16T03:11:13,29.15,125.39
2026-05-16T03:11:18,32.73,139.79
2026-05-16T03:11:23,32.73,139.79
2026-05-16T03:11:28,35.89,153.66
2026-05-16T03:11:33,35.89,153.66
2026-05-16T03:11:38,39.07,171.62
2026-05-16T03:11:43,39.07,171.62
2026-05-16T03:11:48,42.52,189.02
2026-05-16T03:11:53,42.52,189.02
2026-05-16T03:11:58,45.55,199.68
2026-05-16T03:12:03,45.55,199.68
2026-05-16T03:12:08,49.08,217.71
2026-05-16T03:12:13,49.08,217.71
2026-05-16T03:12:18,53.69,241.38
2026-05-16T03:12:23,53.69,241.38
2026-05-16T03:12:28,56.94,256.19
2026-05-16T03:12:33,56.94,256.19
2026-05-16T03:12:38,59.84,271.73
2026-05-16T03:12:43,59.84,271.73
2026-05-16T03:12:48,118.04,355.71
2026-05-16T03:12:53,118.04,355.71
2026-05-16T03:12:58,184.64,535.09
2026-05-16T03:13:03,184.64,535.09
2026-05-16T03:13:08,214.6,734.29
2026-05-16T03:13:13,214.6,734.29
2026-05-16T03:13:18,232.07,842.54
2026-05-16T03:13:23,232.07,842.54
2026-05-16T03:13:28,235.26,899.8
2026-05-16T03:13:33,235.26,899.8
2026-05-16T03:13:38,244.26,936.25
2026-05-16T03:13:43,244.26,936.25
2026-05-16T03:13:48,216.44,785.13
2026-05-16T03:13:53,216.44,785.13
2026-05-16T03:13:58,170.52,643.33
2026-05-16T03:14:03,170.52,643.33
2026-05-16T03:14:08,191.7,742.81
2026-05-16T03:14:13,191.7,742.81
2026-05-16T03:14:18,277.3,1110.03
2026-05-16T03:14:23,277.3,1110.03
2026-05-16T03:14:28,353.03,1561.39
2026-05-16T03:14:33,353.03,1561.39
2026-05-16T03:14:38,361.47,1627.65
2026-05-16T03:14:43,361.47,1627.65
2026-05-16T03:14:48,333.21,1561.47
2026-05-16T03:14:53,333.21,1561.47
2026-05-16T03:14:58,330.06,1653.72
2026-05-16T03:15:03,330.06,1653.72
2026-05-16T03:15:08,305.7,1408.95
2026-05-16T03:15:13,305.7,1408.95
2026-05-16T03:15:18,247.58,1172.71
2026-05-16T03:15:23,247.58,1172.71
2026-05-16T03:15:28,159.94,842.67
2026-05-16T03:15:33,159.94,842.67
2026-05-16T03:15:38,80.02,373.29
2026-05-16T03:15:43,80.02,373.29
2026-05-16T03:15:48,62.74,289.63
2026-05-16T03:15:53,62.74,289.63
2026-05-16T03:15:58,62.01,289.3
2026-05-16T03:16:03,62.01,289.3
2026-05-16T03:16:08,60.33,284.75
2026-05-16T03:16:13,60.33,284.75
2026-05-16T03:16:18,62.28,285.89
2026-05-16T03:16:23,62.28,285.89
2026-05-16T03:16:28,65.73,292.81
2026-05-16T03:16:33,65.73,292.81
2026-05-16T03:16:38,69.78,304.42
2026-05-16T03:16:43,69.78,304.42
2026-05-16T03:16:48,67.26,302.87
2026-05-16T03:16:53,67.26,302.87
2026-05-16T03:16:58,61.84,291.05
2026-05-16T03:17:03,61.84,291.05
2026-05-16T03:17:08,61.17,291.97
2026-05-16T03:17:13,61.17,291.97
2026-05-16T03:17:18,61.74,296.69
2026-05-16T03:17:23,61.74,296.69
2026-05-16T03:17:28,62.52,294.24
2026-05-16T03:17:33,62.52,294.24
2026-05-16T03:17:38,61.79,292.26
2026-05-16T03:17:43,61.79,292.26
2026-05-16T03:17:48,61.07,294.94
2026-05-16T03:17:53,61.07,294.94
2026-05-16T03:17:58,61.59,293.11
2026-05-16T03:18:03,61.59,293.11
2026-05-16T03:18:08,61.77,291.15
2026-05-16T03:18:13,61.77,291.15
2026-05-16T03:18:18,59.08,281.76
2026-05-16T03:18:23,59.08,281.76
2026-05-16T03:18:28,49.13,228.52
2026-05-16T03:18:33,49.13,228.52
2026-05-16T03:18:38,29.44,130.49
2026-05-16T03:18:43,29.44,130.49
2026-05-16T03:18:48,10.37,43.47
2026-05-16T03:18:53,10.37,43.47
2026-05-16T03:18:58,1.93,7.04
2026-05-16T03:19:03,1.93,7.04
2026-05-16T03:19:08,0.43,1.81
2026-05-16T03:19:13,0.33,1.38
