timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-15T14:42:49,0.27,0.93
2026-05-15T14:42:54,0.22,1.08
2026-05-15T14:42:59,0.22,1.08
2026-05-15T14:43:04,0.24,1.3
2026-05-15T14:43:09,0.24,1.3
2026-05-15T14:43:14,1.06,2.64
2026-05-15T14:43:19,1.06,2.64
2026-05-15T14:43:24,11.26,32.78
2026-05-15T14:43:29,11.26,32.78
2026-05-15T14:43:34,32.37,98.86
2026-05-15T14:43:39,32.37,98.86
2026-05-15T14:43:44,51.19,169.84
2026-05-15T14:43:49,51.19,169.84
2026-05-15T14:43:54,66.64,236.75
2026-05-15T14:43:59,66.64,236.75
2026-05-15T14:44:04,82.46,311.59
2026-05-15T14:44:09,82.46,311.59
2026-05-15T14:44:14,97.11,380.51
2026-05-15T14:44:19,97.11,380.51
2026-05-15T14:44:24,113.3,450.34
2026-05-15T14:44:29,113.3,450.34
2026-05-15T14:44:34,130.11,527.28
2026-05-15T14:44:39,130.11,527.28
2026-05-15T14:44:44,144.98,593.56
2026-05-15T14:44:49,144.98,593.56
2026-05-15T14:44:54,160.14,666.17
2026-05-15T14:44:59,160.14,666.17
2026-05-15T14:45:04,169.98,692.38
2026-05-15T14:45:09,169.98,692.38
2026-05-15T14:45:14,176.24,742.09
2026-05-15T14:45:19,176.24,742.09
2026-05-15T14:45:24,187.02,832.11
2026-05-15T14:45:29,187.02,832.11
2026-05-15T14:45:34,190.19,854.97
2026-05-15T14:45:39,190.19,854.97
2026-05-15T14:45:44,187.0,857.12
2026-05-15T14:45:49,187.0,857.12
2026-05-15T14:45:54,185.42,852.85
2026-05-15T14:45:59,185.42,852.85
2026-05-15T14:46:04,182.54,835.55
2026-05-15T14:46:09,182.54,835.55
2026-05-15T14:46:14,183.29,845.65
2026-05-15T14:46:19,183.29,845.65
2026-05-15T14:46:24,185.35,856.27
2026-05-15T14:46:29,185.35,856.27
2026-05-15T14:46:34,186.65,853.23
2026-05-15T14:46:39,186.65,853.23
2026-05-15T14:46:44,187.46,858.84
2026-05-15T14:46:49,187.46,858.84
2026-05-15T14:46:54,186.02,853.83
2026-05-15T14:46:59,186.02,853.83
2026-05-15T14:47:04,186.08,848.22
2026-05-15T14:47:09,186.08,848.22
2026-05-15T14:47:14,185.78,853.41
2026-05-15T14:47:19,185.78,853.41
2026-05-15T14:47:24,186.33,854.18
2026-05-15T14:47:29,186.33,854.18
2026-05-15T14:47:34,187.58,854.65
2026-05-15T14:47:39,187.58,854.65
2026-05-15T14:47:44,186.83,860.63
2026-05-15T14:47:49,186.83,860.63
