timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-17T09:45:36,0.6,1.51
2026-05-17T09:45:41,0.6,1.51
2026-05-17T09:45:46,0.51,1.53
2026-05-17T09:45:51,0.51,1.53
2026-05-17T09:45:56,0.89,3.29
2026-05-17T09:46:01,0.89,3.29
2026-05-17T09:46:06,5.5,16.51
2026-05-17T09:46:11,5.5,16.51
2026-05-17T09:46:16,15.59,49.88
2026-05-17T09:46:21,15.59,49.88
2026-05-17T09:46:26,26.46,94.92
2026-05-17T09:46:31,26.46,94.92
2026-05-17T09:46:36,36.03,143.78
2026-05-17T09:46:41,36.03,143.78
2026-05-17T09:46:46,45.19,194.2
2026-05-17T09:46:51,45.19,194.2
2026-05-17T09:46:56,55.02,240.88
2026-05-17T09:47:01,55.02,240.88
2026-05-17T09:47:06,64.54,290.92
2026-05-17T09:47:11,64.54,290.92
2026-05-17T09:47:16,73.94,347.53
2026-05-17T09:47:21,73.94,347.53
2026-05-17T09:47:26,84.34,395.65
2026-05-17T09:47:31,84.34,395.65
2026-05-17T09:47:36,93.78,440.6
2026-05-17T09:47:41,93.78,440.6
2026-05-17T09:47:46,102.92,496.51
2026-05-17T09:47:51,102.92,496.51
2026-05-17T09:47:56,113.0,549.23
2026-05-17T09:48:01,113.0,549.23
2026-05-17T09:48:06,118.02,581.24
2026-05-17T09:48:11,118.02,581.24
2026-05-17T09:48:16,118.28,604.65
2026-05-17T09:48:21,118.28,604.65
2026-05-17T09:48:26,117.72,613.22
2026-05-17T09:48:31,117.72,613.22
2026-05-17T09:48:36,118.31,616.85
2026-05-17T09:48:41,118.31,616.85
2026-05-17T09:48:46,118.82,617.54
2026-05-17T09:48:51,118.82,617.54
2026-05-17T09:48:56,118.45,621.02
2026-05-17T09:49:01,118.45,621.02
2026-05-17T09:49:06,118.09,620.15
2026-05-17T09:49:11,118.09,620.15
2026-05-17T09:49:16,118.13,617.53
2026-05-17T09:49:21,118.13,617.53
2026-05-17T09:49:26,118.56,618.14
2026-05-17T09:49:31,118.56,618.14
2026-05-17T09:49:36,117.62,613.71
2026-05-17T09:49:41,117.62,613.71
2026-05-17T09:49:46,118.23,623.15
2026-05-17T09:49:51,118.23,623.15
2026-05-17T09:49:56,118.35,616.61
2026-05-17T09:50:01,118.35,616.61
2026-05-17T09:50:06,114.24,594.01
2026-05-17T09:50:11,114.24,594.01
2026-05-17T09:50:16,112.46,595.19
2026-05-17T09:50:21,112.46,595.19
2026-05-17T09:50:26,115.4,605.34
2026-05-17T09:50:31,115.4,605.34
2026-05-17T09:50:36,116.95,610.54
2026-05-17T09:50:41,116.95,610.54
2026-05-17T09:50:46,117.82,618.88
2026-05-17T09:50:51,117.82,618.88
2026-05-17T09:50:56,118.39,618.91
2026-05-17T09:51:01,118.39,618.91
2026-05-17T09:51:06,118.24,622.85
2026-05-17T09:51:11,118.24,622.85
2026-05-17T09:51:16,117.95,616.73
2026-05-17T09:51:21,117.95,616.73
2026-05-17T09:51:26,117.76,609.22
2026-05-17T09:51:31,117.76,609.22
2026-05-17T09:51:36,117.75,623.18
2026-05-17T09:51:41,117.75,623.18
2026-05-17T09:51:46,118.05,622.37
2026-05-17T09:51:51,118.05,622.37
2026-05-17T09:51:56,118.46,611.27
2026-05-17T09:52:01,118.46,611.27
2026-05-17T09:52:06,117.45,616.72
2026-05-17T09:52:11,117.45,616.72
2026-05-17T09:52:16,117.32,624.82
2026-05-17T09:52:21,117.32,624.82
2026-05-17T09:52:26,118.66,613.44
2026-05-17T09:52:31,118.66,613.44
2026-05-17T09:52:36,117.39,610.55
2026-05-17T09:52:41,117.39,610.55
