timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-17T11:07:23,0.25,0.19
2026-05-17T11:07:28,0.33,0.19
2026-05-17T11:07:33,0.33,0.19
2026-05-17T11:07:38,0.43,0.87
2026-05-17T11:07:43,0.43,0.87
2026-05-17T11:07:48,0.27,1.83
2026-05-17T11:07:53,0.27,1.83
2026-05-17T11:07:58,3.32,10.07
2026-05-17T11:08:03,3.32,10.07
2026-05-17T11:08:08,12.19,39.96
2026-05-17T11:08:13,12.19,39.96
2026-05-17T11:08:18,22.18,81.56
2026-05-17T11:08:23,22.18,81.56
2026-05-17T11:08:28,31.84,129.78
2026-05-17T11:08:33,31.84,129.78
2026-05-17T11:08:38,41.78,181.54
2026-05-17T11:08:43,41.78,181.54
2026-05-17T11:08:48,49.94,228.57
2026-05-17T11:08:53,49.94,228.57
2026-05-17T11:08:58,59.32,282.01
2026-05-17T11:09:03,59.32,282.01
2026-05-17T11:09:08,68.57,326.0
2026-05-17T11:09:13,68.57,326.0
2026-05-17T11:09:18,78.16,378.06
2026-05-17T11:09:23,78.16,378.06
2026-05-17T11:09:28,88.74,442.38
2026-05-17T11:09:33,88.74,442.38
2026-05-17T11:09:38,98.92,496.73
2026-05-17T11:09:43,98.92,496.73
2026-05-17T11:09:48,109.02,545.28
2026-05-17T11:09:53,109.02,545.28
2026-05-17T11:09:58,115.5,589.94
2026-05-17T11:10:03,115.5,589.94
2026-05-17T11:10:08,114.79,610.66
2026-05-17T11:10:13,114.79,610.66
2026-05-17T11:10:18,113.36,610.4
2026-05-17T11:10:23,113.36,610.4
2026-05-17T11:10:28,115.48,621.86
2026-05-17T11:10:33,115.48,621.86
2026-05-17T11:10:38,115.95,634.86
2026-05-17T11:10:43,115.95,634.86
2026-05-17T11:10:48,115.55,632.06
2026-05-17T11:10:53,115.55,632.06
2026-05-17T11:10:58,115.87,627.74
2026-05-17T11:11:03,115.87,627.74
2026-05-17T11:11:08,115.19,630.32
2026-05-17T11:11:13,115.19,630.32
2026-05-17T11:11:18,114.84,629.92
2026-05-17T11:11:23,114.84,629.92
2026-05-17T11:11:28,115.77,631.29
2026-05-17T11:11:33,115.77,631.29
2026-05-17T11:11:38,115.15,630.41
2026-05-17T11:11:43,115.15,630.41
2026-05-17T11:11:48,114.85,630.24
2026-05-17T11:11:53,114.85,630.24
2026-05-17T11:11:58,114.97,628.29
2026-05-17T11:12:03,114.97,628.29
2026-05-17T11:12:08,113.32,616.94
2026-05-17T11:12:13,113.32,616.94
2026-05-17T11:12:18,114.26,627.65
2026-05-17T11:12:23,114.26,627.65
2026-05-17T11:12:28,115.51,634.37
2026-05-17T11:12:33,115.51,634.37
2026-05-17T11:12:38,114.25,622.11
2026-05-17T11:12:43,114.25,622.11
2026-05-17T11:12:48,114.53,627.76
2026-05-17T11:12:53,114.53,627.76
2026-05-17T11:12:58,116.1,634.83
2026-05-17T11:13:03,116.1,634.83
2026-05-17T11:13:08,115.7,626.79
2026-05-17T11:13:13,115.7,626.79
2026-05-17T11:13:18,114.11,625.0
2026-05-17T11:13:23,114.11,625.0
2026-05-17T11:13:28,113.75,621.41
2026-05-17T11:13:33,113.75,621.41
2026-05-17T11:13:38,113.95,619.69
2026-05-17T11:13:43,113.95,619.69
2026-05-17T11:13:48,114.51,624.9
2026-05-17T11:13:53,114.51,624.9
2026-05-17T11:13:58,114.96,630.43
2026-05-17T11:14:03,114.96,630.43
2026-05-17T11:14:08,115.06,629.57
2026-05-17T11:14:13,115.06,629.57
2026-05-17T11:14:18,115.46,626.16
2026-05-17T11:14:23,115.46,626.16
2026-05-17T11:14:28,115.54,630.74
2026-05-17T11:14:33,115.54,630.74
2026-05-17T11:14:38,114.88,627.78
2026-05-17T11:14:43,114.88,627.78
2026-05-17T11:14:48,114.36,625.6
2026-05-17T11:14:53,114.36,625.6
2026-05-17T11:14:58,114.74,629.83
2026-05-17T11:15:03,114.74,629.83
2026-05-17T11:15:08,111.93,613.06
2026-05-17T11:15:13,111.93,613.06
2026-05-17T11:15:18,110.63,600.19
2026-05-17T11:15:23,110.63,600.19
2026-05-17T11:15:28,113.33,619.54
2026-05-17T11:15:33,113.33,619.54
2026-05-17T11:15:38,114.89,633.16
2026-05-17T11:15:43,114.89,633.16
2026-05-17T11:15:48,114.95,625.59
2026-05-17T11:15:53,114.95,625.59
2026-05-17T11:15:58,114.64,624.78
2026-05-17T11:16:03,114.64,624.78
2026-05-17T11:16:08,115.1,633.64
2026-05-17T11:16:13,115.1,633.64
2026-05-17T11:16:18,115.16,622.93
2026-05-17T11:16:23,115.16,622.93
2026-05-17T11:16:28,115.09,624.31
2026-05-17T11:16:33,115.09,624.31
2026-05-17T11:16:38,113.97,630.07
2026-05-17T11:16:43,113.97,630.07
2026-05-17T11:16:48,114.49,626.9
2026-05-17T11:16:53,114.49,626.9
2026-05-17T11:16:58,115.74,626.53
2026-05-17T11:17:03,115.74,626.53
2026-05-17T11:17:08,114.89,625.72
2026-05-17T11:17:13,114.89,625.72
2026-05-17T11:17:18,114.61,634.4
2026-05-17T11:17:23,114.61,634.4
2026-05-17T11:17:28,116.06,631.05
2026-05-17T11:17:33,116.06,631.05
2026-05-17T11:17:38,115.48,624.03
2026-05-17T11:17:43,115.48,624.03
2026-05-17T11:17:48,114.24,629.85
2026-05-17T11:17:53,114.24,629.85
2026-05-17T11:17:58,114.48,622.92
2026-05-17T11:18:03,114.48,622.92
2026-05-17T11:18:08,112.78,614.83
2026-05-17T11:18:13,112.78,614.83
2026-05-17T11:18:18,111.48,615.3
2026-05-17T11:18:23,111.48,615.3
2026-05-17T11:18:28,112.89,617.58
2026-05-17T11:18:33,112.89,617.58
2026-05-17T11:18:38,114.2,621.28
2026-05-17T11:18:43,114.2,621.28
2026-05-17T11:18:48,114.75,628.42
2026-05-17T11:18:53,114.75,628.42
2026-05-17T11:18:58,114.89,634.43
2026-05-17T11:19:03,114.89,634.43
2026-05-17T11:19:08,114.14,621.45
2026-05-17T11:19:13,114.14,621.45
