timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-17T11:47:07,0.21,0.52
2026-05-17T11:47:12,0.21,0.52
2026-05-17T11:47:17,0.15,0.2
2026-05-17T11:47:22,0.15,0.2
2026-05-17T11:47:27,0.49,1.34
2026-05-17T11:47:32,0.49,1.34
2026-05-17T11:47:37,1.37,4.16
2026-05-17T11:47:42,1.37,4.16
2026-05-17T11:47:47,6.8,19.99
2026-05-17T11:47:52,6.8,19.99
2026-05-17T11:47:57,17.14,57.37
2026-05-17T11:48:02,17.14,57.37
2026-05-17T11:48:07,26.78,104.45
2026-05-17T11:48:12,26.78,104.45
2026-05-17T11:48:17,35.44,152.29
2026-05-17T11:48:22,35.44,152.29
2026-05-17T11:48:27,44.9,201.76
2026-05-17T11:48:32,44.9,201.76
2026-05-17T11:48:37,55.24,256.79
2026-05-17T11:48:42,55.24,256.79
2026-05-17T11:48:47,65.65,311.59
2026-05-17T11:48:52,65.65,311.59
2026-05-17T11:48:57,74.69,362.56
2026-05-17T11:49:02,74.69,362.56
2026-05-17T11:49:07,83.78,412.78
2026-05-17T11:49:12,83.78,412.78
2026-05-17T11:49:17,93.76,463.69
2026-05-17T11:49:22,93.76,463.69
2026-05-17T11:49:27,103.7,517.34
2026-05-17T11:49:32,103.7,517.34
2026-05-17T11:49:37,112.16,568.49
2026-05-17T11:49:42,112.16,568.49
2026-05-17T11:49:47,115.39,604.18
2026-05-17T11:49:52,115.39,604.18
2026-05-17T11:49:57,114.85,615.52
2026-05-17T11:50:02,114.85,615.52
2026-05-17T11:50:07,111.99,607.76
2026-05-17T11:50:12,111.99,607.76
2026-05-17T11:50:17,111.95,614.89
2026-05-17T11:50:22,111.95,614.89
2026-05-17T11:50:27,114.9,630.31
2026-05-17T11:50:32,114.9,630.31
2026-05-17T11:50:37,115.38,627.39
2026-05-17T11:50:42,115.38,627.39
2026-05-17T11:50:47,114.64,626.92
2026-05-17T11:50:52,114.64,626.92
2026-05-17T11:50:57,114.53,627.12
2026-05-17T11:51:02,114.53,627.12
2026-05-17T11:51:07,113.99,624.43
2026-05-17T11:51:12,113.99,624.43
2026-05-17T11:51:17,114.12,627.72
2026-05-17T11:51:22,114.12,627.72
2026-05-17T11:51:27,115.04,627.01
2026-05-17T11:51:32,115.04,627.01
2026-05-17T11:51:37,114.38,621.52
2026-05-17T11:51:42,114.38,621.52
2026-05-17T11:51:47,114.04,628.09
2026-05-17T11:51:52,114.04,628.09
2026-05-17T11:51:57,114.19,630.09
2026-05-17T11:52:02,114.19,630.09
2026-05-17T11:52:07,113.77,614.32
2026-05-17T11:52:12,113.77,614.32
2026-05-17T11:52:17,113.84,622.21
2026-05-17T11:52:22,113.84,622.21
2026-05-17T11:52:27,113.87,633.11
2026-05-17T11:52:32,113.87,633.11
2026-05-17T11:52:37,114.62,626.18
2026-05-17T11:52:42,114.62,626.18
2026-05-17T11:52:47,115.35,628.81
2026-05-17T11:52:52,115.35,628.81
2026-05-17T11:52:57,114.87,631.28
2026-05-17T11:53:02,114.87,631.28
2026-05-17T11:53:07,114.79,632.51
2026-05-17T11:53:12,114.79,632.51
2026-05-17T11:53:17,113.96,626.39
2026-05-17T11:53:22,113.96,626.39
2026-05-17T11:53:27,113.23,629.77
2026-05-17T11:53:32,113.23,629.77
2026-05-17T11:53:37,113.75,634.48
2026-05-17T11:53:42,113.75,634.48
2026-05-17T11:53:47,113.9,627.63
2026-05-17T11:53:52,113.9,627.63
2026-05-17T11:53:57,113.87,630.85
2026-05-17T11:54:02,113.87,630.85
2026-05-17T11:54:07,114.17,627.26
2026-05-17T11:54:12,114.17,627.26
2026-05-17T11:54:17,114.61,618.82
2026-05-17T11:54:22,114.61,618.82
2026-05-17T11:54:27,115.46,631.73
2026-05-17T11:54:32,115.46,631.73
2026-05-17T11:54:37,113.16,630.49
2026-05-17T11:54:42,113.16,630.49
2026-05-17T11:54:47,111.85,615.68
2026-05-17T11:54:52,111.85,615.68
2026-05-17T11:54:57,113.89,625.51
2026-05-17T11:55:02,113.89,625.51
2026-05-17T11:55:07,113.32,627.85
2026-05-17T11:55:12,113.32,627.85
2026-05-17T11:55:17,114.1,626.75
2026-05-17T11:55:22,114.1,626.75
2026-05-17T11:55:27,115.23,628.19
2026-05-17T11:55:32,115.23,628.19
2026-05-17T11:55:37,114.16,630.06
2026-05-17T11:55:42,114.16,630.06
2026-05-17T11:55:47,114.52,631.02
2026-05-17T11:55:52,114.52,631.02
2026-05-17T11:55:57,115.15,628.89
2026-05-17T11:56:02,115.15,628.89
2026-05-17T11:56:07,116.23,639.02
2026-05-17T11:56:12,116.23,639.02
2026-05-17T11:56:17,116.79,641.76
2026-05-17T11:56:22,116.79,641.76
2026-05-17T11:56:27,115.62,627.68
2026-05-17T11:56:32,115.62,627.68
2026-05-17T11:56:37,114.63,627.74
2026-05-17T11:56:42,114.63,627.74
2026-05-17T11:56:47,114.69,634.13
2026-05-17T11:56:52,114.69,634.13
2026-05-17T11:56:57,115.69,630.55
2026-05-17T11:57:02,115.69,630.55
2026-05-17T11:57:07,115.66,636.12
2026-05-17T11:57:12,115.66,636.12
2026-05-17T11:57:17,114.37,633.07
2026-05-17T11:57:22,114.37,633.07
2026-05-17T11:57:27,114.57,629.8
2026-05-17T11:57:32,114.57,629.8
2026-05-17T11:57:37,114.29,628.48
2026-05-17T11:57:42,114.29,628.48
2026-05-17T11:57:47,113.82,632.15
2026-05-17T11:57:52,113.82,632.15
2026-05-17T11:57:57,114.67,633.17
2026-05-17T11:58:02,114.67,633.17
2026-05-17T11:58:07,113.8,623.37
2026-05-17T11:58:12,113.8,623.37
2026-05-17T11:58:17,113.07,626.62
2026-05-17T11:58:22,113.07,626.62
2026-05-17T11:58:27,114.38,631.3
2026-05-17T11:58:32,114.38,631.3
2026-05-17T11:58:37,114.68,626.91
2026-05-17T11:58:42,114.68,626.91
2026-05-17T11:58:47,113.77,625.53
2026-05-17T11:58:52,113.77,625.53
2026-05-17T11:58:57,114.07,633.01
2026-05-17T11:59:02,114.07,633.01
2026-05-17T11:59:07,114.82,631.13
2026-05-17T11:59:12,114.82,631.13
2026-05-17T11:59:17,115.38,625.39
2026-05-17T11:59:22,115.38,625.39
2026-05-17T11:59:27,115.77,627.95
2026-05-17T11:59:32,115.77,627.95
2026-05-17T11:59:37,116.45,634.86
2026-05-17T11:59:42,116.45,634.86
2026-05-17T11:59:47,128.7,669.98
2026-05-17T11:59:52,128.7,669.98
2026-05-17T11:59:57,149.59,743.55
2026-05-17T12:00:02,149.59,743.55
2026-05-17T12:00:07,155.9,753.07
2026-05-17T12:00:12,155.9,753.07
2026-05-17T12:00:17,147.72,719.44
2026-05-17T12:00:22,147.72,719.44
2026-05-17T12:00:27,166.41,838.79
2026-05-17T12:00:32,166.41,838.79
2026-05-17T12:00:37,202.98,1017.16
2026-05-17T12:00:42,202.98,1017.16
2026-05-17T12:00:47,209.97,1078.15
2026-05-17T12:00:52,209.97,1078.15
2026-05-17T12:00:57,212.47,1144.96
2026-05-17T12:01:02,212.47,1144.96
2026-05-17T12:01:07,208.56,1149.42
2026-05-17T12:01:12,208.56,1149.42
2026-05-17T12:01:17,195.04,1082.31
2026-05-17T12:01:22,195.04,1082.31
2026-05-17T12:01:27,203.49,1132.51
2026-05-17T12:01:32,203.49,1132.51
2026-05-17T12:01:37,205.06,1144.89
2026-05-17T12:01:42,205.06,1144.89
2026-05-17T12:01:47,204.93,1147.2
2026-05-17T12:01:52,204.93,1147.2
2026-05-17T12:01:57,209.29,1171.51
2026-05-17T12:02:02,209.29,1171.51
2026-05-17T12:02:07,202.27,1132.56
2026-05-17T12:02:12,202.27,1132.56
2026-05-17T12:02:17,197.89,1115.28
2026-05-17T12:02:22,197.89,1115.28
2026-05-17T12:02:27,201.16,1120.44
2026-05-17T12:02:32,201.16,1120.44
2026-05-17T12:02:37,195.21,1085.27
2026-05-17T12:02:42,195.21,1085.27
2026-05-17T12:02:47,191.51,1077.66
2026-05-17T12:02:52,191.51,1077.66
2026-05-17T12:02:57,202.49,1137.24
2026-05-17T12:03:02,202.49,1137.24
2026-05-17T12:03:07,200.85,1122.71
2026-05-17T12:03:12,200.85,1122.71
2026-05-17T12:03:17,205.74,1157.7
2026-05-17T12:03:22,205.74,1157.7
2026-05-17T12:03:27,216.62,1214.23
2026-05-17T12:03:32,216.62,1214.23
2026-05-17T12:03:37,211.89,1174.34
2026-05-17T12:03:42,211.89,1174.34
2026-05-17T12:03:47,208.82,1170.74
2026-05-17T12:03:52,208.82,1170.74
2026-05-17T12:03:57,211.99,1194.71
2026-05-17T12:04:02,211.99,1194.71
2026-05-17T12:04:07,205.07,1158.25
2026-05-17T12:04:12,205.07,1158.25
2026-05-17T12:04:17,208.29,1164.91
2026-05-17T12:04:22,208.29,1164.91
2026-05-17T12:04:27,214.53,1184.24
2026-05-17T12:04:32,214.53,1184.24
2026-05-17T12:04:37,210.64,1174.61
2026-05-17T12:04:42,210.64,1174.61
2026-05-17T12:04:47,210.19,1197.15
2026-05-17T12:04:52,210.19,1197.15
2026-05-17T12:04:57,206.94,1176.63
2026-05-17T12:05:02,206.94,1176.63
2026-05-17T12:05:07,201.38,1120.28
