timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-19T07:52:22,9.6,1499,7941,0,3,99.99,4,8.8,182.1
2026-05-19T07:52:27,8.4,1481,7941,0,3,99.99,34,6.2,194.8
2026-05-19T07:52:33,9.0,1441,7941,0,4,99.99,39,6.9,166.6
2026-05-19T07:52:38,10.1,1447,7941,0,4,99.99,73,7.8,180.7
2026-05-19T07:52:43,9.9,1453,7941,0,4,99.99,90,7.6,190.1
2026-05-19T07:52:48,11.9,1483,7941,0,3,99.99,111,8.8,215.6
2026-05-19T07:52:54,11.1,1490,7941,0,4,99.99,133,8.2,217.5
2026-05-19T07:52:59,12.6,1490,7941,0,4,99.99,167,9.2,215.1
2026-05-19T07:53:04,15.8,1501,7941,0,6,99.99,138,11.8,215.6
2026-05-19T07:53:09,13.8,1499,7941,0,6,99.99,171,10.2,215.9
2026-05-19T07:53:15,14.3,1497,7941,0,6,99.99,234,10.2,216.2
2026-05-19T07:53:20,15.2,1492,7941,0,6,99.99,251,10.9,216.3
2026-05-19T07:53:25,17.1,1509,7941,0,6,99.99,244,12.0,223.9
2026-05-19T07:53:30,17.5,1515,7941,0,7,99.99,226,12.4,229.7
2026-05-19T07:53:36,19.3,1530,7941,0,7,99.99,295,14.0,249.8
2026-05-19T07:53:41,19.0,1512,7941,0,5,99.99,350,13.8,225.9
2026-05-19T07:53:46,20.0,1504,7941,0,7,99.99,335,14.1,227.2
2026-05-19T07:53:51,18.5,1513,7941,1,6,99.99,374,12.6,228.4
2026-05-19T07:53:57,19.8,1514,7941,0,7,99.99,364,13.8,231.0
2026-05-19T07:54:02,22.8,1513,7941,1,7,99.99,361,16.4,232.0
2026-05-19T07:54:07,23.7,1530,7941,1,7,99.99,403,15.8,246.7
2026-05-19T07:54:13,21.2,1539,7941,0,7,99.99,460,14.4,261.0
2026-05-19T07:54:18,22.3,1551,7941,0,7,99.99,416,15.2,262.0
2026-05-19T07:54:23,22.6,1555,7941,0,7,99.99,484,15.5,262.0
2026-05-19T07:54:28,22.5,1551,7941,1,6,99.99,510,14.9,262.0
2026-05-19T07:54:34,25.8,1558,7941,0,8,99.99,514,17.6,262.0
2026-05-19T07:54:39,24.8,1555,7941,0,7,99.99,545,16.7,262.1
2026-05-19T07:54:44,23.0,1554,7941,1,6,99.99,609,15.1,262.1
2026-05-19T07:54:50,25.3,1550,7941,1,6,99.99,524,17.2,262.2
2026-05-19T07:54:55,26.7,1553,7941,0,7,99.99,644,17.5,262.2
2026-05-19T07:55:00,26.0,1555,7941,2,5,99.99,573,17.6,262.2
2026-05-19T07:55:05,40.7,1563,7941,0,11,99.99,589,28.5,262.4
2026-05-19T07:55:11,32.6,1564,7941,0,11,99.99,579,21.9,262.6
2026-05-19T07:55:16,32.8,1573,7941,0,11,99.99,775,20.8,264.8
2026-05-19T07:55:21,64.1,1581,7941,0,11,99.99,656,51.7,275.2
2026-05-19T07:55:27,99.7,1596,7941,0,9,99.99,841,90.1,282.7
2026-05-19T07:55:32,99.8,1626,7941,0,9,99.99,977,92.0,314.4
2026-05-19T07:55:37,99.8,1656,7941,0,8,99.99,933,94.8,344.6
2026-05-19T07:55:43,99.7,1662,7941,0,9,99.99,940,94.0,348.5
2026-05-19T07:55:48,99.8,1659,7941,0,10,99.99,1034,91.4,348.5
2026-05-19T07:55:54,99.9,1660,7941,0,10,99.99,844,95.2,348.5
2026-05-19T07:55:59,99.8,1673,7941,0,8,99.99,1067,93.6,358.6
2026-05-19T07:56:04,99.8,1673,7941,0,8,99.99,977,92.0,358.7
2026-05-19T07:56:10,99.7,1674,7941,1,6,99.99,851,94.5,358.8
2026-05-19T07:56:15,99.5,1674,7941,0,9,99.99,965,92.2,358.8
2026-05-19T07:56:20,99.8,1676,7941,1,9,99.99,1006,93.5,359.6
2026-05-19T07:56:26,99.7,1696,7941,3,7,99.99,1175,92.2,379.9
2026-05-19T07:56:31,99.8,1698,7941,0,9,99.99,1060,93.5,380.0
2026-05-19T07:56:37,99.8,1698,7941,1,8,99.99,1211,91.6,380.1
2026-05-19T07:56:42,99.9,1696,7941,0,8,99.99,1303,92.2,380.5
2026-05-19T07:56:47,99.7,1701,7941,1,9,99.99,948,94.5,380.7
2026-05-19T07:56:53,99.8,1775,7941,1,8,99.99,829,88.7,380.7
2026-05-19T07:56:58,99.8,1714,7941,0,8,99.99,887,90.5,380.7
2026-05-19T07:57:03,74.9,1706,7941,1,10,99.99,867,62.7,380.8
2026-05-19T07:57:09,46.7,1712,7941,1,9,99.99,1503,27.8,380.9
2026-05-19T07:57:14,47.7,1714,7941,0,9,99.99,1675,27.5,381.0
2026-05-19T07:57:19,47.8,1714,7941,0,11,99.99,1495,27.6,381.1
2026-05-19T07:57:25,48.0,1706,7941,0,9,99.99,1318,28.2,381.1
2026-05-19T07:57:30,47.2,1710,7941,0,10,99.99,1503,27.4,381.1
2026-05-19T07:57:35,48.7,1705,7941,2,9,99.99,1398,27.8,381.1
2026-05-19T07:57:41,50.0,1713,7941,0,9,99.99,1618,28.7,381.1
2026-05-19T07:57:46,47.7,1703,7941,0,10,99.99,1612,27.6,381.2
2026-05-19T07:57:51,48.4,1711,7941,1,8,99.99,1222,28.6,381.6
2026-05-19T07:57:56,42.0,1705,7941,0,11,99.99,998,21.9,381.7
2026-05-19T07:58:02,26.7,1711,7941,0,11,99.99,816,16.2,381.7
2026-05-19T07:58:07,27.3,1701,7941,1,8,99.99,599,16.8,381.7
2026-05-19T07:58:12,23.9,1699,7941,0,9,99.99,739,14.2,381.7
2026-05-19T07:58:18,24.1,1700,7941,0,9,99.99,701,14.3,381.7
2026-05-19T07:58:23,23.8,1700,7941,1,9,99.99,621,14.2,381.7
2026-05-19T07:58:28,26.2,1701,7941,0,10,99.99,658,15.8,381.7
2026-05-19T07:58:33,26.4,1707,7941,0,9,99.99,741,16.0,381.7
2026-05-19T07:58:39,26.8,1695,7941,1,8,99.99,736,16.0,381.7
2026-05-19T07:58:44,25.5,1698,7941,0,10,99.99,738,14.9,381.7
2026-05-19T07:58:49,26.6,1700,7941,1,9,99.99,713,16.2,381.7
2026-05-19T07:58:54,35.3,1732,7941,0,8,99.99,730,16.1,381.7
2026-05-19T07:59:00,26.8,1696,7941,0,9,99.99,679,16.3,381.7
2026-05-19T07:59:05,28.3,1694,7941,0,9,99.99,681,16.4,381.7
2026-05-19T07:59:10,28.9,1688,7941,0,5,99.99,718,17.2,381.7
2026-05-19T07:59:16,30.9,1695,7941,0,11,99.99,692,18.9,381.7
2026-05-19T07:59:21,27.5,1688,7941,1,8,99.99,702,16.7,381.7
2026-05-19T07:59:26,27.2,1695,7941,0,10,99.99,724,16.3,381.7
2026-05-19T07:59:31,24.2,1684,7941,0,10,99.99,694,14.3,381.7
2026-05-19T07:59:37,26.7,1674,7941,0,9,99.99,693,15.9,381.8
2026-05-19T07:59:42,27.2,1670,7941,0,8,99.99,688,16.7,381.8
2026-05-19T07:59:47,25.6,1662,7941,0,8,99.99,750,15.4,381.8
2026-05-19T07:59:52,28.1,1684,7941,0,9,99.99,648,16.0,381.8
2026-05-19T07:59:58,27.6,1670,7941,0,8,99.99,694,16.9,381.3
2026-05-19T08:00:03,32.1,1676,7941,0,11,99.99,682,21.9,381.3
2026-05-19T08:00:09,37.7,1675,7941,0,7,99.99,481,30.1,381.3
2026-05-19T08:00:15,42.8,1673,7941,0,11,99.99,520,28.8,381.3
2026-05-19T08:00:20,37.5,1683,7941,0,11,99.99,784,23.4,381.3
2026-05-19T08:00:25,35.5,1680,7941,0,11,99.99,695,21.6,381.3
2026-05-19T08:00:31,30.4,1678,7941,0,10,99.99,614,18.9,381.3
2026-05-19T08:00:36,28.9,1666,7941,0,8,99.99,777,17.6,381.3
2026-05-19T08:00:41,26.5,1674,7941,0,9,99.99,744,16.2,381.3
2026-05-19T08:00:47,23.3,1667,7941,0,8,99.99,566,13.8,381.3
2026-05-19T08:00:52,21.2,1679,7941,0,8,99.99,564,12.6,381.3
2026-05-19T08:00:57,14.8,1664,7941,0,6,99.99,474,8.8,381.3
2026-05-19T08:01:02,11.8,1670,7941,0,7,99.99,298,6.8,381.3
2026-05-19T08:01:08,9.4,1666,7941,1,5,99.99,238,4.9,381.3
2026-05-19T08:01:13,3.9,1663,7941,0,5,99.99,90,1.7,381.3
2026-05-19T08:01:18,2.3,1656,7941,0,5,99.99,21,0.4,381.3
2026-05-19T08:01:23,1.8,1661,7941,0,5,99.99,3,0.1,381.3
