timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-19T05:22:57,0.29,0.29
2026-05-19T05:23:02,0.29,0.29
2026-05-19T05:23:07,0.15,0.67
2026-05-19T05:23:12,0.15,0.67
2026-05-19T05:23:17,0.35,1.35
2026-05-19T05:23:22,0.35,1.35
2026-05-19T05:23:27,5.84,17.94
2026-05-19T05:23:32,5.84,17.94
2026-05-19T05:23:37,30.03,95.05
2026-05-19T05:23:42,30.03,95.05
2026-05-19T05:23:47,62.65,225.85
2026-05-19T05:23:52,62.65,225.85
2026-05-19T05:23:57,91.35,368.48
2026-05-19T05:24:02,91.35,368.48
2026-05-19T05:24:07,117.43,507.86
2026-05-19T05:24:12,117.43,507.86
2026-05-19T05:24:17,145.29,662.12
2026-05-19T05:24:22,145.29,662.12
2026-05-19T05:24:27,174.64,818.22
2026-05-19T05:24:32,174.64,818.22
2026-05-19T05:24:37,201.56,967.65
2026-05-19T05:24:42,201.56,967.65
2026-05-19T05:24:47,225.24,1107.28
2026-05-19T05:24:52,225.24,1107.28
2026-05-19T05:24:57,247.82,1255.13
2026-05-19T05:25:02,247.82,1255.13
2026-05-19T05:25:07,251.36,1239.87
2026-05-19T05:25:12,251.36,1239.87
2026-05-19T05:25:17,219.7,1096.05
2026-05-19T05:25:22,219.7,1096.05
2026-05-19T05:25:27,234.78,1217.81
2026-05-19T05:25:32,234.78,1217.81
2026-05-19T05:25:37,276.75,1449.88
2026-05-19T05:25:42,276.75,1449.88
2026-05-19T05:25:47,277.42,1507.11
2026-05-19T05:25:52,277.42,1507.11
2026-05-19T05:25:57,264.9,1456.31
2026-05-19T05:26:02,264.9,1456.31
2026-05-19T05:26:07,254.34,1409.64
2026-05-19T05:26:12,254.34,1409.64
2026-05-19T05:26:17,254.27,1415.9
2026-05-19T05:26:22,254.27,1415.9
2026-05-19T05:26:27,262.74,1466.43
2026-05-19T05:26:32,262.74,1466.43
2026-05-19T05:26:37,274.16,1538.31
2026-05-19T05:26:42,274.16,1538.31
2026-05-19T05:26:47,270.15,1510.3
2026-05-19T05:26:52,270.15,1510.3
2026-05-19T05:26:57,268.41,1497.89
2026-05-19T05:27:02,268.41,1497.89
2026-05-19T05:27:07,259.63,1441.82
2026-05-19T05:27:12,259.63,1441.82
2026-05-19T05:27:17,252.8,1412.42
2026-05-19T05:27:22,252.8,1412.42
2026-05-19T05:27:27,270.1,1523.54
2026-05-19T05:27:32,270.1,1523.54
2026-05-19T05:27:37,285.42,1573.22
2026-05-19T05:27:42,285.42,1573.22
2026-05-19T05:27:47,286.96,1593.14
2026-05-19T05:27:52,286.96,1593.14
2026-05-19T05:27:57,284.56,1599.57
2026-05-19T05:28:02,284.56,1599.57
2026-05-19T05:28:07,276.18,1533.49
2026-05-19T05:28:12,276.18,1533.49
2026-05-19T05:28:17,280.23,1562.64
2026-05-19T05:28:22,280.23,1562.64
2026-05-19T05:28:27,298.08,1655.99
2026-05-19T05:28:32,298.08,1655.99
2026-05-19T05:28:37,298.12,1590.63
2026-05-19T05:28:42,298.12,1590.63
2026-05-19T05:28:47,297.33,1551.25
2026-05-19T05:28:52,297.33,1551.25
2026-05-19T05:28:57,301.54,1590.89
2026-05-19T05:29:02,301.54,1590.89
2026-05-19T05:29:07,298.84,1563.86
2026-05-19T05:29:12,298.84,1563.86
2026-05-19T05:29:17,282.09,1483.09
2026-05-19T05:29:22,282.09,1483.09
2026-05-19T05:29:27,296.66,1573.35
2026-05-19T05:29:32,296.66,1573.35
2026-05-19T05:29:37,320.76,1711.73
2026-05-19T05:29:42,320.76,1711.73
2026-05-19T05:29:47,312.22,1711.21
2026-05-19T05:29:52,312.22,1711.21
2026-05-19T05:29:57,309.49,1714.73
2026-05-19T05:30:02,309.49,1714.73
2026-05-19T05:30:07,286.59,1548.24
2026-05-19T05:30:12,286.59,1548.24
2026-05-19T05:30:17,211.87,1163.95
2026-05-19T05:30:22,211.87,1163.95
2026-05-19T05:30:27,194.25,1122.06
2026-05-19T05:30:32,194.25,1122.06
2026-05-19T05:30:37,262.2,1448.56
2026-05-19T05:30:42,262.2,1448.56
2026-05-19T05:30:47,296.71,1619.7
2026-05-19T05:30:52,296.71,1619.7
2026-05-19T05:30:57,311.87,1717.99
2026-05-19T05:31:02,311.87,1717.99
2026-05-19T05:31:07,321.4,1794.65
2026-05-19T05:31:12,321.4,1794.65
2026-05-19T05:31:17,306.33,1717.89
2026-05-19T05:31:22,306.33,1717.89
2026-05-19T05:31:27,314.07,1719.81
2026-05-19T05:31:32,314.07,1719.81
2026-05-19T05:31:37,320.85,1759.99
2026-05-19T05:31:42,320.85,1759.99
2026-05-19T05:31:47,307.35,1705.25
2026-05-19T05:31:52,307.35,1705.25
2026-05-19T05:31:57,301.38,1675.0
2026-05-19T05:32:02,301.38,1675.0
2026-05-19T05:32:07,299.24,1651.53
2026-05-19T05:32:12,299.24,1651.53
2026-05-19T05:32:17,296.67,1650.07
2026-05-19T05:32:22,296.67,1650.07
2026-05-19T05:32:27,312.21,1717.4
2026-05-19T05:32:32,312.21,1717.4
2026-05-19T05:32:37,323.35,1733.85
2026-05-19T05:32:42,323.35,1733.85
2026-05-19T05:32:47,324.07,1722.66
2026-05-19T05:32:52,324.07,1722.66
2026-05-19T05:32:57,325.97,1736.2
2026-05-19T05:33:02,325.97,1736.2
2026-05-19T05:33:07,315.76,1667.32
2026-05-19T05:33:12,315.76,1667.32
2026-05-19T05:33:17,316.7,1671.7
2026-05-19T05:33:22,316.7,1671.7
2026-05-19T05:33:27,331.0,1722.22
2026-05-19T05:33:32,331.0,1722.22
2026-05-19T05:33:37,322.84,1697.58
2026-05-19T05:33:42,322.84,1697.58
2026-05-19T05:33:47,319.68,1763.41
2026-05-19T05:33:52,319.68,1763.41
2026-05-19T05:33:57,323.65,1786.6
2026-05-19T05:34:02,323.65,1786.6
2026-05-19T05:34:07,314.12,1729.94
2026-05-19T05:34:12,314.12,1729.94
2026-05-19T05:34:17,325.52,1772.97
2026-05-19T05:34:22,325.52,1772.97
2026-05-19T05:34:27,327.41,1811.1
2026-05-19T05:34:32,327.41,1811.1
2026-05-19T05:34:37,321.96,1803.92
2026-05-19T05:34:42,321.96,1803.92
2026-05-19T05:34:47,319.06,1760.71
2026-05-19T05:34:52,319.06,1760.71
2026-05-19T05:34:57,293.56,1622.09
2026-05-19T05:35:02,293.56,1622.09
2026-05-19T05:35:07,253.82,1404.85
2026-05-19T05:35:12,253.82,1404.85
2026-05-19T05:35:17,231.66,1327.19
2026-05-19T05:35:22,231.66,1327.19
2026-05-19T05:35:27,254.02,1460.61
2026-05-19T05:35:32,254.02,1460.61
2026-05-19T05:35:37,285.74,1555.58
2026-05-19T05:35:42,285.74,1555.58
2026-05-19T05:35:47,294.75,1607.03
2026-05-19T05:35:52,294.75,1607.03
2026-05-19T05:35:57,288.32,1603.54
2026-05-19T05:36:02,288.32,1603.54
2026-05-19T05:36:07,276.53,1525.51
2026-05-19T05:36:12,276.53,1525.51
2026-05-19T05:36:17,275.92,1560.21
2026-05-19T05:36:22,275.92,1560.21
2026-05-19T05:36:27,281.83,1580.14
2026-05-19T05:36:32,281.83,1580.14
2026-05-19T05:36:37,282.17,1521.36
2026-05-19T05:36:42,282.17,1521.36
2026-05-19T05:36:47,295.16,1548.98
2026-05-19T05:36:52,295.16,1548.98
2026-05-19T05:36:57,299.08,1553.59
2026-05-19T05:37:02,299.08,1553.59
2026-05-19T05:37:07,295.15,1555.7
2026-05-19T05:37:12,295.15,1555.7
2026-05-19T05:37:17,287.79,1515.03
2026-05-19T05:37:22,287.79,1515.03
2026-05-19T05:37:27,281.62,1491.41
2026-05-19T05:37:32,281.62,1491.41
2026-05-19T05:37:37,288.78,1550.57
2026-05-19T05:37:42,288.78,1550.57
2026-05-19T05:37:47,290.75,1581.23
2026-05-19T05:37:52,290.75,1581.23
2026-05-19T05:37:57,291.58,1602.31
2026-05-19T05:38:02,291.58,1602.31
2026-05-19T05:38:07,284.22,1569.39
2026-05-19T05:38:12,284.22,1569.39
2026-05-19T05:38:17,276.22,1527.92
2026-05-19T05:38:22,276.22,1527.92
2026-05-19T05:38:27,281.15,1562.1
2026-05-19T05:38:32,281.15,1562.1
2026-05-19T05:38:37,281.9,1569.14
2026-05-19T05:38:42,281.9,1569.14
2026-05-19T05:38:47,273.95,1524.18
2026-05-19T05:38:52,273.95,1524.18
2026-05-19T05:38:57,277.48,1552.06
2026-05-19T05:39:02,277.48,1552.06
2026-05-19T05:39:07,266.13,1454.67
2026-05-19T05:39:12,266.13,1454.67
2026-05-19T05:39:17,234.18,1316.09
2026-05-19T05:39:22,234.18,1316.09
2026-05-19T05:39:27,260.49,1456.83
2026-05-19T05:39:32,260.49,1456.83
2026-05-19T05:39:37,297.2,1598.94
2026-05-19T05:39:42,297.2,1598.94
2026-05-19T05:39:47,296.94,1651.24
2026-05-19T05:39:52,296.94,1651.24
2026-05-19T05:39:57,286.34,1607.73
2026-05-19T05:40:02,286.34,1607.73
2026-05-19T05:40:07,263.37,1427.79
2026-05-19T05:40:12,263.37,1427.79
