timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-19T06:40:37,19.2,1337,7941,0,5,99.99,13,17.9,186.7
2026-05-19T06:40:43,26.4,1322,7941,0,5,99.99,79,24.1,181.2
2026-05-19T06:40:48,29.8,1318,7941,0,5,99.99,165,26.6,196.9
2026-05-19T06:40:53,32.2,1320,7941,0,3,99.99,205,28.2,198.8
2026-05-19T06:40:59,38.3,1313,7941,0,7,99.99,311,33.4,186.6
2026-05-19T06:41:04,43.7,1322,7941,1,6,99.99,385,37.1,193.3
2026-05-19T06:41:09,41.9,1323,7941,0,8,99.99,395,34.8,206.5
2026-05-19T06:41:14,43.6,1346,7941,0,10,99.99,550,34.4,217.1
2026-05-19T06:41:20,47.0,1352,7941,0,10,99.99,593,37.8,217.5
2026-05-19T06:41:25,48.0,1358,7941,0,10,99.99,637,37.9,227.5
2026-05-19T06:41:30,51.0,1391,7941,0,10,99.99,700,40.2,254.6
2026-05-19T06:41:36,50.3,1389,7941,0,9,99.99,795,39.3,254.8
2026-05-19T06:41:41,52.2,1431,7941,0,9,99.99,884,40.1,295.0
2026-05-19T06:41:46,56.0,1451,7941,0,7,99.99,936,42.8,313.6
2026-05-19T06:41:51,63.5,1527,7941,2,10,99.99,954,43.1,313.7
2026-05-19T06:41:57,60.2,1482,7941,0,10,99.99,993,43.9,333.8
2026-05-19T06:42:02,56.5,1480,7941,0,11,99.99,1003,41.9,334.1
2026-05-19T06:42:07,60.6,1475,7941,0,8,99.99,813,47.2,334.2
2026-05-19T06:42:13,60.5,1477,7941,0,10,99.99,1031,44.9,337.7
2026-05-19T06:42:18,59.7,1478,7941,1,9,99.99,1034,44.1,338.0
2026-05-19T06:42:23,59.5,1475,7941,1,9,99.99,1029,44.6,338.0
2026-05-19T06:42:29,58.5,1478,7941,0,9,99.99,977,43.9,338.2
2026-05-19T06:42:34,59.6,1484,7941,0,10,99.99,975,45.1,339.8
2026-05-19T06:42:39,47.1,1479,7941,1,9,99.99,1131,30.1,339.8
