timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-20T05:39:01,9.9,1924,7941,0,2,99.99,3,9.0,160.9
2026-05-20T05:39:07,15.3,1895,7941,0,3,99.99,16,13.4,160.3
2026-05-20T05:39:12,21.2,1888,7941,0,3,99.99,17,20.1,164.6
2026-05-20T05:39:17,33.7,1881,7941,0,3,99.99,44,32.8,170.5
2026-05-20T05:39:23,45.2,1893,7941,0,3,99.99,36,45.0,176.6
2026-05-20T05:39:28,50.2,1897,7941,0,4,99.99,53,49.5,190.5
2026-05-20T05:39:33,61.4,1912,7941,1,3,99.99,55,61.8,193.7
2026-05-20T05:39:38,72.1,1907,7941,0,4,99.99,86,73.1,195.2
2026-05-20T05:39:44,81.6,1902,7941,0,4,99.99,78,83.4,190.9
2026-05-20T05:39:49,88.7,1913,7941,0,4,99.99,93,89.8,194.8
2026-05-20T05:39:54,94.1,1914,7941,0,4,99.99,88,95.7,194.9
2026-05-20T05:39:59,95.2,1914,7941,0,5,99.99,109,97.9,195.3
2026-05-20T05:40:05,99.9,1912,7941,0,5,99.99,105,104.1,196.7
2026-05-20T05:40:10,100.0,1913,7941,0,5,99.99,99,104.4,197.6
2026-05-20T05:40:16,99.8,1918,7941,0,3,99.99,102,104.2,199.6
2026-05-20T05:40:21,99.9,1912,7941,0,5,99.99,116,103.2,199.9
2026-05-20T05:40:26,99.9,1918,7941,0,7,99.99,101,103.8,200.2
2026-05-20T05:40:32,100.0,1920,7941,0,7,99.99,108,103.8,200.7
2026-05-20T05:40:37,99.8,1915,7941,0,4,99.99,105,102.6,203.4
2026-05-20T05:40:43,100.0,1920,7941,0,5,99.99,99,105.5,203.5
2026-05-20T05:40:48,100.0,1910,7941,0,4,99.99,123,103.0,204.0
2026-05-20T05:40:53,100.0,1921,7941,0,3,99.99,111,103.6,204.2
2026-05-20T05:40:59,100.0,1925,7941,0,4,99.99,97,104.5,204.3
2026-05-20T05:41:04,99.9,1923,7941,0,4,99.99,108,101.6,204.4
2026-05-20T05:41:09,99.9,1924,7941,0,5,99.99,113,103.5,204.8
2026-05-20T05:41:15,99.9,1931,7941,0,8,99.99,109,103.8,205.3
2026-05-20T05:41:20,99.9,1932,7941,0,8,99.99,91,104.6,208.5
2026-05-20T05:41:25,99.8,1931,7941,0,7,99.99,128,102.9,214.2
2026-05-20T05:41:31,99.9,1922,7941,0,5,99.99,101,103.1,214.2
2026-05-20T05:41:36,99.9,1929,7941,0,5,99.99,110,104.9,218.0
2026-05-20T05:41:42,99.9,1944,7941,0,5,99.99,94,103.0,222.4
2026-05-20T05:41:47,99.9,1942,7941,1,4,99.99,115,103.9,224.0
2026-05-20T05:41:52,100.0,1938,7941,0,5,99.99,85,102.4,224.1
2026-05-20T05:41:57,99.9,1943,7941,0,5,99.99,109,101.6,224.2
2026-05-20T05:42:03,99.9,1945,7941,0,5,99.99,92,103.4,224.3
2026-05-20T05:42:08,100.0,1943,7941,0,6,99.99,115,104.2,224.5
2026-05-20T05:42:14,100.0,1946,7941,0,5,99.99,112,102.6,224.5
2026-05-20T05:42:19,99.9,1947,7941,0,5,99.99,101,103.2,224.6
2026-05-20T05:42:24,99.9,1948,7941,0,5,99.99,115,104.0,224.6
2026-05-20T05:42:30,100.0,1945,7941,0,5,99.99,82,102.4,224.6
2026-05-20T05:42:35,99.8,1952,7941,0,7,99.99,125,102.6,228.3
