timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-21T08:21:09,54.45,182.63
2026-05-21T08:21:14,20.8,26.54
2026-05-21T08:21:19,20.8,26.54
2026-05-21T08:21:24,0.27,0.26
2026-05-21T08:21:29,0.27,0.26
2026-05-21T08:21:34,0.71,1.25
2026-05-21T08:21:39,0.71,1.25
2026-05-21T08:21:44,3.03,6.21
2026-05-21T08:21:49,3.03,6.21
2026-05-21T08:21:54,6.84,14.85
2026-05-21T08:21:59,6.84,14.85
2026-05-21T08:22:04,10.62,23.99
2026-05-21T08:22:09,10.62,23.99
2026-05-21T08:22:14,14.52,33.12
2026-05-21T08:22:19,14.52,33.12
2026-05-21T08:22:24,18.59,42.03
2026-05-21T08:22:29,18.59,42.03
2026-05-21T08:22:34,22.4,50.94
2026-05-21T08:22:39,22.4,50.94
2026-05-21T08:22:44,26.1,59.29
2026-05-21T08:22:49,26.1,59.29
2026-05-21T08:22:54,28.44,64.65
2026-05-21T08:22:59,28.44,64.65
2026-05-21T08:23:04,30.55,69.76
2026-05-21T08:23:09,30.55,69.76
2026-05-21T08:23:14,32.16,72.78
2026-05-21T08:23:19,32.16,72.78
2026-05-21T08:23:24,33.21,75.14
2026-05-21T08:23:29,33.21,75.14
2026-05-21T08:23:34,33.59,76.73
2026-05-21T08:23:39,33.59,76.73
2026-05-21T08:23:44,33.69,76.85
2026-05-21T08:23:49,33.69,76.85
2026-05-21T08:23:54,33.29,75.26
2026-05-21T08:23:59,33.29,75.26
2026-05-21T08:24:04,32.09,72.49
2026-05-21T08:24:09,32.09,72.49
2026-05-21T08:24:14,32.55,73.78
2026-05-21T08:24:19,32.55,73.78
2026-05-21T08:24:24,33.37,75.74
2026-05-21T08:24:29,33.37,75.74
2026-05-21T08:24:34,71.02,115.36
2026-05-21T08:24:39,71.02,115.36
2026-05-21T08:24:44,105.97,154.38
2026-05-21T08:24:49,105.97,154.38
2026-05-21T08:24:54,70.39,119.45
2026-05-21T08:24:59,70.39,119.45
2026-05-21T08:25:04,35.92,81.2
2026-05-21T08:25:09,35.92,81.2
2026-05-21T08:25:14,36.05,80.87
2026-05-21T08:25:19,36.05,80.87
2026-05-21T08:25:24,37.47,84.03
2026-05-21T08:25:29,37.47,84.03
2026-05-21T08:25:34,36.48,81.82
2026-05-21T08:25:39,36.48,81.82
2026-05-21T08:25:44,34.34,77.24
2026-05-21T08:25:49,34.34,77.24
2026-05-21T08:25:54,32.61,73.81
2026-05-21T08:25:59,32.61,73.81
2026-05-21T08:26:04,32.55,73.91
2026-05-21T08:26:09,32.55,73.91
2026-05-21T08:26:14,31.8,71.81
2026-05-21T08:26:19,31.8,71.81
2026-05-21T08:26:24,31.43,71.01
2026-05-21T08:26:29,31.43,71.01
2026-05-21T08:26:34,33.29,75.87
2026-05-21T08:26:39,33.29,75.87
2026-05-21T08:26:44,34.24,78.15
2026-05-21T08:26:49,34.24,78.15
2026-05-21T08:26:54,33.41,78.93
2026-05-21T08:26:59,33.41,78.93
2026-05-21T08:27:04,31.99,74.41
2026-05-21T08:27:09,31.99,74.41
2026-05-21T08:27:14,32.13,73.41
2026-05-21T08:27:19,32.13,73.41
2026-05-21T08:27:24,23.73,53.16
2026-05-21T08:27:29,23.73,53.16
2026-05-21T08:27:34,9.91,19.78
2026-05-21T08:27:39,9.91,19.78
2026-05-21T08:27:44,12.35,28.33
2026-05-21T08:27:49,12.35,28.33
2026-05-21T08:27:54,26.51,61.61
2026-05-21T08:27:59,26.51,61.61
2026-05-21T08:28:04,33.88,76.36
2026-05-21T08:28:09,33.88,76.36
2026-05-21T08:28:14,33.75,74.71
2026-05-21T08:28:19,33.75,74.71
2026-05-21T08:28:24,34.4,77.13
2026-05-21T08:28:29,34.4,77.13
2026-05-21T08:28:34,35.23,80.23
2026-05-21T08:28:39,35.23,80.23
2026-05-21T08:28:44,34.32,78.55
