timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-21T06:10:49,2.34,2.51
2026-05-21T06:10:54,0.85,0.94
2026-05-21T06:10:59,0.85,0.94
2026-05-21T06:11:04,0.24,0.79
2026-05-21T06:11:09,0.24,0.79
2026-05-21T06:11:14,0.52,2.27
2026-05-21T06:11:19,0.52,2.27
2026-05-21T06:11:24,1.49,3.5
2026-05-21T06:11:29,1.49,3.5
2026-05-21T06:11:34,7.57,16.01
2026-05-21T06:11:39,7.57,16.01
2026-05-21T06:11:44,18.8,41.57
2026-05-21T06:11:49,18.8,41.57
2026-05-21T06:11:54,29.3,66.03
2026-05-21T06:11:59,29.3,66.03
2026-05-21T06:12:04,33.85,76.18
2026-05-21T06:12:09,33.85,76.18
2026-05-21T06:12:14,34.02,76.92
2026-05-21T06:12:19,34.02,76.92
2026-05-21T06:12:24,35.26,79.83
2026-05-21T06:12:29,35.26,79.83
2026-05-21T06:12:34,35.69,79.82
2026-05-21T06:12:39,35.69,79.82
2026-05-21T06:12:44,35.45,79.74
2026-05-21T06:12:49,35.45,79.74
2026-05-21T06:12:54,35.5,80.28
2026-05-21T06:12:59,35.5,80.28
2026-05-21T06:13:04,34.65,77.15
2026-05-21T06:13:09,34.65,77.15
2026-05-21T06:13:14,34.23,76.39
2026-05-21T06:13:19,34.23,76.39
2026-05-21T06:13:24,35.21,80.66
2026-05-21T06:13:29,35.21,80.66
2026-05-21T06:13:34,34.27,79.69
2026-05-21T06:13:39,34.27,79.69
2026-05-21T06:13:44,32.8,76.79
2026-05-21T06:13:49,32.8,76.79
2026-05-21T06:13:54,32.19,75.14
2026-05-21T06:13:59,32.19,75.14
2026-05-21T06:14:04,31.48,73.24
2026-05-21T06:14:09,31.48,73.24
2026-05-21T06:14:14,32.89,73.67
2026-05-21T06:14:19,32.89,73.67
2026-05-21T06:14:24,37.85,79.65
2026-05-21T06:14:29,37.85,79.65
2026-05-21T06:14:34,36.1,79.53
2026-05-21T06:14:39,36.1,79.53
2026-05-21T06:14:44,31.34,74.06
2026-05-21T06:14:49,31.34,74.06
2026-05-21T06:14:54,31.77,75.02
2026-05-21T06:14:59,31.77,75.02
2026-05-21T06:15:04,30.79,71.72
2026-05-21T06:15:09,30.79,71.72
2026-05-21T06:15:14,28.18,69.81
2026-05-21T06:15:19,28.18,69.81
2026-05-21T06:15:24,28.83,71.21
2026-05-21T06:15:29,28.83,71.21
2026-05-21T06:15:34,37.01,71.67
2026-05-21T06:15:39,37.01,71.67
2026-05-21T06:15:44,36.76,72.59
2026-05-21T06:15:49,36.76,72.59
2026-05-21T06:15:54,31.69,75.59
2026-05-21T06:15:59,31.69,75.59
2026-05-21T06:16:04,32.32,76.28
2026-05-21T06:16:09,32.32,76.28
2026-05-21T06:16:14,35.78,77.31
2026-05-21T06:16:19,35.78,77.31
2026-05-21T06:16:24,34.99,75.47
2026-05-21T06:16:29,34.99,75.47
2026-05-21T06:16:34,31.41,72.27
2026-05-21T06:16:39,31.41,72.27
2026-05-21T06:16:44,32.9,75.72
