timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-21T15:32:09,6.55,0.44
2026-05-21T15:32:14,0.75,0.66
2026-05-21T15:32:19,0.75,0.66
2026-05-21T15:32:24,0.69,1.63
2026-05-21T15:32:29,0.69,1.63
2026-05-21T15:32:34,0.7,3.56
2026-05-21T15:32:39,0.7,3.56
2026-05-21T15:32:44,1.0,4.73
2026-05-21T15:32:49,1.0,4.73
2026-05-21T15:32:54,1.32,6.58
2026-05-21T15:32:59,1.32,6.58
2026-05-21T15:33:04,1.71,8.58
2026-05-21T15:33:09,1.71,8.58
2026-05-21T15:33:14,2.26,11.94
2026-05-21T15:33:19,2.26,11.94
2026-05-21T15:33:24,2.73,15.91
2026-05-21T15:33:29,2.73,15.91
2026-05-21T15:33:34,3.06,16.99
2026-05-21T15:33:39,3.06,16.99
2026-05-21T15:33:44,3.47,17.34
2026-05-21T15:33:49,3.47,17.34
2026-05-21T15:33:54,3.87,19.49
2026-05-21T15:33:59,3.87,19.49
2026-05-21T15:34:04,4.28,23.74
2026-05-21T15:34:09,4.28,23.74
2026-05-21T15:34:14,4.58,25.49
2026-05-21T15:34:19,4.58,25.49
2026-05-21T15:34:24,4.94,29.37
2026-05-21T15:34:29,4.94,29.37
2026-05-21T15:34:34,5.66,30.84
2026-05-21T15:34:39,5.66,30.84
2026-05-21T15:34:44,6.15,27.79
2026-05-21T15:34:49,6.15,27.79
2026-05-21T15:34:54,5.98,29.07
2026-05-21T15:34:59,5.98,29.07
2026-05-21T15:35:04,5.91,31.73
2026-05-21T15:35:09,5.91,31.73
2026-05-21T15:35:14,5.69,31.9
2026-05-21T15:35:19,5.69,31.9
2026-05-21T15:35:24,5.45,30.77
2026-05-21T15:35:29,5.45,30.77
2026-05-21T15:35:34,5.64,29.88
2026-05-21T15:35:39,5.64,29.88
2026-05-21T15:35:44,5.86,29.31
2026-05-21T15:35:49,5.86,29.31
2026-05-21T15:35:54,6.04,30.46
2026-05-21T15:35:59,6.04,30.46
2026-05-21T15:36:04,6.29,29.55
2026-05-21T15:36:09,6.29,29.55
2026-05-21T15:36:14,6.23,30.05
2026-05-21T15:36:19,6.23,30.05
2026-05-21T15:36:24,5.89,32.14
2026-05-21T15:36:29,5.89,32.14
2026-05-21T15:36:34,5.82,31.4
2026-05-21T15:36:39,5.82,31.4
2026-05-21T15:36:44,5.75,33.16
2026-05-21T15:36:49,5.75,33.16
2026-05-21T15:36:54,5.56,32.81
2026-05-21T15:36:59,5.56,32.81
2026-05-21T15:37:04,5.85,28.13
2026-05-21T15:37:09,5.85,28.13
2026-05-21T15:37:14,6.17,28.43
2026-05-21T15:37:19,6.17,28.43
2026-05-21T15:37:24,6.45,31.41
2026-05-21T15:37:29,6.45,31.41
2026-05-21T15:37:34,6.51,30.58
2026-05-21T15:37:39,6.51,30.58
2026-05-21T15:37:44,6.09,31.54
2026-05-21T15:37:49,6.09,31.54
2026-05-21T15:37:54,5.52,31.84
2026-05-21T15:37:59,5.52,31.84
2026-05-21T15:38:04,5.59,29.34
2026-05-21T15:38:09,5.59,29.34
2026-05-21T15:38:14,5.85,28.48
2026-05-21T15:38:19,5.85,28.48
2026-05-21T15:38:24,5.41,30.21
2026-05-21T15:38:29,5.41,30.21
2026-05-21T15:38:34,5.65,31.13
2026-05-21T15:38:39,5.65,31.13
2026-05-21T15:38:44,6.25,28.74
2026-05-21T15:38:49,6.25,28.74
2026-05-21T15:38:54,6.16,30.04
2026-05-21T15:38:59,6.16,30.04
2026-05-21T15:39:04,5.99,30.75
2026-05-21T15:39:09,5.99,30.75
2026-05-21T15:39:14,5.58,28.2
2026-05-21T15:39:19,5.58,28.2
2026-05-21T15:39:24,5.42,28.45
2026-05-21T15:39:29,5.42,28.45
2026-05-21T15:39:34,6.16,31.48
2026-05-21T15:39:39,6.16,31.48
2026-05-21T15:39:44,6.21,32.24
2026-05-21T15:39:49,6.21,32.24
2026-05-21T15:39:54,6.06,29.93
2026-05-21T15:39:59,6.06,29.93
2026-05-21T15:40:04,5.97,27.84
2026-05-21T15:40:09,5.97,27.84
2026-05-21T15:40:14,5.74,28.47
2026-05-21T15:40:19,5.74,28.47
2026-05-21T15:40:24,5.92,31.28
2026-05-21T15:40:29,5.92,31.28
2026-05-21T15:40:34,5.73,32.23
2026-05-21T15:40:39,5.73,32.23
2026-05-21T15:40:44,5.5,31.02
2026-05-21T15:40:49,5.5,31.02
2026-05-21T15:40:54,5.83,31.41
2026-05-21T15:40:59,5.83,31.41
2026-05-21T15:41:04,6.21,32.52
2026-05-21T15:41:09,6.21,32.52
2026-05-21T15:41:14,6.29,30.96
2026-05-21T15:41:19,6.29,30.96
2026-05-21T15:41:24,6.01,30.62
2026-05-21T15:41:29,6.01,30.62
2026-05-21T15:41:34,5.67,31.06
2026-05-21T15:41:39,5.67,31.06
2026-05-21T15:41:44,5.64,30.13
2026-05-21T15:41:49,5.64,30.13
2026-05-21T15:41:54,5.84,31.7
2026-05-21T15:41:59,5.84,31.7
2026-05-21T15:42:04,5.85,33.7
2026-05-21T15:42:09,5.85,33.7
2026-05-21T15:42:14,5.73,32.18
2026-05-21T15:42:19,5.73,32.18
2026-05-21T15:42:24,5.86,31.32
2026-05-21T15:42:29,5.86,31.32
2026-05-21T15:42:34,5.66,29.88
2026-05-21T15:42:39,5.66,29.88
2026-05-21T15:42:44,5.63,30.47
2026-05-21T15:42:49,5.63,30.47
2026-05-21T15:42:54,5.61,32.55
2026-05-21T15:42:59,5.61,32.55
2026-05-21T15:43:04,5.75,31.99
2026-05-21T15:43:09,5.75,31.99
2026-05-21T15:43:14,6.03,30.38
2026-05-21T15:43:19,6.03,30.38
2026-05-21T15:43:24,5.81,29.63
2026-05-21T15:43:29,5.81,29.63
2026-05-21T15:43:34,5.64,29.63
2026-05-21T15:43:39,5.64,29.63
2026-05-21T15:43:44,5.69,30.55
2026-05-21T15:43:49,5.69,30.55
2026-05-21T15:43:54,5.64,32.38
2026-05-21T15:43:59,5.64,32.38
2026-05-21T15:44:04,5.45,31.25
2026-05-21T15:44:09,5.45,31.25
2026-05-21T15:44:14,5.42,30.71
2026-05-21T15:44:19,5.42,30.71
2026-05-21T15:44:24,5.51,30.47
2026-05-21T15:44:29,5.51,30.47
2026-05-21T15:44:34,6.1,29.55
2026-05-21T15:44:39,6.1,29.55
2026-05-21T15:44:44,7.1,31.06
2026-05-21T15:44:49,7.1,31.06
2026-05-21T15:44:54,7.8,34.29
2026-05-21T15:44:59,7.8,34.29
2026-05-21T15:45:04,8.09,41.41
2026-05-21T15:45:09,8.09,41.41
2026-05-21T15:45:14,8.64,48.25
2026-05-21T15:45:19,8.64,48.25
2026-05-21T15:45:24,9.77,52.71
2026-05-21T15:45:29,9.77,52.71
2026-05-21T15:45:34,10.56,58.05
2026-05-21T15:45:39,10.56,58.05
2026-05-21T15:45:44,10.75,60.79
2026-05-21T15:45:49,10.75,60.79
2026-05-21T15:45:54,10.53,58.06
2026-05-21T15:45:59,10.53,58.06
2026-05-21T15:46:04,10.23,54.73
2026-05-21T15:46:09,10.23,54.73
2026-05-21T15:46:14,10.33,58.13
2026-05-21T15:46:19,10.33,58.13
2026-05-21T15:46:24,10.41,58.35
2026-05-21T15:46:29,10.41,58.35
2026-05-21T15:46:34,10.45,55.53
2026-05-21T15:46:39,10.45,55.53
2026-05-21T15:46:44,10.89,55.98
2026-05-21T15:46:49,10.89,55.98
2026-05-21T15:46:54,10.77,57.14
2026-05-21T15:46:59,10.77,57.14
2026-05-21T15:47:04,10.42,58.01
2026-05-21T15:47:09,10.42,58.01
2026-05-21T15:47:14,10.38,56.76
2026-05-21T15:47:19,10.38,56.76
2026-05-21T15:47:24,10.45,53.99
2026-05-21T15:47:29,10.45,53.99
2026-05-21T15:47:34,10.6,55.25
2026-05-21T15:47:39,10.6,55.25
2026-05-21T15:47:44,10.32,58.58
2026-05-21T15:47:49,10.32,58.58
2026-05-21T15:47:54,10.72,58.14
2026-05-21T15:47:59,10.72,58.14
2026-05-21T15:48:04,10.65,57.46
2026-05-21T15:48:09,10.65,57.46
2026-05-21T15:48:14,10.13,56.08
2026-05-21T15:48:19,10.13,56.08
2026-05-21T15:48:24,10.42,54.35
2026-05-21T15:48:29,10.42,54.35
2026-05-21T15:48:34,10.52,57.24
2026-05-21T15:48:39,10.52,57.24
2026-05-21T15:48:44,10.65,58.99
2026-05-21T15:48:49,10.65,58.99
2026-05-21T15:48:54,10.53,57.82
2026-05-21T15:48:59,10.53,57.82
2026-05-21T15:49:04,10.38,59.23
2026-05-21T15:49:09,10.38,59.23
2026-05-21T15:49:14,10.52,59.52
2026-05-21T15:49:19,10.52,59.52
2026-05-21T15:49:24,10.06,60.25
2026-05-21T15:49:29,10.06,60.25
2026-05-21T15:49:34,10.37,58.66
2026-05-21T15:49:39,10.37,58.66
2026-05-21T15:49:44,10.63,54.67
2026-05-21T15:49:49,10.63,54.67
2026-05-21T15:49:54,10.32,58.21
2026-05-21T15:49:59,10.32,58.21
2026-05-21T15:50:04,9.97,56.57
2026-05-21T15:50:09,9.97,56.57
2026-05-21T15:50:14,10.05,57.65
2026-05-21T15:50:19,10.05,57.65
2026-05-21T15:50:24,10.52,61.27
2026-05-21T15:50:29,10.52,61.27
2026-05-21T15:50:34,10.43,58.02
2026-05-21T15:50:39,10.43,58.02
2026-05-21T15:50:44,10.33,59.18
2026-05-21T15:50:49,10.33,59.18
2026-05-21T15:50:54,10.41,56.92
2026-05-21T15:50:59,10.41,56.92
2026-05-21T15:51:04,10.34,56.46
2026-05-21T15:51:09,10.34,56.46
2026-05-21T15:51:14,10.3,58.53
2026-05-21T15:51:19,10.3,58.53
2026-05-21T15:51:24,10.66,57.06
2026-05-21T15:51:29,10.66,57.06
2026-05-21T15:51:34,10.47,56.53
2026-05-21T15:51:39,10.47,56.53
2026-05-21T15:51:44,10.2,57.8
2026-05-21T15:51:49,10.2,57.8
2026-05-21T15:51:54,10.22,59.83
2026-05-21T15:51:59,10.22,59.83
2026-05-21T15:52:04,9.94,58.73
2026-05-21T15:52:09,9.94,58.73
2026-05-21T15:52:14,10.34,57.19
2026-05-21T15:52:19,10.34,57.19
2026-05-21T15:52:24,10.64,56.78
2026-05-21T15:52:29,10.64,56.78
2026-05-21T15:52:34,10.36,57.9
2026-05-21T15:52:39,10.36,57.9
2026-05-21T15:52:44,10.28,56.72
2026-05-21T15:52:49,10.28,56.72
2026-05-21T15:52:54,10.17,54.86
2026-05-21T15:52:59,10.17,54.86
2026-05-21T15:53:04,10.08,57.63
2026-05-21T15:53:09,10.08,57.63
2026-05-21T15:53:14,10.22,56.37
2026-05-21T15:53:19,10.22,56.37
2026-05-21T15:53:24,10.2,58.09
2026-05-21T15:53:29,10.2,58.09
2026-05-21T15:53:34,10.29,59.54
2026-05-21T15:53:39,10.29,59.54
2026-05-21T15:53:44,10.34,56.82
2026-05-21T15:53:49,10.34,56.82
2026-05-21T15:53:54,10.21,56.97
2026-05-21T15:53:59,10.21,56.97
2026-05-21T15:54:04,10.13,56.69
2026-05-21T15:54:09,10.13,56.69
2026-05-21T15:54:14,10.19,57.59
2026-05-21T15:54:19,10.19,57.59
2026-05-21T15:54:24,10.37,57.05
2026-05-21T15:54:29,10.37,57.05
2026-05-21T15:54:34,10.59,55.64
2026-05-21T15:54:39,10.59,55.64
2026-05-21T15:54:44,10.96,57.54
2026-05-21T15:54:49,10.96,57.54
2026-05-21T15:54:54,10.47,58.98
2026-05-21T15:54:59,10.47,58.98
2026-05-21T15:55:04,10.57,56.44
2026-05-21T15:55:09,10.57,56.44
2026-05-21T15:55:14,10.53,55.37
2026-05-21T15:55:19,10.53,55.37
2026-05-21T15:55:24,10.17,58.93
2026-05-21T15:55:29,10.17,58.93
2026-05-21T15:55:34,10.68,61.22
2026-05-21T15:55:39,10.68,61.22
2026-05-21T15:55:44,11.07,65.79
2026-05-21T15:55:49,11.07,65.79
2026-05-21T15:55:54,12.11,69.45
2026-05-21T15:55:59,12.11,69.45
2026-05-21T15:56:04,12.49,68.22
2026-05-21T15:56:09,12.49,68.22
2026-05-21T15:56:14,12.84,74.21
2026-05-21T15:56:19,12.84,74.21
2026-05-21T15:56:24,14.16,80.88
2026-05-21T15:56:29,14.16,80.88
2026-05-21T15:56:34,14.7,80.69
2026-05-21T15:56:39,14.7,80.69
2026-05-21T15:56:44,14.67,78.4
2026-05-21T15:56:49,14.67,78.4
2026-05-21T15:56:54,14.76,81.96
2026-05-21T15:56:59,14.76,81.96
2026-05-21T15:57:04,15.07,84.49
2026-05-21T15:57:09,15.07,84.49
2026-05-21T15:57:14,14.78,80.82
2026-05-21T15:57:19,14.78,80.82
2026-05-21T15:57:24,14.97,83.75
2026-05-21T15:57:29,14.97,83.75
2026-05-21T15:57:34,15.57,83.07
2026-05-21T15:57:39,15.57,83.07
2026-05-21T15:57:44,15.02,79.98
2026-05-21T15:57:49,15.02,79.98
2026-05-21T15:57:54,14.96,85.04
2026-05-21T15:57:59,14.96,85.04
2026-05-21T15:58:04,15.07,82.43
2026-05-21T15:58:09,15.07,82.43
2026-05-21T15:58:14,15.16,79.25
2026-05-21T15:58:19,15.16,79.25
2026-05-21T15:58:24,14.59,82.58
2026-05-21T15:58:29,14.59,82.58
2026-05-21T15:58:34,14.07,82.21
2026-05-21T15:58:39,14.07,82.21
2026-05-21T15:58:44,15.09,82.97
2026-05-21T15:58:49,15.09,82.97
2026-05-21T15:58:54,14.91,82.43
2026-05-21T15:58:59,14.91,82.43
2026-05-21T15:59:04,14.51,81.15
2026-05-21T15:59:09,14.51,81.15
2026-05-21T15:59:14,14.9,80.42
2026-05-21T15:59:19,14.9,80.42
2026-05-21T15:59:24,14.16,83.62
2026-05-21T15:59:29,14.16,83.62
2026-05-21T15:59:34,14.26,87.19
2026-05-21T15:59:39,14.26,87.19
2026-05-21T15:59:44,14.84,86.29
2026-05-21T15:59:49,14.84,86.29
2026-05-21T15:59:54,14.86,83.08
2026-05-21T15:59:59,14.86,83.08
2026-05-21T16:00:04,21.92,81.8
2026-05-21T16:00:09,21.92,81.8
2026-05-21T16:00:14,21.6,80.3
2026-05-21T16:00:19,21.6,80.3
2026-05-21T16:00:24,14.51,81.21
2026-05-21T16:00:29,14.51,81.21
2026-05-21T16:00:34,14.95,83.72
2026-05-21T16:00:39,14.95,83.72
2026-05-21T16:00:44,15.22,80.35
2026-05-21T16:00:49,15.22,80.35
2026-05-21T16:00:54,14.74,79.4
2026-05-21T16:00:59,14.74,79.4
2026-05-21T16:01:04,14.63,83.04
2026-05-21T16:01:09,14.63,83.04
2026-05-21T16:01:14,15.07,86.34
2026-05-21T16:01:19,15.07,86.34
2026-05-21T16:01:24,15.15,81.97
2026-05-21T16:01:29,15.15,81.97
2026-05-21T16:01:34,21.51,79.61
2026-05-21T16:01:39,21.51,79.61
2026-05-21T16:01:44,20.96,83.59
2026-05-21T16:01:49,20.96,83.59
2026-05-21T16:01:54,14.58,83.65
2026-05-21T16:01:59,14.58,83.65
2026-05-21T16:02:04,14.63,84.85
2026-05-21T16:02:09,14.63,84.85
2026-05-21T16:02:14,14.72,85.22
2026-05-21T16:02:19,14.72,85.22
2026-05-21T16:02:24,14.9,83.51
2026-05-21T16:02:29,14.9,83.51
2026-05-21T16:02:34,14.69,85.17
2026-05-21T16:02:39,14.69,85.17
2026-05-21T16:02:44,14.9,85.39
2026-05-21T16:02:49,14.9,85.39
2026-05-21T16:02:54,14.9,82.97
2026-05-21T16:02:59,14.9,82.97
2026-05-21T16:03:04,15.05,82.68
2026-05-21T16:03:09,15.05,82.68
2026-05-21T16:03:14,14.84,83.64
2026-05-21T16:03:19,14.84,83.64
2026-05-21T16:03:24,14.99,79.98
2026-05-21T16:03:29,14.99,79.98
2026-05-21T16:03:34,15.01,82.73
2026-05-21T16:03:39,15.01,82.73
2026-05-21T16:03:44,14.85,85.34
2026-05-21T16:03:49,14.85,85.34
2026-05-21T16:03:54,15.04,78.88
2026-05-21T16:03:59,15.04,78.88
2026-05-21T16:04:04,14.8,79.3
2026-05-21T16:04:09,14.8,79.3
2026-05-21T16:04:14,15.86,81.33
2026-05-21T16:04:19,15.86,81.33
2026-05-21T16:04:24,16.11,78.71
2026-05-21T16:04:29,16.11,78.71
2026-05-21T16:04:34,14.32,79.39
2026-05-21T16:04:39,14.32,79.39
2026-05-21T16:04:44,14.79,80.75
2026-05-21T16:04:49,14.79,80.75
2026-05-21T16:04:54,15.7,80.27
2026-05-21T16:04:59,15.7,80.27
2026-05-21T16:05:04,15.64,82.47
2026-05-21T16:05:09,15.64,82.47
2026-05-21T16:05:14,15.92,83.13
2026-05-21T16:05:19,15.92,83.13
2026-05-21T16:05:24,15.16,81.26
2026-05-21T16:05:29,15.16,81.26
2026-05-21T16:05:34,14.69,82.14
2026-05-21T16:05:39,14.69,82.14
2026-05-21T16:05:44,14.77,79.98
2026-05-21T16:05:49,14.77,79.98
2026-05-21T16:05:54,14.62,78.81
2026-05-21T16:05:59,14.62,78.81
2026-05-21T16:06:04,14.82,82.2
2026-05-21T16:06:09,14.82,82.2
2026-05-21T16:06:14,14.94,86.99
2026-05-21T16:06:19,14.94,86.99
2026-05-21T16:06:24,15.13,86.43
2026-05-21T16:06:29,15.13,86.43
2026-05-21T16:06:34,14.73,82.84
2026-05-21T16:06:39,14.73,82.84
2026-05-21T16:06:44,13.74,80.95
2026-05-21T16:06:49,13.74,80.95
2026-05-21T16:06:54,13.34,76.12
2026-05-21T16:06:59,13.34,76.12
2026-05-21T16:07:04,12.59,66.87
2026-05-21T16:07:09,12.59,66.87
2026-05-21T16:07:14,11.29,58.47
2026-05-21T16:07:19,11.29,58.47
2026-05-21T16:07:24,9.88,52.79
2026-05-21T16:07:29,9.88,52.79
2026-05-21T16:07:34,8.17,47.79
2026-05-21T16:07:39,8.17,47.79
2026-05-21T16:07:44,7.05,39.03
2026-05-21T16:07:49,7.05,39.03
2026-05-21T16:07:54,6.34,29.05
2026-05-21T16:07:59,6.34,29.05
2026-05-21T16:08:04,5.42,25.93
2026-05-21T16:08:09,5.42,25.93
2026-05-21T16:08:14,4.24,19.88
2026-05-21T16:08:19,4.24,19.88
2026-05-21T16:08:24,2.51,12.83
2026-05-21T16:08:29,2.51,12.83
2026-05-21T16:08:34,1.0,6.57
2026-05-21T16:08:39,1.0,6.57
2026-05-21T16:08:44,0.4,1.7
2026-05-21T16:08:49,0.4,1.7
2026-05-21T16:08:54,0.56,2.07
2026-05-21T16:08:59,0.56,2.07
2026-05-21T16:09:04,0.78,2.88
2026-05-21T16:09:09,0.52,1.9
