timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-23T09:43:33,0.46,1.02
2026-05-23T09:43:38,0.61,0.73
2026-05-23T09:43:43,0.61,0.73
2026-05-23T09:43:48,0.48,1.11
2026-05-23T09:43:53,0.48,1.11
2026-05-23T09:43:58,0.61,2.13
2026-05-23T09:44:03,0.61,2.13
2026-05-23T09:44:08,1.43,4.49
2026-05-23T09:44:13,1.43,4.49
2026-05-23T09:44:18,1.46,5.44
2026-05-23T09:44:23,1.46,5.44
2026-05-23T09:44:28,1.07,5.84
2026-05-23T09:44:33,1.07,5.84
2026-05-23T09:44:38,1.48,8.07
2026-05-23T09:44:43,1.48,8.07
2026-05-23T09:44:48,1.76,11.16
2026-05-23T09:44:53,1.76,11.16
2026-05-23T09:44:58,1.84,12.12
2026-05-23T09:45:03,1.84,12.12
2026-05-23T09:45:08,2.43,13.31
2026-05-23T09:45:13,2.43,13.31
2026-05-23T09:45:18,2.95,16.41
2026-05-23T09:45:23,2.95,16.41
2026-05-23T09:45:28,3.12,16.47
2026-05-23T09:45:33,3.12,16.47
2026-05-23T09:45:38,3.37,16.54
2026-05-23T09:45:43,3.37,16.54
2026-05-23T09:45:48,3.4,19.63
2026-05-23T09:45:53,3.4,19.63
2026-05-23T09:45:58,4.19,22.9
2026-05-23T09:46:03,4.19,22.9
2026-05-23T09:46:08,4.45,23.61
2026-05-23T09:46:13,4.45,23.61
2026-05-23T09:46:18,4.36,25.68
2026-05-23T09:46:23,4.36,25.68
2026-05-23T09:46:28,5.08,26.5
2026-05-23T09:46:33,5.08,26.5
2026-05-23T09:46:38,5.52,26.19
2026-05-23T09:46:43,5.52,26.19
2026-05-23T09:46:48,5.91,31.3
2026-05-23T09:46:53,5.91,31.3
2026-05-23T09:46:58,6.13,33.99
2026-05-23T09:47:03,6.13,33.99
2026-05-23T09:47:08,5.94,31.75
2026-05-23T09:47:13,5.94,31.75
2026-05-23T09:47:18,6.1,35.03
2026-05-23T09:47:23,6.1,35.03
2026-05-23T09:47:28,7.23,39.66
2026-05-23T09:47:33,7.23,39.66
2026-05-23T09:47:38,7.5,39.23
2026-05-23T09:47:43,7.5,39.23
2026-05-23T09:47:48,7.34,39.72
2026-05-23T09:47:53,7.34,39.72
2026-05-23T09:47:58,7.48,44.56
2026-05-23T09:48:03,7.48,44.56
2026-05-23T09:48:08,7.92,47.52
2026-05-23T09:48:13,7.92,47.52
2026-05-23T09:48:18,8.25,46.02
2026-05-23T09:48:23,8.25,46.02
2026-05-23T09:48:28,8.66,49.8
2026-05-23T09:48:33,8.66,49.8
2026-05-23T09:48:38,9.26,53.3
2026-05-23T09:48:43,9.26,53.3
2026-05-23T09:48:48,9.2,53.61
2026-05-23T09:48:53,9.2,53.61
2026-05-23T09:48:58,9.49,55.41
2026-05-23T09:49:03,9.49,55.41
2026-05-23T09:49:08,10.56,52.98
2026-05-23T09:49:13,10.56,52.98
2026-05-23T09:49:18,10.45,52.71
2026-05-23T09:49:23,10.45,52.71
2026-05-23T09:49:28,9.86,57.36
2026-05-23T09:49:33,9.86,57.36
2026-05-23T09:49:38,10.28,55.66
2026-05-23T09:49:43,10.28,55.66
2026-05-23T09:49:48,10.1,54.49
2026-05-23T09:49:53,10.1,54.49
2026-05-23T09:49:58,9.52,55.22
2026-05-23T09:50:03,9.52,55.22
2026-05-23T09:50:08,9.9,53.24
2026-05-23T09:50:13,9.9,53.24
2026-05-23T09:50:18,10.43,53.14
2026-05-23T09:50:23,10.43,53.14
2026-05-23T09:50:28,10.27,56.42
2026-05-23T09:50:33,10.27,56.42
2026-05-23T09:50:38,10.2,56.13
2026-05-23T09:50:43,10.2,56.13
2026-05-23T09:50:48,9.95,58.12
2026-05-23T09:50:53,9.95,58.12
2026-05-23T09:50:58,9.85,58.77
2026-05-23T09:51:03,9.85,58.77
2026-05-23T09:51:08,10.5,54.71
2026-05-23T09:51:13,10.5,54.71
2026-05-23T09:51:18,10.14,57.93
2026-05-23T09:51:23,10.14,57.93
2026-05-23T09:51:28,9.83,58.12
2026-05-23T09:51:33,9.83,58.12
2026-05-23T09:51:38,9.92,57.71
2026-05-23T09:51:43,9.92,57.71
2026-05-23T09:51:48,9.96,58.68
2026-05-23T09:51:53,9.96,58.68
2026-05-23T09:51:58,10.1,57.42
2026-05-23T09:52:03,10.1,57.42
2026-05-23T09:52:08,9.97,54.97
2026-05-23T09:52:13,9.97,54.97
2026-05-23T09:52:18,10.28,54.03
2026-05-23T09:52:23,10.28,54.03
2026-05-23T09:52:28,9.95,56.11
2026-05-23T09:52:33,9.95,56.11
2026-05-23T09:52:38,9.54,58.26
2026-05-23T09:52:43,9.54,58.26
2026-05-23T09:52:48,9.69,58.36
2026-05-23T09:52:53,9.69,58.36
2026-05-23T09:52:58,9.65,59.5
2026-05-23T09:53:03,9.65,59.5
