timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-25T02:31:20,0.58,0.69
2026-05-25T02:31:25,0.69,0.84
2026-05-25T02:31:30,0.69,0.84
2026-05-25T02:31:35,0.39,1.21
2026-05-25T02:31:40,0.39,1.21
2026-05-25T02:31:45,0.59,2.96
2026-05-25T02:31:50,0.59,2.96
2026-05-25T02:31:55,0.79,4.25
2026-05-25T02:32:00,0.79,4.25
2026-05-25T02:32:05,0.78,5.09
2026-05-25T02:32:10,0.78,5.09
2026-05-25T02:32:15,8.37,11.37
2026-05-25T02:32:20,8.37,11.37
2026-05-25T02:32:25,8.96,14.13
2026-05-25T02:32:30,8.96,14.13
2026-05-25T02:32:35,2.09,10.95
2026-05-25T02:32:40,2.09,10.95
2026-05-25T02:32:45,2.0,10.3
2026-05-25T02:32:50,2.0,10.3
2026-05-25T02:32:55,2.19,12.51
2026-05-25T02:33:00,2.19,12.51
2026-05-25T02:33:05,2.91,18.65
2026-05-25T02:33:10,2.91,18.65
2026-05-25T02:33:15,10.9,20.67
2026-05-25T02:33:20,10.9,20.67
2026-05-25T02:33:25,11.07,19.17
2026-05-25T02:33:30,11.07,19.17
2026-05-25T02:33:35,3.55,19.5
2026-05-25T02:33:40,3.55,19.5
2026-05-25T02:33:45,3.67,21.45
2026-05-25T02:33:50,3.67,21.45
2026-05-25T02:33:55,4.01,22.07
2026-05-25T02:34:00,4.01,22.07
2026-05-25T02:34:05,4.44,23.19
2026-05-25T02:34:10,4.44,23.19
2026-05-25T02:34:15,4.56,28.59
2026-05-25T02:34:20,4.56,28.59
2026-05-25T02:34:25,4.72,30.31
2026-05-25T02:34:30,4.72,30.31
2026-05-25T02:34:35,5.17,30.34
2026-05-25T02:34:40,5.17,30.34
2026-05-25T02:34:45,15.09,56.86
2026-05-25T02:34:50,15.09,56.86
2026-05-25T02:34:55,39.49,147.4
2026-05-25T02:35:00,39.49,147.4
2026-05-25T02:35:05,44.39,220.33
2026-05-25T02:35:10,44.39,220.33
2026-05-25T02:35:15,32.92,222.45
2026-05-25T02:35:20,32.92,222.45
2026-05-25T02:35:25,33.46,222.07
2026-05-25T02:35:30,33.46,222.07
2026-05-25T02:35:35,35.04,233.8
2026-05-25T02:35:40,35.04,233.8
2026-05-25T02:35:45,34.73,236.4
2026-05-25T02:35:50,34.73,236.4
2026-05-25T02:35:55,36.34,235.02
2026-05-25T02:36:00,36.34,235.02
2026-05-25T02:36:05,37.31,237.21
2026-05-25T02:36:10,37.31,237.21
2026-05-25T02:36:15,36.54,234.02
2026-05-25T02:36:20,36.54,234.02
2026-05-25T02:36:25,34.49,236.95
2026-05-25T02:36:30,34.49,236.95
2026-05-25T02:36:35,40.94,237.88
2026-05-25T02:36:40,40.94,237.88
2026-05-25T02:36:45,41.38,227.45
2026-05-25T02:36:50,41.38,227.45
2026-05-25T02:36:55,33.84,228.49
2026-05-25T02:37:00,33.84,228.49
2026-05-25T02:37:05,32.62,236.55
2026-05-25T02:37:10,32.62,236.55
2026-05-25T02:37:15,23.06,154.05
2026-05-25T02:37:20,23.06,154.05
2026-05-25T02:37:25,10.45,51.83
2026-05-25T02:37:30,10.45,51.83
2026-05-25T02:37:35,6.35,36.87
2026-05-25T02:37:40,6.35,36.87
2026-05-25T02:37:45,6.05,37.34
2026-05-25T02:37:50,6.05,37.34
2026-05-25T02:37:55,5.69,34.25
2026-05-25T02:38:00,5.69,34.25
2026-05-25T02:38:05,6.43,35.69
2026-05-25T02:38:10,6.43,35.69
2026-05-25T02:38:15,14.11,35.48
2026-05-25T02:38:20,14.11,35.48
2026-05-25T02:38:25,14.5,36.11
2026-05-25T02:38:30,14.5,36.11
2026-05-25T02:38:35,6.95,36.63
2026-05-25T02:38:40,6.95,36.63
2026-05-25T02:38:45,5.64,34.35
2026-05-25T02:38:50,5.64,34.35
2026-05-25T02:38:55,5.43,34.72
2026-05-25T02:39:00,5.43,34.72
2026-05-25T02:39:05,12.42,37.72
2026-05-25T02:39:10,12.42,37.72
2026-05-25T02:39:15,12.27,38.96
2026-05-25T02:39:20,12.27,38.96
2026-05-25T02:39:25,5.71,35.37
2026-05-25T02:39:30,5.71,35.37
2026-05-25T02:39:35,5.74,32.91
2026-05-25T02:39:40,5.74,32.91
2026-05-25T02:39:45,5.99,35.0
2026-05-25T02:39:50,5.99,35.0
2026-05-25T02:39:55,5.95,37.72
2026-05-25T02:40:00,5.95,37.72
2026-05-25T02:40:05,5.33,36.41
2026-05-25T02:40:10,5.33,36.41
2026-05-25T02:40:15,5.2,32.1
2026-05-25T02:40:20,5.2,32.1
2026-05-25T02:40:25,4.6,25.21
2026-05-25T02:40:30,4.6,25.21
2026-05-25T02:40:35,2.72,12.37
2026-05-25T02:40:40,2.72,12.37
2026-05-25T02:40:45,0.7,2.29
2026-05-25T02:40:50,0.7,2.29
2026-05-25T02:40:55,0.21,0.78
2026-05-25T02:41:00,0.21,0.78
2026-05-25T02:41:05,0.51,1.93
2026-05-25T02:41:10,0.51,1.93
2026-05-25T02:41:15,0.55,2.03
2026-05-25T02:41:20,0.43,1.6
