timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-25T03:00:55,7.1,1559,7941,0,3,99.98,8,5.9,160.1
2026-05-25T03:01:00,4.0,1536,7941,0,8,99.98,3,2.4,158.8
2026-05-25T03:01:05,4.8,1520,7941,0,8,99.98,9,2.8,160.9
2026-05-25T03:01:11,5.0,1512,7941,0,4,99.98,4,3.5,160.7
2026-05-25T03:01:16,4.6,1502,7941,0,4,99.98,11,2.8,161.3
2026-05-25T03:01:21,5.9,1510,7941,0,8,99.98,6,4.3,162.7
2026-05-25T03:01:26,4.8,1513,7941,0,8,99.98,13,2.9,163.4
2026-05-25T03:01:31,8.7,1513,7941,1,7,99.98,9,7.3,163.6
2026-05-25T03:01:37,6.5,1516,7941,0,8,99.98,9,4.5,164.7
2026-05-25T03:01:42,6.1,1518,7941,0,8,99.98,12,4.3,165.9
2026-05-25T03:01:47,8.5,1524,7941,0,8,99.98,15,6.6,166.5
2026-05-25T03:01:52,10.8,1526,7941,0,8,99.98,10,9.6,167.6
2026-05-25T03:01:58,8.5,1526,7941,0,8,99.98,16,6.7,170.6
2026-05-25T03:02:03,6.1,1526,7941,0,8,99.98,11,4.4,170.7
2026-05-25T03:02:08,10.1,1522,7941,0,8,99.98,19,8.1,170.7
2026-05-25T03:02:13,12.4,1530,7941,0,8,99.98,13,11.1,175.5
2026-05-25T03:02:18,9.8,1528,7941,0,8,99.98,20,7.2,179.0
2026-05-25T03:02:24,14.3,1527,7941,1,8,99.98,20,12.7,179.0
2026-05-25T03:02:29,11.6,1529,7941,0,8,99.98,17,9.8,179.0
2026-05-25T03:02:34,14.8,1531,7941,0,8,99.98,22,12.9,179.8
2026-05-25T03:02:39,11.6,1403,7941,0,8,99.98,23,9.6,179.9
2026-05-25T03:02:45,13.4,1416,7941,0,8,99.98,21,11.2,180.4
2026-05-25T03:02:50,15.3,1417,7941,0,7,99.98,21,13.7,186.9
2026-05-25T03:02:55,15.2,1430,7941,0,8,99.98,21,13.1,193.1
2026-05-25T03:03:01,11.4,1426,7941,0,8,99.98,19,9.6,193.1
2026-05-25T03:03:06,16.3,1427,7941,0,9,99.98,19,14.7,193.3
2026-05-25T03:03:11,15.7,1430,7941,0,8,99.98,17,13.9,193.4
2026-05-25T03:03:16,15.8,1431,7941,0,8,99.98,28,14.1,193.9
2026-05-25T03:03:22,18.3,1436,7941,0,8,99.98,26,16.6,195.4
2026-05-25T03:03:27,15.4,1428,7941,0,8,99.98,28,13.4,196.1
2026-05-25T03:03:32,15.7,1434,7941,0,8,99.98,23,14.1,191.6
2026-05-25T03:03:37,18.9,1424,7941,0,8,99.98,35,17.1,191.6
2026-05-25T03:03:43,19.8,1426,7941,0,11,99.98,25,17.7,191.6
2026-05-25T03:03:48,19.2,1432,7941,0,11,99.98,27,17.4,191.8
2026-05-25T03:03:53,47.6,1427,7941,0,8,99.98,44,47.2,191.9
2026-05-25T03:03:58,99.8,1431,7941,0,8,99.98,146,100.0,194.7
2026-05-25T03:04:04,99.8,1436,7941,2,6,99.98,153,99.6,197.0
2026-05-25T03:04:09,99.9,1412,7941,0,8,99.98,150,99.7,197.9
2026-05-25T03:04:15,99.9,1405,7941,0,8,99.98,168,99.2,201.7
2026-05-25T03:04:20,99.9,1402,7941,0,8,99.98,142,101.1,203.8
2026-05-25T03:04:25,100.0,1406,7941,0,8,99.98,159,99.9,203.8
2026-05-25T03:04:31,100.0,1413,7941,0,9,99.98,145,101.6,205.2
2026-05-25T03:04:36,99.9,1415,7941,0,9,99.98,152,100.5,205.2
2026-05-25T03:04:42,100.0,1432,7941,0,10,99.98,158,101.8,214.9
2026-05-25T03:04:47,100.0,1427,7941,0,10,99.98,149,101.0,214.9
2026-05-25T03:04:52,99.9,1433,7941,0,11,99.98,132,102.6,216.8
2026-05-25T03:04:58,99.9,1434,7941,1,10,99.98,176,98.8,226.8
2026-05-25T03:05:03,99.5,1444,7941,0,10,99.98,143,98.1,231.4
2026-05-25T03:05:09,99.7,1440,7941,0,11,99.98,133,99.7,231.8
2026-05-25T03:05:14,99.9,1440,7941,0,11,99.98,155,100.8,231.9
2026-05-25T03:05:19,100.0,1439,7941,0,11,99.98,151,99.7,231.9
2026-05-25T03:05:25,99.9,1441,7941,0,11,99.98,165,99.5,232.1
2026-05-25T03:05:30,99.9,1444,7941,1,10,99.98,151,100.4,232.2
2026-05-25T03:05:36,99.9,1443,7941,0,11,99.98,149,100.6,232.6
2026-05-25T03:05:41,100.0,1452,7941,0,11,99.98,144,102.0,232.6
2026-05-25T03:05:46,99.9,1454,7941,0,11,99.98,159,101.4,232.6
2026-05-25T03:05:52,99.8,1457,7941,0,11,99.98,147,100.0,232.6
2026-05-25T03:05:57,99.9,1453,7941,0,11,99.98,171,99.1,232.7
2026-05-25T03:06:03,99.7,1462,7941,1,10,99.98,156,100.3,232.8
2026-05-25T03:06:08,99.9,1448,7941,0,11,99.98,147,98.3,232.8
2026-05-25T03:06:13,100.0,1449,7941,0,11,99.98,128,101.6,232.8
2026-05-25T03:06:19,73.4,1448,7941,1,10,99.98,136,70.5,232.8
2026-05-25T03:06:24,13.4,1451,7941,0,11,99.98,40,11.0,232.8
2026-05-25T03:06:29,23.8,1450,7941,0,10,99.98,40,22.2,232.8
2026-05-25T03:06:35,24.2,1448,7941,0,10,99.98,38,22.3,232.8
2026-05-25T03:06:40,19.3,1452,7941,0,11,99.98,38,17.4,232.8
2026-05-25T03:06:45,21.0,1435,7941,0,8,99.98,35,18.6,232.8
2026-05-25T03:06:50,18.0,1389,7941,0,8,99.98,20,16.4,169.7
2026-05-25T03:06:56,22.0,1379,7941,0,8,99.98,30,20.0,173.9
2026-05-25T03:07:01,18.1,1385,7941,0,9,99.98,31,16.2,175.9
2026-05-25T03:07:06,23.4,1392,7941,1,8,99.98,40,21.1,181.7
2026-05-25T03:07:11,20.7,1389,7941,0,8,99.98,20,18.9,181.7
2026-05-25T03:07:17,20.7,1387,7941,0,8,99.98,34,18.6,182.4
2026-05-25T03:07:22,19.8,1402,7941,0,8,99.98,25,17.9,188.4
2026-05-25T03:07:27,21.3,1400,7941,0,8,99.98,35,19.2,196.4
2026-05-25T03:07:32,17.8,1402,7941,0,8,99.98,26,15.8,197.0
2026-05-25T03:07:38,24.4,1401,7941,0,9,99.98,29,22.4,197.1
2026-05-25T03:07:43,20.2,1413,7941,0,11,99.98,29,18.4,198.4
2026-05-25T03:07:48,21.7,1414,7941,0,11,99.98,34,19.6,199.8
2026-05-25T03:07:53,19.4,1407,7941,0,8,99.98,24,17.5,200.9
2026-05-25T03:07:59,23.3,1415,7941,0,9,99.98,40,21.4,200.9
2026-05-25T03:08:04,22.0,1412,7941,0,9,99.98,40,19.8,200.9
2026-05-25T03:08:09,20.6,1408,7941,0,9,99.98,29,18.1,200.9
2026-05-25T03:08:14,22.6,1408,7941,0,9,99.98,44,20.8,200.9
2026-05-25T03:08:20,21.2,1400,7941,0,11,99.98,25,18.8,201.1
2026-05-25T03:08:25,24.7,1398,7941,0,11,99.98,36,22.7,201.2
2026-05-25T03:08:30,17.6,1387,7941,0,9,99.98,31,15.9,201.2
2026-05-25T03:08:36,22.9,1375,7941,0,8,99.98,26,20.5,201.4
2026-05-25T03:08:41,19.1,1386,7941,0,9,99.98,36,17.4,201.4
2026-05-25T03:08:46,19.6,1389,7941,0,9,99.98,33,17.3,201.4
2026-05-25T03:08:51,25.1,1393,7941,0,8,99.98,31,23.6,201.4
2026-05-25T03:08:57,22.3,1391,7941,0,8,99.98,45,20.2,201.4
2026-05-25T03:09:02,23.6,1395,7941,0,9,99.98,28,21.6,201.4
2026-05-25T03:09:07,20.1,1395,7941,0,9,99.98,31,18.6,201.4
2026-05-25T03:09:13,21.4,1396,7941,0,10,99.98,33,19.4,201.4
2026-05-25T03:09:18,16.8,1405,7941,0,10,99.98,25,14.8,201.4
2026-05-25T03:09:23,13.7,1395,7941,0,8,99.98,22,12.1,201.5
2026-05-25T03:09:28,12.0,1397,7941,0,8,99.98,16,10.2,201.5
2026-05-25T03:09:34,9.9,1387,7941,0,8,99.98,19,8.0,201.5
2026-05-25T03:09:39,5.2,1397,7941,0,8,99.98,15,3.1,201.6
2026-05-25T03:09:44,3.2,1398,7941,0,8,99.98,9,1.4,201.6
2026-05-25T03:09:49,1.6,1386,7941,0,4,99.98,3,0.1,201.6
2026-05-25T03:09:55,2.1,1372,7941,0,1,99.98,7,0.1,201.6
2026-05-25T03:10:00,1.8,1367,7941,0,1,99.98,1,0.1,201.6
2026-05-25T03:10:05,2.5,1365,7941,0,1,99.98,7,0.2,201.8
2026-05-25T03:10:10,2.3,1375,7941,0,1,99.98,1,0.1,201.8
2026-05-25T03:10:16,2.7,1374,7941,0,1,99.98,6,0.1,201.8
2026-05-25T03:10:21,2.0,1370,7941,0,1,99.98,1,0.1,201.8
2026-05-25T03:10:26,2.1,1371,7941,0,1,99.98,6,0.1,201.8
2026-05-25T03:10:31,1.5,1369,7941,0,1,99.98,1,0.1,201.8
2026-05-25T03:10:37,1.9,1372,7941,0,1,99.98,6,0.1,201.8
2026-05-25T03:10:42,1.5,1379,7941,0,1,99.98,1,0.1,201.8
2026-05-25T03:10:47,1.8,1378,7941,0,1,99.98,6,0.1,201.8
2026-05-25T03:10:52,1.5,1380,7941,0,1,99.98,1,0.1,201.8
