timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-22T13:52:35,0.09,0.13
2026-05-22T13:52:40,0.09,0.13
2026-05-22T13:52:45,0.19,0.66
2026-05-22T13:52:50,0.19,0.66
2026-05-22T13:52:55,0.53,1.55
2026-05-22T13:53:00,0.53,1.55
2026-05-22T13:53:05,1.45,5.6
2026-05-22T13:53:10,1.45,5.6
2026-05-22T13:53:15,2.54,13.51
2026-05-22T13:53:20,2.54,13.51
2026-05-22T13:53:25,3.51,21.51
2026-05-22T13:53:30,3.51,21.51
2026-05-22T13:53:35,4.8,27.53
2026-05-22T13:53:40,4.8,27.53
2026-05-22T13:53:45,5.62,33.33
2026-05-22T13:53:50,5.62,33.33
2026-05-22T13:53:55,6.63,39.76
2026-05-22T13:54:00,6.63,39.76
2026-05-22T13:54:05,8.01,48.2
2026-05-22T13:54:10,8.01,48.2
2026-05-22T13:54:15,9.09,55.43
2026-05-22T13:54:20,9.09,55.43
2026-05-22T13:54:25,10.09,59.28
2026-05-22T13:54:30,10.09,59.28
2026-05-22T13:54:35,12.15,65.89
2026-05-22T13:54:40,12.15,65.89
2026-05-22T13:54:45,20.17,70.85
2026-05-22T13:54:50,20.17,70.85
2026-05-22T13:54:55,20.71,74.94
2026-05-22T13:55:00,20.71,74.94
2026-05-22T13:55:05,14.75,80.67
2026-05-22T13:55:10,14.75,80.67
2026-05-22T13:55:15,13.69,80.9
2026-05-22T13:55:20,13.69,80.9
2026-05-22T13:55:25,13.77,81.68
2026-05-22T13:55:30,13.77,81.68
2026-05-22T13:55:35,14.9,83.59
2026-05-22T13:55:40,14.9,83.59
2026-05-22T13:55:45,14.89,84.45
2026-05-22T13:55:50,14.89,84.45
2026-05-22T13:55:55,14.88,82.09
2026-05-22T13:56:00,14.88,82.09
2026-05-22T13:56:05,14.69,80.37
2026-05-22T13:56:10,14.69,80.37
2026-05-22T13:56:15,14.68,87.61
2026-05-22T13:56:20,14.68,87.61
2026-05-22T13:56:25,14.55,86.36
2026-05-22T13:56:30,14.55,86.36
2026-05-22T13:56:35,14.77,81.7
2026-05-22T13:56:40,14.77,81.7
2026-05-22T13:56:45,14.7,83.7
2026-05-22T13:56:50,14.7,83.7
2026-05-22T13:56:55,14.2,84.95
2026-05-22T13:57:00,14.2,84.95
2026-05-22T13:57:05,14.74,85.83
2026-05-22T13:57:10,14.74,85.83
2026-05-22T13:57:15,15.03,84.8
2026-05-22T13:57:20,15.03,84.8
2026-05-22T13:57:25,14.44,84.89
2026-05-22T13:57:30,14.44,84.89
2026-05-22T13:57:35,14.29,83.86
2026-05-22T13:57:40,14.29,83.86
2026-05-22T13:57:45,14.88,83.6
2026-05-22T13:57:50,14.88,83.6
2026-05-22T13:57:55,14.28,82.79
2026-05-22T13:58:00,14.28,82.79
2026-05-22T13:58:05,14.65,79.39
2026-05-22T13:58:10,14.65,79.39
2026-05-22T13:58:15,15.96,84.79
2026-05-22T13:58:20,15.96,84.79
2026-05-22T13:58:25,16.99,93.63
2026-05-22T13:58:30,16.99,93.63
2026-05-22T13:58:35,17.81,100.87
2026-05-22T13:58:40,17.81,100.87
2026-05-22T13:58:45,18.59,108.99
2026-05-22T13:58:50,18.59,108.99
2026-05-22T13:58:55,19.91,112.06
2026-05-22T13:59:00,19.91,112.06
2026-05-22T13:59:05,20.6,111.2
2026-05-22T13:59:10,20.6,111.2
2026-05-22T13:59:15,20.36,113.36
2026-05-22T13:59:20,20.36,113.36
2026-05-22T13:59:25,20.0,116.82
2026-05-22T13:59:30,20.0,116.82
2026-05-22T13:59:35,19.36,120.2
2026-05-22T13:59:40,19.36,120.2
2026-05-22T13:59:45,18.12,114.87
2026-05-22T13:59:50,18.12,114.87
2026-05-22T13:59:55,17.71,109.46
2026-05-22T14:00:00,17.71,109.46
2026-05-22T14:00:05,18.36,108.98
2026-05-22T14:00:10,18.36,108.98
2026-05-22T14:00:15,17.43,102.37
2026-05-22T14:00:20,17.43,102.37
2026-05-22T14:00:25,17.09,103.48
2026-05-22T14:00:30,17.09,103.48
2026-05-22T14:00:35,16.88,101.61
2026-05-22T14:00:40,16.88,101.61
2026-05-22T14:00:45,15.17,91.31
2026-05-22T14:00:50,15.17,91.31
2026-05-22T14:00:55,13.87,86.25
2026-05-22T14:01:00,13.87,86.25
2026-05-22T14:01:05,12.13,82.91
2026-05-22T14:01:10,12.13,82.91
2026-05-22T14:01:15,11.71,77.24
2026-05-22T14:01:20,11.71,77.24
2026-05-22T14:01:25,19.12,76.49
2026-05-22T14:01:30,19.12,76.49
2026-05-22T14:01:35,19.73,79.27
2026-05-22T14:01:40,19.73,79.27
2026-05-22T14:01:45,13.45,80.97
2026-05-22T14:01:50,13.45,80.97
2026-05-22T14:01:55,13.94,89.0
2026-05-22T14:02:00,13.94,89.0
2026-05-22T14:02:05,15.47,91.87
2026-05-22T14:02:10,15.47,91.87
2026-05-22T14:02:15,16.49,93.46
2026-05-22T14:02:20,16.49,93.46
2026-05-22T14:02:25,16.23,96.03
2026-05-22T14:02:30,16.23,96.03
2026-05-22T14:02:35,16.37,96.32
2026-05-22T14:02:40,16.37,96.32
2026-05-22T14:02:45,17.04,95.22
2026-05-22T14:02:50,17.04,95.22
2026-05-22T14:02:55,17.68,96.09
2026-05-22T14:03:00,17.68,96.09
2026-05-22T14:03:05,17.78,101.99
2026-05-22T14:03:10,17.78,101.99
2026-05-22T14:03:15,18.12,103.97
2026-05-22T14:03:20,18.12,103.97
2026-05-22T14:03:25,18.57,107.99
2026-05-22T14:03:30,18.57,107.99
2026-05-22T14:03:35,19.12,116.07
2026-05-22T14:03:40,19.12,116.07
2026-05-22T14:03:45,20.26,117.1
2026-05-22T14:03:50,20.26,117.1
2026-05-22T14:03:55,20.26,116.38
2026-05-22T14:04:00,20.26,116.38
2026-05-22T14:04:05,20.59,123.27
2026-05-22T14:04:10,20.59,123.27
2026-05-22T14:04:15,21.46,125.68
2026-05-22T14:04:20,21.46,125.68
2026-05-22T14:04:25,21.55,121.21
2026-05-22T14:04:30,21.55,121.21
2026-05-22T14:04:35,22.0,122.9
2026-05-22T14:04:40,22.0,122.9
2026-05-22T14:04:45,22.15,128.79
2026-05-22T14:04:50,22.15,128.79
2026-05-22T14:04:55,22.11,127.45
2026-05-22T14:05:00,22.11,127.45
2026-05-22T14:05:05,22.53,126.17
2026-05-22T14:05:10,22.53,126.17
2026-05-22T14:05:15,21.84,127.36
