timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-11T03:11:17,0.33,0.23
2026-05-11T03:11:22,0.33,0.23
2026-05-11T03:11:27,0.32,0.23
2026-05-11T03:11:32,0.32,0.23
2026-05-11T03:11:37,1.58,0.33
2026-05-11T03:11:42,1.58,0.33
2026-05-11T03:11:47,1.63,0.37
2026-05-11T03:11:52,1.63,0.37
2026-05-11T03:11:57,0.09,0.08
2026-05-11T03:12:02,0.09,0.08
2026-05-11T03:12:07,0.04,0.04
2026-05-11T03:12:12,0.04,0.04
2026-05-11T03:12:17,0.07,0.06
2026-05-11T03:12:22,0.07,0.06
2026-05-11T03:12:27,1.55,1.5
2026-05-11T03:12:32,1.55,1.5
2026-05-11T03:12:37,1.62,1.64
2026-05-11T03:12:42,1.62,1.64
2026-05-11T03:12:47,0.19,0.25
2026-05-11T03:12:52,0.19,0.25
2026-05-11T03:12:57,0.18,0.19
2026-05-11T03:13:02,0.18,0.19
2026-05-11T03:13:07,0.56,1.5
2026-05-11T03:13:12,0.56,1.5
2026-05-11T03:13:17,1.99,7.32
2026-05-11T03:13:22,1.99,7.32
2026-05-11T03:13:27,4.13,18.38
2026-05-11T03:13:32,4.13,18.38
2026-05-11T03:13:37,5.53,28.1
2026-05-11T03:13:42,5.53,28.1
2026-05-11T03:13:47,6.52,35.31
2026-05-11T03:13:52,6.52,35.31
2026-05-11T03:13:57,7.47,42.39
2026-05-11T03:14:02,7.47,42.39
2026-05-11T03:14:07,8.38,50.15
2026-05-11T03:14:12,8.38,50.15
2026-05-11T03:14:17,9.63,60.43
2026-05-11T03:14:22,9.63,60.43
2026-05-11T03:14:27,10.72,68.23
2026-05-11T03:14:32,10.72,68.23
2026-05-11T03:14:37,11.76,74.16
2026-05-11T03:14:42,11.76,74.16
2026-05-11T03:14:47,12.9,82.45
2026-05-11T03:14:52,12.9,82.45
2026-05-11T03:14:57,13.95,91.06
2026-05-11T03:15:02,13.95,91.06
2026-05-11T03:15:07,12.24,80.63
2026-05-11T03:15:12,12.24,80.63
2026-05-11T03:15:17,5.06,33.16
2026-05-11T03:15:22,5.06,33.16
2026-05-11T03:15:27,0.06,0.13
2026-05-11T03:15:32,0.06,0.13
2026-05-11T03:15:37,0.01,0.04
2026-05-11T03:15:42,0.01,0.04
2026-05-11T03:15:47,0.11,0.14
2026-05-11T03:15:52,0.11,0.14
2026-05-11T03:15:57,0.12,0.15
2026-05-11T03:16:02,0.12,0.15
2026-05-11T03:16:07,0.05,0.07
2026-05-11T03:16:12,0.05,0.07
2026-05-11T03:16:17,0.08,0.12
2026-05-11T03:16:22,0.08,0.12
2026-05-11T03:16:27,0.14,0.2
2026-05-11T03:16:32,0.14,0.2
2026-05-11T03:16:37,0.12,0.18
2026-05-11T03:16:42,0.09,0.14
