timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-09T07:17:46,2.1,1014,3915,0,1,99.99,6,0.2,78.0
2026-05-09T07:17:51,3.3,1018,3915,0,1,99.99,1,0.0,78.0
2026-05-09T07:17:57,13.1,1139,3915,0,2,99.99,7,9.3,149.9
2026-05-09T07:18:02,12.3,1145,3915,0,2,99.99,5,1.2,153.1
2026-05-09T07:18:07,8.6,1113,3915,0,2,99.99,11,2.1,150.6
2026-05-09T07:18:12,10.7,1097,3915,0,3,99.99,10,1.8,153.9
2026-05-09T07:18:18,12.3,1114,3915,0,3,99.99,18,2.7,152.5
2026-05-09T07:18:23,7.8,1098,3915,0,3,99.99,14,1.9,158.9
2026-05-09T07:18:28,9.8,1121,3915,0,3,99.99,26,2.8,170.8
2026-05-09T07:18:34,15.4,1119,3915,0,3,99.99,20,2.6,177.1
2026-05-09T07:18:39,28.7,1123,3915,0,4,99.99,30,3.8,180.1
2026-05-09T07:18:44,20.6,1131,3915,0,4,99.99,34,3.4,187.0
2026-05-09T07:18:49,26.9,1149,3915,0,4,99.99,25,4.6,202.8
2026-05-09T07:18:55,24.5,1161,3915,0,5,99.99,36,3.6,213.4
2026-05-09T07:19:00,32.1,1174,3915,0,6,99.99,38,5.6,222.2
2026-05-09T07:19:05,45.0,1173,3915,1,5,100.00,48,4.1,223.8
2026-05-09T07:19:10,26.1,1176,3915,1,5,100.00,33,4.2,225.2
2026-05-09T07:19:16,28.8,1172,3915,0,6,100.00,45,3.8,225.3
2026-05-09T07:19:21,30.7,1171,3915,1,3,100.00,49,4.6,225.5
2026-05-09T07:19:26,39.8,1173,3915,1,4,100.00,57,4.8,225.7
2026-05-09T07:19:32,40.4,1178,3915,0,5,100.00,47,5.2,221.7
2026-05-09T07:19:37,45.7,1170,3915,1,5,100.00,69,5.1,221.8
2026-05-09T07:19:42,51.6,1171,3915,1,5,100.00,54,6.6,222.1
2026-05-09T07:19:47,41.8,1171,3915,0,6,100.00,67,6.0,221.8
2026-05-09T07:19:53,47.3,1172,3915,0,6,100.00,61,5.0,221.9
2026-05-09T07:19:58,47.4,1172,3915,1,5,100.00,79,6.8,222.2
2026-05-09T07:20:03,62.8,1185,3915,0,11,100.00,59,7.4,222.4
2026-05-09T07:20:09,51.1,1180,3915,3,8,100.00,72,5.9,223.2
2026-05-09T07:20:14,66.3,1174,3915,0,8,100.00,76,5.9,223.2
2026-05-09T07:20:19,34.2,1173,3915,0,7,100.00,49,6.1,223.7
2026-05-09T07:20:25,35.0,1167,3915,1,4,100.00,84,6.1,224.1
2026-05-09T07:20:30,44.4,1170,3915,0,5,100.00,57,5.7,224.7
2026-05-09T07:20:35,50.9,1172,3915,1,5,100.00,81,5.2,224.8
2026-05-09T07:20:41,35.2,1172,3915,1,5,100.00,64,5.5,224.9
2026-05-09T07:20:46,49.4,1173,3915,1,5,100.00,72,5.6,225.4
2026-05-09T07:20:51,44.8,1178,3915,1,7,100.00,66,5.1,225.7
2026-05-09T07:20:56,59.4,1177,3915,3,5,100.00,71,5.5,225.9
2026-05-09T07:21:02,42.1,1175,3915,0,7,100.00,71,7.1,226.1
2026-05-09T07:21:07,37.0,1177,3915,0,6,100.00,67,4.8,226.9
2026-05-09T07:21:13,35.9,1176,3915,1,5,100.00,67,4.5,226.9
2026-05-09T07:21:18,33.7,1175,3915,1,5,100.00,75,5.0,226.9
2026-05-09T07:21:23,49.7,1178,3915,1,6,100.00,63,5.4,226.9
2026-05-09T07:21:29,37.4,1181,3915,0,9,100.00,50,4.1,227.1
2026-05-09T07:21:34,39.7,1185,3915,1,8,100.00,87,6.4,227.2
2026-05-09T07:21:39,37.8,1176,3915,1,5,100.00,72,4.6,227.2
2026-05-09T07:21:44,46.1,1176,3915,0,6,100.00,68,4.9,227.6
2026-05-09T07:21:50,38.2,1179,3915,2,4,100.00,62,4.4,227.6
2026-05-09T07:21:55,65.1,1188,3915,5,5,100.00,74,5.8,228.1
2026-05-09T07:22:00,66.9,1185,3915,5,5,100.00,59,4.1,228.3
2026-05-09T07:22:06,48.5,1183,3915,1,7,100.00,78,6.0,228.3
2026-05-09T07:22:11,56.7,1183,3915,2,6,100.00,72,4.9,228.4
2026-05-09T07:22:17,48.7,1183,3915,1,5,100.00,73,4.3,228.4
2026-05-09T07:22:22,58.8,1181,3915,0,6,100.00,67,5.1,228.7
2026-05-09T07:22:27,45.8,1186,3915,0,8,100.00,68,4.6,228.7
2026-05-09T07:22:32,30.7,1182,3915,1,7,100.00,67,5.4,229.1
2026-05-09T07:22:38,49.2,1177,3915,0,6,100.00,72,4.2,229.1
2026-05-09T07:22:43,37.8,1184,3915,0,8,100.00,63,5.9,229.3
2026-05-09T07:22:48,51.2,1182,3915,1,7,100.00,85,4.8,229.4
2026-05-09T07:22:54,46.6,1184,3915,1,7,100.00,59,5.4,229.8
2026-05-09T07:22:59,39.7,1185,3915,0,8,100.00,74,4.6,229.9
2026-05-09T07:23:04,46.0,1186,3915,3,5,100.00,69,4.6,229.9
2026-05-09T07:23:09,41.9,1184,3915,1,6,100.00,60,5.7,230.3
2026-05-09T07:23:15,44.0,1179,3915,5,1,100.00,92,4.7,230.3
2026-05-09T07:23:20,47.1,1184,3915,1,6,100.00,57,5.3,230.3
2026-05-09T07:23:26,42.6,1181,3915,1,6,100.00,69,4.4,230.3
2026-05-09T07:23:31,29.4,1182,3915,2,4,100.00,78,5.6,230.8
2026-05-09T07:23:36,35.5,1184,3915,1,4,100.00,76,4.4,230.9
2026-05-09T07:23:41,43.4,1184,3915,0,7,100.00,56,5.5,231.3
2026-05-09T07:23:47,47.2,1183,3915,2,5,100.00,81,4.4,231.4
2026-05-09T07:23:52,55.7,1187,3915,0,7,100.00,62,5.4,231.6
2026-05-09T07:23:57,48.3,1183,3915,0,7,100.00,75,4.3,231.6
2026-05-09T07:24:03,45.5,1187,3915,2,5,100.00,60,4.2,231.6
2026-05-09T07:24:08,61.0,1188,3915,1,7,100.00,77,6.2,233.7
2026-05-09T07:24:13,55.0,1192,3915,0,8,100.00,56,4.7,233.7
