timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-09T08:43:52,1.7,1125,3915,0,1,100.00,1,0.1,155.7
2026-05-09T08:43:57,4.8,1102,3915,0,1,100.00,7,0.1,155.7
2026-05-09T08:44:03,3.7,1103,3915,0,1,100.00,1,0.2,155.7
2026-05-09T08:44:08,4.0,1103,3915,0,1,100.00,6,0.0,155.7
2026-05-09T08:44:13,4.1,1101,3915,0,1,100.00,1,0.1,155.7
2026-05-09T08:44:19,6.6,1099,3915,0,2,100.00,8,1.5,157.4
2026-05-09T08:44:24,5.6,1105,3915,0,2,100.00,12,1.2,159.2
2026-05-09T08:44:29,10.0,1127,3915,0,2,100.00,6,1.0,159.3
2026-05-09T08:44:34,8.1,1111,3915,0,3,100.00,18,2.1,164.1
2026-05-09T08:44:40,15.0,1125,3915,0,3,100.00,13,2.7,179.4
2026-05-09T08:44:45,12.7,1125,3915,0,3,100.00,20,2.5,180.1
2026-05-09T08:44:50,15.9,1135,3915,0,3,100.00,22,3.5,185.9
2026-05-09T08:44:56,19.3,1136,3915,0,3,100.00,26,3.6,191.3
2026-05-09T08:45:01,25.3,1158,3915,0,6,100.00,28,6.7,205.9
2026-05-09T08:45:07,30.2,1170,3915,0,6,100.00,30,7.2,213.5
2026-05-09T08:45:12,16.4,1169,3915,0,4,100.00,34,4.7,219.2
2026-05-09T08:45:17,33.0,1176,3915,0,6,100.00,36,5.6,221.0
2026-05-09T08:45:23,26.8,1192,3915,0,6,100.00,37,8.3,226.9
2026-05-09T08:45:28,21.0,1184,3915,1,4,100.00,45,6.2,227.1
2026-05-09T08:45:33,36.5,1186,3915,4,2,100.00,51,5.9,227.4
2026-05-09T08:45:39,34.6,1186,3915,0,7,100.00,40,6.3,227.6
2026-05-09T08:45:44,35.1,1183,3915,0,5,100.00,53,5.8,227.6
2026-05-09T08:45:49,29.1,1184,3915,1,5,100.00,51,6.7,227.9
2026-05-09T08:45:55,42.7,1182,3915,1,5,100.00,58,6.3,227.9
2026-05-09T08:46:00,26.3,1181,3915,1,4,100.00,57,7.7,228.1
2026-05-09T08:46:05,50.2,1183,3915,2,4,100.00,61,9.6,228.4
2026-05-09T08:46:11,61.2,1193,3915,1,7,100.00,64,8.1,228.9
2026-05-09T08:46:16,62.5,1192,3915,1,7,100.00,76,7.6,229.0
2026-05-09T08:46:22,52.4,1192,3915,2,6,100.00,60,8.9,229.6
2026-05-09T08:46:27,63.5,1198,3915,0,8,100.00,71,7.1,229.6
2026-05-09T08:46:32,44.5,1189,3915,0,6,100.00,70,8.2,231.5
2026-05-09T08:46:38,44.8,1189,3915,2,4,100.00,72,7.7,231.6
2026-05-09T08:46:43,57.8,1191,3915,0,6,100.00,61,8.3,231.6
2026-05-09T08:46:48,52.5,1192,3915,1,5,100.00,77,7.3,231.9
2026-05-09T08:46:54,41.6,1191,3915,1,5,100.00,71,7.7,232.0
2026-05-09T08:46:59,40.3,1192,3915,1,5,100.00,63,7.0,232.1
2026-05-09T08:47:05,57.0,1193,3915,5,2,100.00,76,7.6,232.1
2026-05-09T08:47:10,55.4,1191,3915,1,6,100.00,68,8.0,232.2
2026-05-09T08:47:16,59.4,1194,3915,2,5,100.00,68,7.5,232.4
2026-05-09T08:47:21,63.0,1193,3915,0,8,100.00,66,10.1,232.5
