timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-12T15:18:26,0.21,0.32
2026-05-12T15:18:31,0.21,0.32
2026-05-12T15:18:36,0.14,0.12
2026-05-12T15:18:41,0.14,0.12
2026-05-12T15:18:46,0.12,0.19
2026-05-12T15:18:51,0.12,0.19
2026-05-12T15:18:56,0.31,0.46
2026-05-12T15:19:01,0.31,0.46
2026-05-12T15:19:06,0.86,4.41
2026-05-12T15:19:11,0.86,4.41
2026-05-12T15:19:16,2.45,20.19
2026-05-12T15:19:21,2.45,20.19
2026-05-12T15:19:26,4.45,42.78
2026-05-12T15:19:31,4.45,42.78
2026-05-12T15:19:36,6.19,69.78
2026-05-12T15:19:41,6.19,69.78
2026-05-12T15:19:46,8.13,99.15
2026-05-12T15:19:51,8.13,99.15
2026-05-12T15:19:56,10.22,134.34
2026-05-12T15:20:01,10.22,134.34
2026-05-12T15:20:06,11.74,159.01
2026-05-12T15:20:11,11.74,159.01
2026-05-12T15:20:16,13.3,176.29
2026-05-12T15:20:21,13.3,176.29
2026-05-12T15:20:26,15.6,214.87
2026-05-12T15:20:31,15.6,214.87
2026-05-12T15:20:36,17.62,246.31
2026-05-12T15:20:41,17.62,246.31
2026-05-12T15:20:46,19.46,267.67
2026-05-12T15:20:51,19.46,267.67
2026-05-12T15:20:56,21.38,295.55
2026-05-12T15:21:01,21.38,295.55
2026-05-12T15:21:06,22.59,320.89
2026-05-12T15:21:11,22.59,320.89
2026-05-12T15:21:16,22.9,341.56
2026-05-12T15:21:21,22.9,341.56
2026-05-12T15:21:26,23.03,353.0
2026-05-12T15:21:31,23.03,353.0
2026-05-12T15:21:36,23.28,346.24
2026-05-12T15:21:41,23.28,346.24
2026-05-12T15:21:46,23.07,345.73
2026-05-12T15:21:51,23.07,345.73
2026-05-12T15:21:56,22.88,353.18
2026-05-12T15:22:01,22.88,353.18
2026-05-12T15:22:06,29.89,358.35
2026-05-12T15:22:11,29.89,358.35
2026-05-12T15:22:16,29.94,357.66
2026-05-12T15:22:21,29.94,357.66
2026-05-12T15:22:26,23.19,356.12
2026-05-12T15:22:31,23.19,356.12
2026-05-12T15:22:36,22.51,338.97
2026-05-12T15:22:41,22.51,338.97
2026-05-12T15:22:46,22.37,338.06
2026-05-12T15:22:51,22.37,338.06
2026-05-12T15:22:56,22.96,347.56
2026-05-12T15:23:01,22.96,347.56
2026-05-12T15:23:06,23.09,338.36
2026-05-12T15:23:11,23.09,338.36
2026-05-12T15:23:16,23.02,343.89
2026-05-12T15:23:21,23.02,343.89
2026-05-12T15:23:26,22.96,342.47
2026-05-12T15:23:31,22.96,342.47
2026-05-12T15:23:36,23.17,350.45
2026-05-12T15:23:41,23.17,350.45
2026-05-12T15:23:46,23.22,346.11
2026-05-12T15:23:51,23.22,346.11
2026-05-12T15:23:56,22.73,332.46
2026-05-12T15:24:01,22.73,332.46
2026-05-12T15:24:06,22.59,346.06
2026-05-12T15:24:11,22.59,346.06
2026-05-12T15:24:16,23.0,352.9
2026-05-12T15:24:21,23.0,352.9
2026-05-12T15:24:26,22.89,347.93
