timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-19T08:26:38,0.58,1.1
2026-05-19T08:26:43,0.58,1.1
2026-05-19T08:26:48,0.31,0.88
2026-05-19T08:26:53,0.31,0.88
2026-05-19T08:26:58,0.58,1.61
2026-05-19T08:27:03,0.58,1.61
2026-05-19T08:27:08,1.94,6.19
2026-05-19T08:27:13,1.94,6.19
2026-05-19T08:27:18,7.94,25.82
2026-05-19T08:27:23,7.94,25.82
2026-05-19T08:27:28,16.75,60.03
2026-05-19T08:27:33,16.75,60.03
2026-05-19T08:27:38,24.32,97.42
2026-05-19T08:27:43,24.32,97.42
2026-05-19T08:27:48,31.78,138.46
2026-05-19T08:27:53,31.78,138.46
2026-05-19T08:27:58,38.96,178.17
2026-05-19T08:28:03,38.96,178.17
2026-05-19T08:28:08,46.28,217.47
2026-05-19T08:28:13,46.28,217.47
2026-05-19T08:28:18,54.38,262.36
2026-05-19T08:28:23,54.38,262.36
2026-05-19T08:28:28,61.95,303.46
2026-05-19T08:28:33,61.95,303.46
2026-05-19T08:28:38,69.64,347.12
2026-05-19T08:28:43,69.64,347.12
2026-05-19T08:28:48,77.35,392.88
2026-05-19T08:28:53,77.35,392.88
2026-05-19T08:28:58,85.62,434.72
2026-05-19T08:29:03,85.62,434.72
2026-05-19T08:29:08,92.32,474.4
2026-05-19T08:29:13,92.32,474.4
2026-05-19T08:29:18,98.43,513.73
2026-05-19T08:29:23,98.43,513.73
2026-05-19T08:29:28,106.27,551.14
2026-05-19T08:29:33,106.27,551.14
2026-05-19T08:29:38,114.31,588.03
2026-05-19T08:29:43,114.31,588.03
2026-05-19T08:29:48,121.7,637.5
2026-05-19T08:29:53,121.7,637.5
2026-05-19T08:29:58,128.57,688.91
2026-05-19T08:30:03,128.57,688.91
2026-05-19T08:30:08,130.06,677.75
2026-05-19T08:30:13,130.06,677.75
2026-05-19T08:30:18,122.07,636.57
2026-05-19T08:30:23,122.07,636.57
2026-05-19T08:30:28,134.29,716.54
2026-05-19T08:30:33,134.29,716.54
2026-05-19T08:30:38,156.05,832.42
2026-05-19T08:30:43,156.05,832.42
2026-05-19T08:30:48,164.98,884.85
2026-05-19T08:30:53,164.98,884.85
2026-05-19T08:30:58,173.56,923.77
2026-05-19T08:31:03,173.56,923.77
2026-05-19T08:31:08,181.36,963.4
2026-05-19T08:31:13,181.36,963.4
2026-05-19T08:31:18,190.02,1018.92
2026-05-19T08:31:23,190.02,1018.92
2026-05-19T08:31:28,196.63,1049.05
2026-05-19T08:31:33,196.63,1049.05
2026-05-19T08:31:38,202.87,1075.99
2026-05-19T08:31:43,202.87,1075.99
2026-05-19T08:31:48,210.87,1129.32
2026-05-19T08:31:53,210.87,1129.32
2026-05-19T08:31:58,219.52,1178.93
2026-05-19T08:32:03,219.52,1178.93
2026-05-19T08:32:08,225.41,1210.08
2026-05-19T08:32:13,225.41,1210.08
2026-05-19T08:32:18,226.03,1230.42
2026-05-19T08:32:23,226.03,1230.42
2026-05-19T08:32:28,225.86,1248.31
2026-05-19T08:32:33,225.86,1248.31
2026-05-19T08:32:38,225.9,1247.83
2026-05-19T08:32:43,225.9,1247.83
2026-05-19T08:32:48,226.67,1250.09
2026-05-19T08:32:53,226.67,1250.09
2026-05-19T08:32:58,226.45,1258.2
2026-05-19T08:33:03,226.45,1258.2
2026-05-19T08:33:08,222.84,1240.29
2026-05-19T08:33:13,222.84,1240.29
2026-05-19T08:33:18,222.65,1231.08
2026-05-19T08:33:23,222.65,1231.08
2026-05-19T08:33:28,225.33,1239.12
