timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-12T05:58:42,1.36,1.31
2026-05-12T05:58:47,1.52,1.43
2026-05-12T05:58:52,1.52,1.43
2026-05-12T05:58:57,0.42,0.41
2026-05-12T05:59:02,0.42,0.41
2026-05-12T05:59:07,0.26,0.26
2026-05-12T05:59:12,0.26,0.26
2026-05-12T05:59:17,0.13,0.13
2026-05-12T05:59:22,0.13,0.13
2026-05-12T05:59:27,1.07,6.93
2026-05-12T05:59:32,1.07,6.93
2026-05-12T05:59:37,2.18,19.54
2026-05-12T05:59:42,2.18,19.54
2026-05-12T05:59:47,2.71,29.27
2026-05-12T05:59:52,2.71,29.27
2026-05-12T05:59:57,3.37,36.91
2026-05-12T06:00:02,3.37,36.91
2026-05-12T06:00:07,4.38,51.38
2026-05-12T06:00:12,4.38,51.38
2026-05-12T06:00:17,5.65,74.0
2026-05-12T06:00:22,5.65,74.0
2026-05-12T06:00:27,6.53,85.54
2026-05-12T06:00:32,6.53,85.54
2026-05-12T06:00:37,7.44,91.94
2026-05-12T06:00:42,7.44,91.94
2026-05-12T06:00:47,8.46,110.46
2026-05-12T06:00:52,8.46,110.46
2026-05-12T06:00:57,9.81,129.47
2026-05-12T06:01:02,9.81,129.47
2026-05-12T06:01:07,10.42,135.56
2026-05-12T06:01:12,10.42,135.56
2026-05-12T06:01:17,10.94,139.98
2026-05-12T06:01:22,10.94,139.98
2026-05-12T06:01:27,12.31,161.63
2026-05-12T06:01:32,12.31,161.63
2026-05-12T06:01:37,13.7,188.0
2026-05-12T06:01:42,13.7,188.0
2026-05-12T06:01:47,14.31,195.66
2026-05-12T06:01:52,14.31,195.66
2026-05-12T06:01:57,14.7,205.13
2026-05-12T06:02:02,14.7,205.13
2026-05-12T06:02:07,15.86,227.26
2026-05-12T06:02:12,15.86,227.26
2026-05-12T06:02:17,16.82,240.22
2026-05-12T06:02:22,16.82,240.22
2026-05-12T06:02:27,17.69,247.2
2026-05-12T06:02:32,17.69,247.2
2026-05-12T06:02:37,18.61,265.6
2026-05-12T06:02:42,18.61,265.6
2026-05-12T06:02:47,19.07,277.14
2026-05-12T06:02:52,19.07,277.14
2026-05-12T06:02:57,20.74,301.9
2026-05-12T06:03:02,20.74,301.9
2026-05-12T06:03:07,22.45,321.69
2026-05-12T06:03:12,22.45,321.69
2026-05-12T06:03:17,22.6,317.88
2026-05-12T06:03:22,22.6,317.88
2026-05-12T06:03:27,100.23,822.73
2026-05-12T06:03:32,100.23,822.73
2026-05-12T06:03:37,234.02,2386.76
2026-05-12T06:03:42,234.02,2386.76
2026-05-12T06:03:47,256.42,3400.09
2026-05-12T06:03:52,256.42,3400.09
2026-05-12T06:03:57,224.69,3353.45
2026-05-12T06:04:02,224.69,3353.45
2026-05-12T06:04:07,226.6,3344.31
2026-05-12T06:04:12,226.6,3344.31
2026-05-12T06:04:17,227.4,3376.02
2026-05-12T06:04:22,227.4,3376.02
2026-05-12T06:04:27,227.56,3388.97
2026-05-12T06:04:32,227.56,3388.97
2026-05-12T06:04:37,228.39,3360.71
2026-05-12T06:04:42,228.39,3360.71
2026-05-12T06:04:47,228.86,3391.16
2026-05-12T06:04:52,228.86,3391.16
2026-05-12T06:04:57,228.01,3406.11
2026-05-12T06:05:02,228.01,3406.11
2026-05-12T06:05:07,222.14,3238.6
2026-05-12T06:05:12,222.14,3238.6
2026-05-12T06:05:17,214.52,3174.33
2026-05-12T06:05:22,214.52,3174.33
2026-05-12T06:05:27,220.85,3301.94
2026-05-12T06:05:32,220.85,3301.94
2026-05-12T06:05:37,213.89,3142.73
2026-05-12T06:05:42,213.89,3142.73
2026-05-12T06:05:47,122.04,1783.32
2026-05-12T06:05:52,122.04,1783.32
2026-05-12T06:05:57,34.43,496.09
2026-05-12T06:06:02,34.43,496.09
2026-05-12T06:06:07,25.59,366.32
2026-05-12T06:06:12,25.59,366.32
2026-05-12T06:06:17,25.76,341.32
2026-05-12T06:06:22,25.76,341.32
2026-05-12T06:06:27,23.5,317.66
2026-05-12T06:06:32,23.5,317.66
2026-05-12T06:06:37,24.45,323.45
2026-05-12T06:06:42,24.45,323.45
2026-05-12T06:06:47,27.03,340.43
2026-05-12T06:06:52,27.03,340.43
2026-05-12T06:06:57,32.65,353.01
2026-05-12T06:07:02,32.65,353.01
2026-05-12T06:07:07,30.12,342.86
2026-05-12T06:07:12,30.12,342.86
2026-05-12T06:07:17,22.79,325.21
2026-05-12T06:07:22,22.79,325.21
2026-05-12T06:07:27,22.95,333.32
2026-05-12T06:07:32,22.95,333.32
2026-05-12T06:07:37,23.38,341.9
2026-05-12T06:07:42,23.38,341.9
2026-05-12T06:07:47,23.41,343.34
2026-05-12T06:07:52,23.41,343.34
2026-05-12T06:07:57,23.45,350.84
2026-05-12T06:08:02,23.45,350.84
2026-05-12T06:08:07,23.37,351.54
2026-05-12T06:08:12,23.37,351.54
