timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-22T06:56:29,0.44,0.94
2026-05-22T06:56:34,0.35,0.45
2026-05-22T06:56:39,0.35,0.45
2026-05-22T06:56:44,0.44,4.34
2026-05-22T06:56:49,0.44,4.34
2026-05-22T06:56:54,0.81,6.09
2026-05-22T06:56:59,0.81,6.09
2026-05-22T06:57:04,1.13,4.86
2026-05-22T06:57:09,1.13,4.86
2026-05-22T06:57:14,8.11,7.37
2026-05-22T06:57:19,8.11,7.37
2026-05-22T06:57:24,8.69,11.09
2026-05-22T06:57:29,8.69,11.09
2026-05-22T06:57:34,2.43,13.93
2026-05-22T06:57:39,2.43,13.93
2026-05-22T06:57:44,2.45,13.78
2026-05-22T06:57:49,2.45,13.78
2026-05-22T06:57:54,3.02,18.21
2026-05-22T06:57:59,3.02,18.21
2026-05-22T06:58:04,3.53,22.73
2026-05-22T06:58:09,3.53,22.73
2026-05-22T06:58:14,10.87,21.96
2026-05-22T06:58:19,10.87,21.96
2026-05-22T06:58:24,11.24,23.03
2026-05-22T06:58:29,11.24,23.03
2026-05-22T06:58:34,4.39,24.47
2026-05-22T06:58:39,4.39,24.47
2026-05-22T06:58:44,4.55,25.66
2026-05-22T06:58:49,4.55,25.66
2026-05-22T06:58:54,5.06,28.2
2026-05-22T06:58:59,5.06,28.2
2026-05-22T06:59:04,5.28,30.67
2026-05-22T06:59:09,5.28,30.67
2026-05-22T06:59:14,5.37,33.96
2026-05-22T06:59:19,5.37,33.96
2026-05-22T06:59:24,5.7,32.82
2026-05-22T06:59:29,5.7,32.82
2026-05-22T06:59:34,5.44,30.53
2026-05-22T06:59:39,5.44,30.53
2026-05-22T06:59:44,5.65,33.26
2026-05-22T06:59:49,5.65,33.26
2026-05-22T06:59:54,5.92,31.52
2026-05-22T06:59:59,5.92,31.52
2026-05-22T07:00:04,5.41,30.22
2026-05-22T07:00:09,5.41,30.22
2026-05-22T07:00:14,5.16,31.93
2026-05-22T07:00:19,5.16,31.93
2026-05-22T07:00:24,5.41,31.28
2026-05-22T07:00:29,5.41,31.28
2026-05-22T07:00:34,5.29,32.85
2026-05-22T07:00:39,5.29,32.85
2026-05-22T07:00:44,5.35,33.46
2026-05-22T07:00:49,5.35,33.46
2026-05-22T07:00:54,5.68,36.01
2026-05-22T07:00:59,5.68,36.01
2026-05-22T07:01:04,5.74,33.02
2026-05-22T07:01:09,5.74,33.02
2026-05-22T07:01:14,12.22,29.93
2026-05-22T07:01:19,12.22,29.93
2026-05-22T07:01:24,11.99,33.0
2026-05-22T07:01:29,11.99,33.0
2026-05-22T07:01:34,5.7,31.58
2026-05-22T07:01:39,5.7,31.58
2026-05-22T07:01:44,5.92,32.7
2026-05-22T07:01:49,5.92,32.7
2026-05-22T07:01:54,5.57,34.71
2026-05-22T07:01:59,5.57,34.71
2026-05-22T07:02:04,5.0,32.97
2026-05-22T07:02:09,5.0,32.97
2026-05-22T07:02:14,4.96,33.06
2026-05-22T07:02:19,4.96,33.06
2026-05-22T07:02:24,5.59,33.11
2026-05-22T07:02:29,5.59,33.11
2026-05-22T07:02:34,5.97,29.24
2026-05-22T07:02:39,5.97,29.24
2026-05-22T07:02:44,5.8,30.95
2026-05-22T07:02:49,5.8,30.95
2026-05-22T07:02:54,5.51,30.43
2026-05-22T07:02:59,5.51,30.43
2026-05-22T07:03:04,5.4,28.62
2026-05-22T07:03:09,5.4,28.62
2026-05-22T07:03:14,5.46,28.73
2026-05-22T07:03:19,5.46,28.73
2026-05-22T07:03:24,5.59,29.31
2026-05-22T07:03:29,5.59,29.31
2026-05-22T07:03:34,5.23,29.75
2026-05-22T07:03:39,5.23,29.75
2026-05-22T07:03:44,5.61,28.24
2026-05-22T07:03:49,5.61,28.24
2026-05-22T07:03:54,6.4,29.87
2026-05-22T07:03:59,6.4,29.87
2026-05-22T07:04:04,6.12,30.99
2026-05-22T07:04:09,6.12,30.99
2026-05-22T07:04:14,5.81,32.4
2026-05-22T07:04:19,5.81,32.4
2026-05-22T07:04:24,5.47,33.19
2026-05-22T07:04:29,5.47,33.19
2026-05-22T07:04:34,5.2,32.62
2026-05-22T07:04:39,5.2,32.62
2026-05-22T07:04:44,5.39,31.56
2026-05-22T07:04:49,5.39,31.56
2026-05-22T07:04:54,5.22,31.1
2026-05-22T07:04:59,5.22,31.1
2026-05-22T07:05:04,5.04,29.83
2026-05-22T07:05:09,5.04,29.83
2026-05-22T07:05:14,5.34,29.66
2026-05-22T07:05:19,5.34,29.66
2026-05-22T07:05:24,5.26,30.27
2026-05-22T07:05:29,5.26,30.27
2026-05-22T07:05:34,5.08,30.36
2026-05-22T07:05:39,5.08,30.36
2026-05-22T07:05:44,5.33,30.98
2026-05-22T07:05:49,5.33,30.98
2026-05-22T07:05:54,5.51,30.9
2026-05-22T07:05:59,5.51,30.9
2026-05-22T07:06:04,5.41,30.95
2026-05-22T07:06:09,5.41,30.95
2026-05-22T07:06:14,5.5,32.48
2026-05-22T07:06:19,5.5,32.48
2026-05-22T07:06:24,5.63,32.61
2026-05-22T07:06:29,5.63,32.61
2026-05-22T07:06:34,5.6,31.04
2026-05-22T07:06:39,5.6,31.04
2026-05-22T07:06:44,5.97,30.8
2026-05-22T07:06:49,5.97,30.8
2026-05-22T07:06:54,6.07,32.69
2026-05-22T07:06:59,6.07,32.69
2026-05-22T07:07:04,5.69,32.51
2026-05-22T07:07:09,5.69,32.51
2026-05-22T07:07:14,5.43,29.59
2026-05-22T07:07:19,5.43,29.59
2026-05-22T07:07:24,12.66,32.23
2026-05-22T07:07:29,12.66,32.23
2026-05-22T07:07:34,12.76,32.85
2026-05-22T07:07:39,12.76,32.85
2026-05-22T07:07:44,5.63,28.74
2026-05-22T07:07:49,5.63,28.74
2026-05-22T07:07:54,5.66,31.19
2026-05-22T07:07:59,5.66,31.19
2026-05-22T07:08:04,5.21,33.87
2026-05-22T07:08:09,5.21,33.87
2026-05-22T07:08:14,5.41,34.07
2026-05-22T07:08:19,5.41,34.07
2026-05-22T07:08:24,5.49,31.24
2026-05-22T07:08:29,5.49,31.24
2026-05-22T07:08:34,5.42,28.32
2026-05-22T07:08:39,5.42,28.32
2026-05-22T07:08:44,5.54,28.93
2026-05-22T07:08:49,5.54,28.93
2026-05-22T07:08:54,5.53,29.23
2026-05-22T07:08:59,5.53,29.23
2026-05-22T07:09:04,6.01,33.36
2026-05-22T07:09:09,6.01,33.36
2026-05-22T07:09:14,6.73,38.57
2026-05-22T07:09:19,6.73,38.57
2026-05-22T07:09:24,7.92,42.19
2026-05-22T07:09:29,7.92,42.19
2026-05-22T07:09:34,9.04,47.41
2026-05-22T07:09:39,9.04,47.41
2026-05-22T07:09:44,9.34,52.19
2026-05-22T07:09:49,9.34,52.19
2026-05-22T07:09:54,9.71,53.61
2026-05-22T07:09:59,9.71,53.61
2026-05-22T07:10:04,10.14,55.29
2026-05-22T07:10:09,10.14,55.29
2026-05-22T07:10:14,10.35,55.95
2026-05-22T07:10:19,10.35,55.95
2026-05-22T07:10:24,10.14,56.54
2026-05-22T07:10:29,10.14,56.54
2026-05-22T07:10:34,10.38,57.32
2026-05-22T07:10:39,10.38,57.32
2026-05-22T07:10:44,10.47,58.8
2026-05-22T07:10:49,10.47,58.8
2026-05-22T07:10:54,9.83,61.03
2026-05-22T07:10:59,9.83,61.03
2026-05-22T07:11:04,9.64,57.66
2026-05-22T07:11:09,9.64,57.66
2026-05-22T07:11:14,9.85,57.46
2026-05-22T07:11:19,9.85,57.46
2026-05-22T07:11:24,10.32,57.4
2026-05-22T07:11:29,10.32,57.4
2026-05-22T07:11:34,10.4,56.37
2026-05-22T07:11:39,10.4,56.37
2026-05-22T07:11:44,10.41,58.85
2026-05-22T07:11:49,10.41,58.85
2026-05-22T07:11:54,10.47,58.18
2026-05-22T07:11:59,10.47,58.18
2026-05-22T07:12:04,9.98,57.29
2026-05-22T07:12:09,9.98,57.29
2026-05-22T07:12:14,10.14,57.66
2026-05-22T07:12:19,10.14,57.66
2026-05-22T07:12:24,10.54,59.7
2026-05-22T07:12:29,10.54,59.7
2026-05-22T07:12:34,10.59,56.19
2026-05-22T07:12:39,10.59,56.19
2026-05-22T07:12:44,9.88,54.91
2026-05-22T07:12:49,9.88,54.91
2026-05-22T07:12:54,9.45,58.19
2026-05-22T07:12:59,9.45,58.19
2026-05-22T07:13:04,9.83,58.32
2026-05-22T07:13:09,9.83,58.32
2026-05-22T07:13:14,9.93,58.92
2026-05-22T07:13:19,9.93,58.92
2026-05-22T07:13:24,10.01,58.16
2026-05-22T07:13:29,10.01,58.16
2026-05-22T07:13:34,9.8,56.94
2026-05-22T07:13:39,9.8,56.94
