timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-23T05:22:09,0.5,1286,7941,0,1,99.99,1,0.0,82.7
2026-05-23T05:22:15,2.0,1281,7941,0,1,99.99,6,0.1,82.8
2026-05-23T05:22:20,1.6,1286,7941,0,1,99.99,1,0.0,82.9
2026-05-23T05:22:25,1.8,1287,7941,0,1,99.99,6,0.1,83.1
2026-05-23T05:22:30,1.4,1280,7941,0,1,99.99,1,0.1,83.2
2026-05-23T05:22:36,2.4,1319,7941,1,1,99.99,6,0.1,83.4
2026-05-23T05:22:41,8.0,1306,7941,0,1,99.99,3,0.0,83.5
2026-05-23T05:22:46,1.7,1294,7941,0,1,99.99,6,0.0,83.7
2026-05-23T05:22:51,1.5,1284,7941,0,1,99.99,1,0.1,83.8
2026-05-23T05:22:56,2.2,1287,7941,0,1,99.99,6,0.0,83.8
2026-05-23T05:23:02,1.9,1291,7941,0,1,99.99,1,0.1,83.8
2026-05-23T05:23:07,2.5,1287,7941,0,1,99.99,6,0.0,83.8
2026-05-23T05:23:12,1.7,1276,7941,0,1,99.99,1,0.1,83.8
2026-05-23T05:23:17,1.6,1283,7941,0,1,99.99,6,0.1,83.9
2026-05-23T05:23:23,7.0,1408,7941,0,2,99.99,1,5.5,159.8
2026-05-23T05:23:28,3.8,1401,7941,0,8,99.99,10,1.8,163.2
2026-05-23T05:23:33,2.6,1371,7941,0,3,99.99,2,0.7,159.1
2026-05-23T05:23:38,1.9,1360,7941,0,1,99.99,8,0.1,159.4
2026-05-23T05:23:44,3.2,1365,7941,0,2,99.99,7,1.4,160.4
2026-05-23T05:23:49,1.9,1357,7941,0,2,99.99,1,0.0,160.6
