timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-17T04:05:33,10.4,1423,7941,0,3,99.99,5,9.6,186.2
2026-05-17T04:05:38,10.9,1372,7941,0,3,99.99,33,9.2,170.4
2026-05-17T04:05:43,11.3,1343,7941,0,3,99.99,63,9.6,148.8
2026-05-17T04:05:48,13.2,1347,7941,0,4,99.99,73,10.5,159.7
2026-05-17T04:05:54,14.9,1370,7941,0,4,99.99,114,12.3,188.3
2026-05-17T04:05:59,14.5,1379,7941,0,5,99.99,105,11.3,188.4
2026-05-17T04:06:04,18.5,1378,7941,0,5,99.99,158,14.8,188.9
2026-05-17T04:06:09,18.5,1386,7941,0,6,99.99,176,14.8,189.5
2026-05-17T04:06:15,19.8,1385,7941,0,7,99.99,177,15.4,190.3
2026-05-17T04:06:20,20.3,1405,7941,0,5,99.99,253,16.0,197.0
2026-05-17T04:06:25,22.7,1431,7941,0,5,99.99,259,17.8,234.3
2026-05-17T04:06:30,21.0,1444,7941,0,6,99.99,256,16.1,242.1
2026-05-17T04:06:36,21.3,1446,7941,0,5,99.99,317,15.8,254.9
2026-05-17T04:06:41,30.1,1442,7941,0,7,99.99,280,18.4,215.3
2026-05-17T04:06:46,23.9,1426,7941,1,5,99.99,403,17.6,232.5
2026-05-17T04:06:52,23.6,1432,7941,0,7,99.99,323,17.3,233.0
2026-05-17T04:06:57,25.2,1429,7941,0,7,99.99,359,18.7,233.1
2026-05-17T04:07:02,26.2,1436,7941,1,6,99.99,452,19.2,233.3
2026-05-17T04:07:07,26.2,1431,7941,0,7,99.99,435,18.9,233.6
2026-05-17T04:07:13,27.5,1434,7941,0,7,99.99,455,20.4,234.1
2026-05-17T04:07:18,27.1,1452,7941,0,7,99.99,510,19.2,253.4
2026-05-17T04:07:23,28.2,1486,7941,0,8,99.99,491,19.9,285.5
2026-05-17T04:07:28,30.7,1506,7941,0,8,99.99,485,22.2,306.1
2026-05-17T04:07:34,26.3,1520,7941,0,9,99.99,558,17.4,306.2
2026-05-17T04:07:39,24.8,1521,7941,0,8,99.99,515,14.8,306.5
2026-05-17T04:07:44,26.2,1519,7941,0,8,99.99,581,16.4,314.3
2026-05-17T04:07:49,26.0,1547,7941,0,9,99.99,594,16.9,332.2
2026-05-17T04:07:55,26.0,1546,7941,1,8,99.99,555,15.9,332.2
2026-05-17T04:08:00,24.8,1551,7941,0,8,99.99,536,15.7,332.2
2026-05-17T04:08:05,29.7,1548,7941,0,8,99.99,557,19.4,332.4
2026-05-17T04:08:10,27.1,1547,7941,1,8,99.99,586,17.2,344.5
2026-05-17T04:08:16,25.4,1549,7941,0,9,99.99,507,15.9,344.5
2026-05-17T04:08:21,24.9,1551,7941,0,9,99.99,515,16.2,344.5
2026-05-17T04:08:26,26.5,1554,7941,0,9,99.99,617,16.7,344.5
2026-05-17T04:08:31,27.0,1557,7941,0,11,99.99,490,17.5,344.7
2026-05-17T04:08:37,27.1,1557,7941,0,10,99.99,535,17.0,344.7
2026-05-17T04:08:42,28.2,1556,7941,0,10,99.99,558,17.8,344.7
2026-05-17T04:08:47,27.1,1552,7941,0,10,99.99,542,17.0,344.7
2026-05-17T04:08:52,25.6,1550,7941,0,8,99.99,596,16.7,344.8
2026-05-17T04:08:58,27.3,1546,7941,0,7,99.99,550,17.2,344.8
2026-05-17T04:09:03,31.3,1562,7941,0,10,99.99,533,21.1,344.8
2026-05-17T04:09:08,36.5,1557,7941,0,11,99.99,475,24.3,345.0
2026-05-17T04:09:14,26.5,1560,7941,0,10,99.99,572,16.7,345.0
2026-05-17T04:09:19,25.0,1559,7941,0,10,99.99,524,16.0,345.0
2026-05-17T04:09:24,28.2,1552,7941,0,10,99.99,574,17.7,345.0
2026-05-17T04:09:30,26.1,1555,7941,0,9,99.99,559,16.7,345.0
2026-05-17T04:09:35,28.2,1564,7941,1,9,99.99,525,18.1,345.0
2026-05-17T04:09:40,35.0,1594,7941,0,10,99.99,561,18.1,345.0
2026-05-17T04:09:45,27.3,1564,7941,0,8,99.99,590,17.2,345.0
2026-05-17T04:09:51,26.3,1561,7941,0,8,99.99,480,17.2,345.1
2026-05-17T04:09:56,27.4,1556,7941,0,8,99.99,582,16.9,345.1
2026-05-17T04:10:01,27.8,1562,7941,0,8,99.99,637,18.5,345.1
2026-05-17T04:10:07,38.8,1564,7941,0,11,99.99,374,28.8,345.3
2026-05-17T04:10:12,36.3,1492,7941,0,11,99.99,525,24.0,345.3
2026-05-17T04:10:18,33.0,1487,7941,1,10,99.99,565,20.9,345.3
2026-05-17T04:10:23,35.5,1495,7941,0,11,99.99,579,24.1,345.3
2026-05-17T04:10:28,29.0,1486,7941,0,10,99.99,513,18.8,345.4
2026-05-17T04:10:34,29.1,1485,7941,0,9,99.99,582,18.8,345.4
2026-05-17T04:10:39,30.2,1491,7941,0,9,99.99,546,17.2,347.0
2026-05-17T04:10:44,26.7,1496,7941,1,8,99.99,556,16.8,347.0
2026-05-17T04:10:49,25.1,1495,7941,0,6,99.99,566,16.0,347.0
2026-05-17T04:10:55,26.1,1489,7941,0,9,99.99,569,16.8,347.0
2026-05-17T04:11:00,25.2,1480,7941,0,8,99.99,500,16.2,347.0
2026-05-17T04:11:05,27.3,1480,7941,0,8,99.99,552,17.4,347.0
2026-05-17T04:11:11,25.0,1484,7941,0,9,99.99,533,16.1,347.0
2026-05-17T04:11:16,25.7,1477,7941,0,9,99.99,567,16.4,347.1
2026-05-17T04:11:21,27.3,1486,7941,0,11,99.99,552,17.7,347.1
2026-05-17T04:11:26,27.9,1487,7941,0,10,99.99,593,17.8,347.1
2026-05-17T04:11:32,25.9,1486,7941,0,9,99.99,556,16.2,347.1
2026-05-17T04:11:37,28.6,1479,7941,1,8,99.99,536,18.1,347.1
2026-05-17T04:11:42,30.2,1490,7941,0,5,99.99,630,18.9,347.1
2026-05-17T04:11:47,28.1,1484,7941,0,8,99.99,529,18.3,347.1
2026-05-17T04:11:53,28.1,1488,7941,0,9,99.99,503,18.1,347.1
2026-05-17T04:11:58,27.0,1490,7941,0,9,99.99,578,17.6,347.1
2026-05-17T04:12:03,32.2,1494,7941,1,10,99.99,536,21.2,347.2
2026-05-17T04:12:09,26.5,1494,7941,0,11,99.99,506,16.9,347.2
2026-05-17T04:12:14,28.1,1487,7941,0,11,99.99,559,17.9,347.2
2026-05-17T04:12:19,26.1,1490,7941,0,8,99.99,561,16.2,347.2
2026-05-17T04:12:24,31.4,1485,7941,0,10,99.99,570,19.7,347.2
2026-05-17T04:12:30,29.8,1484,7941,0,10,99.99,596,19.2,347.2
2026-05-17T04:12:35,31.5,1487,7941,0,11,99.99,516,20.2,347.2
2026-05-17T04:12:41,40.3,1520,7941,0,10,99.99,495,21.5,347.2
2026-05-17T04:12:46,29.4,1500,7941,0,11,99.99,592,18.4,347.2
2026-05-17T04:12:51,28.8,1496,7941,0,11,99.99,530,18.6,347.2
2026-05-17T04:12:56,27.9,1495,7941,0,10,99.99,502,17.3,347.2
2026-05-17T04:13:02,31.5,1486,7941,0,8,99.99,633,21.4,347.2
2026-05-17T04:13:07,33.7,1490,7941,1,10,99.99,500,22.6,347.2
2026-05-17T04:13:13,32.2,1485,7941,1,9,99.99,582,21.2,347.2
2026-05-17T04:13:18,30.9,1485,7941,0,9,99.99,520,19.8,347.2
2026-05-17T04:13:23,32.0,1481,7941,1,8,99.99,584,19.9,347.2
2026-05-17T04:13:29,33.8,1480,7941,1,8,99.99,544,22.1,347.2
2026-05-17T04:13:34,32.3,1486,7941,0,9,99.99,588,20.8,347.2
2026-05-17T04:13:39,34.1,1491,7941,0,10,99.99,508,20.9,347.2
2026-05-17T04:13:45,31.2,1481,7941,0,10,99.99,512,20.2,347.2
2026-05-17T04:13:50,30.2,1481,7941,0,9,99.99,604,19.5,347.2
2026-05-17T04:13:55,28.4,1478,7941,1,8,99.99,497,17.9,347.2
2026-05-17T04:14:00,29.5,1487,7941,0,10,99.99,567,18.9,347.2
2026-05-17T04:14:06,32.5,1489,7941,1,9,99.99,577,20.4,347.4
2026-05-17T04:14:11,29.8,1494,7941,1,10,99.99,564,19.2,347.4
2026-05-17T04:14:16,29.9,1479,7941,0,8,99.99,505,19.2,347.4
2026-05-17T04:14:22,27.7,1481,7941,0,10,99.99,545,17.5,347.4
2026-05-17T04:14:27,30.7,1496,7941,0,11,99.99,462,19.7,352.3
2026-05-17T04:14:32,30.6,1500,7941,0,11,99.99,636,19.7,352.4
2026-05-17T04:14:37,28.6,1492,7941,0,9,99.99,611,17.3,352.5
2026-05-17T04:14:43,28.9,1486,7941,0,9,99.99,484,18.1,352.6
2026-05-17T04:14:48,31.0,1489,7941,1,10,99.99,516,19.7,352.6
2026-05-17T04:14:53,30.1,1485,7941,0,10,99.99,637,19.4,352.6
2026-05-17T04:14:58,29.6,1486,7941,0,9,99.99,539,19.2,352.6
2026-05-17T04:15:04,34.3,1497,7941,0,10,99.99,470,23.8,352.6
2026-05-17T04:15:09,36.5,1497,7941,0,10,99.99,552,25.0,352.7
2026-05-17T04:15:15,33.1,1490,7941,0,11,99.99,469,21.9,352.8
2026-05-17T04:15:20,31.3,1488,7941,1,7,99.99,566,20.0,352.8
2026-05-17T04:15:25,30.6,1492,7941,0,7,99.99,583,19.6,352.8
2026-05-17T04:15:31,30.3,1499,7941,0,8,99.99,541,19.2,352.8
2026-05-17T04:15:36,31.7,1495,7941,0,8,99.99,534,20.5,352.9
2026-05-17T04:15:41,39.1,1532,7941,0,9,99.99,547,19.8,352.9
2026-05-17T04:15:47,30.0,1502,7941,0,10,99.99,499,18.8,352.9
2026-05-17T04:15:52,29.8,1503,7941,0,10,99.99,555,19.4,352.9
2026-05-17T04:15:57,31.3,1502,7941,0,10,99.99,581,20.3,352.9
2026-05-17T04:16:03,31.7,1507,7941,0,10,99.99,559,20.8,352.9
2026-05-17T04:16:08,32.2,1505,7941,0,10,99.99,577,20.5,352.9
2026-05-17T04:16:13,32.0,1504,7941,0,9,99.99,540,20.6,352.9
2026-05-17T04:16:18,31.2,1504,7941,2,9,99.99,550,20.3,352.9
2026-05-17T04:16:24,31.5,1501,7941,0,10,99.99,553,20.2,352.9
2026-05-17T04:16:29,30.6,1489,7941,0,8,99.99,611,19.7,352.9
2026-05-17T04:16:34,33.0,1495,7941,0,10,99.99,498,20.8,352.9
2026-05-17T04:16:40,34.0,1499,7941,0,10,99.99,558,20.8,352.9
2026-05-17T04:16:45,32.9,1491,7941,0,9,99.99,556,20.3,352.9
2026-05-17T04:16:50,30.4,1494,7941,2,7,99.99,521,19.7,352.9
2026-05-17T04:16:55,28.6,1499,7941,0,10,99.99,514,17.9,352.9
2026-05-17T04:17:01,30.1,1504,7941,0,10,99.99,659,19.2,352.9
2026-05-17T04:17:06,40.0,1505,7941,0,11,99.99,390,28.6,352.9
2026-05-17T04:17:12,30.0,1500,7941,0,11,99.99,556,19.3,352.9
2026-05-17T04:17:17,32.7,1505,7941,0,11,99.99,565,20.4,352.9
2026-05-17T04:17:22,35.7,1502,7941,2,8,99.99,542,22.8,352.9
2026-05-17T04:17:28,39.0,1503,7941,0,11,99.99,526,26.1,352.9
2026-05-17T04:17:33,44.3,1503,7941,0,9,99.99,561,32.0,352.9
2026-05-17T04:17:38,43.9,1509,7941,0,11,99.99,576,31.6,352.9
2026-05-17T04:17:44,39.7,1510,7941,0,10,99.99,703,29.2,352.9
2026-05-17T04:17:49,43.6,1503,7941,1,10,99.99,607,32.6,352.9
2026-05-17T04:17:54,43.5,1508,7941,0,11,99.99,785,32.0,352.9
2026-05-17T04:18:00,48.5,1514,7941,0,11,99.99,756,35.4,352.9
2026-05-17T04:18:05,52.8,1499,7941,0,9,99.99,771,38.9,352.9
2026-05-17T04:18:10,48.5,1501,7941,0,11,99.99,796,35.8,352.9
2026-05-17T04:18:15,48.8,1509,7941,0,9,99.99,948,34.9,352.9
2026-05-17T04:18:21,50.2,1509,7941,0,10,99.99,976,37.3,353.0
2026-05-17T04:18:26,52.7,1507,7941,1,9,99.99,936,37.3,353.1
2026-05-17T04:18:31,48.6,1505,7941,0,10,99.99,1059,34.3,356.2
2026-05-17T04:18:37,42.6,1507,7941,0,9,99.99,1010,26.7,356.6
2026-05-17T04:18:42,51.4,1550,7941,1,10,99.99,1112,26.9,356.6
2026-05-17T04:18:47,42.8,1502,7941,0,9,99.99,1006,26.4,356.6
2026-05-17T04:18:52,42.5,1504,7941,1,10,99.99,1020,26.6,356.6
2026-05-17T04:18:58,44.3,1504,7941,0,11,99.99,1003,27.6,357.0
2026-05-17T04:19:03,42.5,1506,7941,1,9,99.99,919,26.9,357.0
2026-05-17T04:19:09,43.7,1501,7941,0,11,99.99,856,28.4,358.5
2026-05-17T04:19:14,44.0,1510,7941,0,11,99.99,937,26.8,358.5
2026-05-17T04:19:19,42.6,1515,7941,0,11,99.99,1110,26.5,358.6
2026-05-17T04:19:24,43.5,1526,7941,0,11,99.99,943,27.7,358.6
2026-05-17T04:19:30,41.1,1522,7941,1,10,99.99,1079,25.7,358.6
2026-05-17T04:19:35,43.3,1520,7941,1,9,99.99,1057,27.6,358.6
2026-05-17T04:19:40,43.0,1508,7941,1,10,99.99,978,25.7,358.6
2026-05-17T04:19:45,40.4,1507,7941,0,11,99.99,1096,25.2,358.6
2026-05-17T04:19:51,38.1,1512,7941,0,11,99.99,1106,24.1,358.6
2026-05-17T04:19:56,39.8,1521,7941,0,10,99.99,1048,25.2,358.6
2026-05-17T04:20:01,40.8,1524,7941,0,11,99.99,1092,26.1,358.6
2026-05-17T04:20:07,43.5,1518,7941,1,10,99.99,844,28.5,358.6
2026-05-17T04:20:12,41.1,1511,7941,0,11,99.99,940,25.9,358.8
2026-05-17T04:20:18,40.6,1520,7941,0,10,99.99,1203,25.2,358.8
2026-05-17T04:20:23,42.0,1518,7941,0,8,99.99,1033,26.8,359.0
2026-05-17T04:20:28,38.9,1518,7941,1,10,99.99,1017,24.2,359.0
2026-05-17T04:20:33,43.0,1512,7941,1,9,99.99,1107,27.3,359.1
2026-05-17T04:20:39,45.2,1579,7941,1,11,99.99,1048,24.8,359.1
2026-05-17T04:20:44,40.3,1532,7941,0,10,99.99,993,24.6,359.1
2026-05-17T04:20:49,39.3,1513,7941,1,10,99.99,1159,24.4,359.1
2026-05-17T04:20:54,38.0,1515,7941,0,8,99.99,1069,23.9,359.1
2026-05-17T04:21:00,40.2,1514,7941,0,10,99.99,1036,25.2,359.1
2026-05-17T04:21:05,43.0,1519,7941,0,9,99.99,1050,26.7,359.2
2026-05-17T04:21:10,40.1,1527,7941,0,11,99.99,1057,25.4,359.2
2026-05-17T04:21:15,39.0,1529,7941,0,11,99.99,1069,24.1,359.2
2026-05-17T04:21:21,41.6,1529,7941,0,10,99.99,1160,26.6,359.2
2026-05-17T04:21:26,40.4,1520,7941,1,8,99.99,1016,24.9,359.2
2026-05-17T04:21:31,39.5,1524,7941,0,11,99.99,1071,24.9,359.2
2026-05-17T04:21:37,40.9,1518,7941,0,11,99.99,1115,25.0,359.2
2026-05-17T04:21:42,41.1,1536,7941,0,10,99.99,1030,24.9,359.2
2026-05-17T04:21:47,40.7,1522,7941,0,9,99.99,1059,25.0,359.2
2026-05-17T04:21:52,40.5,1527,7941,0,9,99.99,1101,25.9,359.2
2026-05-17T04:21:58,37.6,1529,7941,0,11,99.99,1053,23.5,359.2
2026-05-17T04:22:03,41.3,1527,7941,1,10,99.99,1060,26.5,359.2
2026-05-17T04:22:08,40.1,1516,7941,0,11,99.99,1137,25.2,359.2
2026-05-17T04:22:13,37.6,1519,7941,0,10,99.99,1081,23.5,359.2
2026-05-17T04:22:19,40.7,1530,7941,0,9,99.99,1028,25.9,359.2
2026-05-17T04:22:24,39.1,1519,7941,1,10,99.99,1098,24.3,359.2
2026-05-17T04:22:29,37.4,1522,7941,1,10,99.99,1029,23.9,359.5
2026-05-17T04:22:35,40.9,1519,7941,0,10,99.99,1070,25.0,359.5
2026-05-17T04:22:40,48.3,1563,7941,0,10,99.99,1046,25.9,359.5
2026-05-17T04:22:45,40.5,1523,7941,0,11,99.99,1107,25.6,359.5
2026-05-17T04:22:50,38.4,1509,7941,0,11,99.99,1013,24.4,359.5
2026-05-17T04:22:56,39.1,1509,7941,0,11,99.99,1118,24.3,359.5
2026-05-17T04:23:01,36.8,1512,7941,0,10,99.99,959,23.4,359.7
2026-05-17T04:23:06,42.6,1503,7941,0,11,99.99,1047,26.6,359.7
2026-05-17T04:23:11,38.5,1511,7941,0,10,99.99,1099,23.9,359.7
2026-05-17T04:23:17,41.1,1512,7941,0,10,99.99,1055,25.9,359.7
2026-05-17T04:23:22,41.6,1514,7941,0,11,99.99,1020,26.0,359.7
2026-05-17T04:23:27,39.9,1510,7941,0,11,99.99,1126,25.1,359.7
2026-05-17T04:23:32,38.4,1511,7941,0,11,99.99,1049,24.2,359.7
2026-05-17T04:23:38,42.9,1514,7941,1,11,99.99,1060,25.9,359.7
2026-05-17T04:23:43,43.8,1513,7941,4,7,99.99,1135,25.8,359.7
2026-05-17T04:23:48,39.9,1511,7941,0,10,99.99,962,25.6,359.7
2026-05-17T04:23:54,39.5,1510,7941,0,9,99.99,1146,25.1,359.7
2026-05-17T04:23:59,39.2,1511,7941,0,11,99.99,1046,24.8,359.7
2026-05-17T04:24:04,40.3,1505,7941,0,11,99.99,982,25.1,359.7
2026-05-17T04:24:09,38.6,1505,7941,1,10,99.99,1027,24.4,359.7
2026-05-17T04:24:15,39.2,1514,7941,0,11,99.99,1190,24.9,359.7
2026-05-17T04:24:20,38.0,1525,7941,0,11,99.99,1031,24.1,359.7
2026-05-17T04:24:25,39.2,1521,7941,0,10,99.99,1081,24.6,359.7
2026-05-17T04:24:30,39.5,1519,7941,1,10,99.99,1069,24.6,359.7
2026-05-17T04:24:36,40.7,1506,7941,0,10,99.99,1104,25.9,359.8
2026-05-17T04:24:41,45.8,1548,7941,0,10,99.99,1011,24.1,359.8
2026-05-17T04:24:46,40.3,1519,7941,0,10,99.99,1107,25.9,359.9
2026-05-17T04:24:51,40.9,1525,7941,0,8,99.99,1020,25.8,359.9
2026-05-17T04:24:57,40.3,1518,7941,1,9,99.99,1037,25.4,359.9
2026-05-17T04:25:02,39.9,1528,7941,1,9,99.99,1017,25.5,359.9
2026-05-17T04:25:08,45.0,1514,7941,0,9,99.99,678,29.5,359.9
2026-05-17T04:25:13,45.9,1514,7941,1,9,99.99,846,28.5,360.0
2026-05-17T04:25:18,44.4,1507,7941,1,6,99.99,838,27.4,360.0
2026-05-17T04:25:24,44.3,1509,7941,1,9,99.99,963,27.6,360.0
2026-05-17T04:25:29,44.5,1520,7941,1,8,99.99,1006,27.3,360.0
2026-05-17T04:25:34,41.8,1506,7941,0,9,99.99,944,26.5,360.0
2026-05-17T04:25:40,46.2,1522,7941,0,11,99.99,1039,28.2,360.2
2026-05-17T04:25:45,43.8,1518,7941,1,10,99.99,937,27.0,360.2
2026-05-17T04:25:50,43.4,1520,7941,3,7,99.99,1023,27.1,360.4
2026-05-17T04:25:55,42.4,1504,7941,2,8,99.99,1033,26.0,360.4
2026-05-17T04:26:01,43.1,1510,7941,0,11,99.99,1092,26.2,360.5
2026-05-17T04:26:06,46.0,1502,7941,1,8,99.99,999,28.4,360.5
2026-05-17T04:26:11,43.8,1515,7941,0,10,99.99,1048,27.2,360.5
2026-05-17T04:26:17,43.9,1504,7941,1,9,99.99,1019,27.7,360.5
2026-05-17T04:26:22,43.4,1512,7941,0,9,99.99,1052,26.9,360.5
2026-05-17T04:26:27,44.2,1506,7941,0,10,99.99,1023,27.6,360.5
2026-05-17T04:26:33,43.0,1508,7941,0,9,99.99,930,27.2,360.5
2026-05-17T04:26:38,45.5,1550,7941,3,8,99.99,1012,27.0,360.5
2026-05-17T04:26:43,49.8,1512,7941,0,10,99.99,1068,27.3,360.5
2026-05-17T04:26:49,42.8,1509,7941,0,10,99.99,987,26.4,360.5
2026-05-17T04:26:54,42.9,1512,7941,1,8,99.99,1111,26.8,360.5
2026-05-17T04:26:59,41.9,1518,7941,0,9,99.99,981,26.8,360.6
2026-05-17T04:27:04,44.3,1520,7941,1,8,99.99,858,28.2,360.7
2026-05-17T04:27:10,43.0,1524,7941,0,10,99.99,1045,27.0,360.7
2026-05-17T04:27:15,42.5,1518,7941,1,7,99.99,994,27.0,360.7
2026-05-17T04:27:20,42.3,1520,7941,0,9,99.99,1026,27.4,360.7
2026-05-17T04:27:26,42.8,1525,7941,0,10,99.99,980,27.1,360.7
2026-05-17T04:27:31,41.4,1521,7941,0,10,99.99,1066,26.1,360.7
2026-05-17T04:27:36,42.1,1514,7941,1,10,99.99,1041,26.7,360.7
2026-05-17T04:27:42,46.2,1525,7941,0,10,99.99,1009,27.5,360.7
2026-05-17T04:27:47,44.9,1515,7941,1,10,99.99,1022,27.5,360.8
2026-05-17T04:27:52,45.5,1516,7941,0,11,99.99,952,28.0,360.8
2026-05-17T04:27:57,44.3,1515,7941,0,7,99.99,989,27.4,360.8
2026-05-17T04:28:03,43.9,1520,7941,2,9,99.99,845,27.6,360.8
2026-05-17T04:28:08,46.7,1510,7941,0,8,99.99,807,29.0,361.0
2026-05-17T04:28:13,44.6,1518,7941,1,9,99.99,948,27.4,361.1
2026-05-17T04:28:19,45.0,1516,7941,0,10,99.99,989,27.6,361.2
2026-05-17T04:28:24,46.4,1512,7941,0,7,99.99,921,28.6,361.2
2026-05-17T04:28:29,44.1,1503,7941,0,11,99.99,858,27.7,361.3
2026-05-17T04:28:35,53.0,1504,7941,0,10,99.99,694,38.9,361.3
2026-05-17T04:28:40,61.9,1538,7941,2,8,99.99,999,38.6,361.3
2026-05-17T04:28:45,55.9,1524,7941,0,10,99.99,1036,39.0,361.3
2026-05-17T04:28:51,55.5,1513,7941,0,10,99.99,975,39.6,361.5
2026-05-17T04:28:56,54.0,1506,7941,0,10,99.99,909,38.6,361.5
2026-05-17T04:29:01,55.7,1507,7941,0,10,99.99,951,38.9,361.6
2026-05-17T04:29:07,55.1,1500,7941,0,11,99.99,875,39.6,361.7
2026-05-17T04:29:12,52.2,1507,7941,0,10,99.99,831,38.0,361.8
2026-05-17T04:29:17,56.1,1505,7941,0,10,99.99,879,40.5,361.8
2026-05-17T04:29:23,55.4,1502,7941,0,11,99.99,889,39.4,361.9
2026-05-17T04:29:28,55.2,1501,7941,0,11,99.99,907,39.3,362.0
2026-05-17T04:29:33,49.0,1500,7941,1,8,99.99,888,32.2,362.0
2026-05-17T04:29:39,45.8,1504,7941,0,11,99.99,970,27.8,362.0
2026-05-17T04:29:44,44.2,1500,7941,0,8,99.99,856,28.1,362.0
