timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-10T10:00:37,0.12,0.14
2026-05-10T10:00:42,0.12,0.14
2026-05-10T10:00:47,0.13,0.14
2026-05-10T10:00:52,0.13,0.14
2026-05-10T10:00:57,0.04,0.03
2026-05-10T10:01:02,0.04,0.03
2026-05-10T10:01:07,0.06,0.1
2026-05-10T10:01:12,0.06,0.1
2026-05-10T10:01:17,0.34,0.28
2026-05-10T10:01:22,0.34,0.28
2026-05-10T10:01:27,0.44,0.33
2026-05-10T10:01:32,0.44,0.33
2026-05-10T10:01:37,0.21,0.19
2026-05-10T10:01:42,0.21,0.19
2026-05-10T10:01:47,0.09,0.08
2026-05-10T10:01:52,0.09,0.08
2026-05-10T10:01:57,0.06,0.06
2026-05-10T10:02:02,0.06,0.06
2026-05-10T10:02:07,0.05,0.05
2026-05-10T10:02:12,0.05,0.05
2026-05-10T10:02:17,0.07,0.14
2026-05-10T10:02:22,0.07,0.14
2026-05-10T10:02:27,0.48,0.7
2026-05-10T10:02:32,0.48,0.7
2026-05-10T10:02:37,0.53,0.64
2026-05-10T10:02:42,0.53,0.64
2026-05-10T10:02:47,1.07,3.66
2026-05-10T10:02:52,1.07,3.66
2026-05-10T10:02:57,3.29,13.34
2026-05-10T10:03:02,3.29,13.34
2026-05-10T10:03:07,5.95,25.23
2026-05-10T10:03:12,5.95,25.23
2026-05-10T10:03:17,8.68,36.34
2026-05-10T10:03:22,8.68,36.34
2026-05-10T10:03:27,11.46,50.23
2026-05-10T10:03:32,11.46,50.23
2026-05-10T10:03:37,14.34,62.41
2026-05-10T10:03:42,14.34,62.41
2026-05-10T10:03:47,16.88,73.76
2026-05-10T10:03:52,16.88,73.76
2026-05-10T10:03:57,18.93,85.83
2026-05-10T10:04:02,18.93,85.83
2026-05-10T10:04:07,21.64,97.28
2026-05-10T10:04:12,21.64,97.28
2026-05-10T10:04:17,24.44,108.31
2026-05-10T10:04:22,24.44,108.31
2026-05-10T10:04:27,27.01,120.17
2026-05-10T10:04:32,27.01,120.17
2026-05-10T10:04:37,29.98,134.94
2026-05-10T10:04:42,29.98,134.94
2026-05-10T10:04:47,31.82,142.05
2026-05-10T10:04:52,31.82,142.05
2026-05-10T10:04:57,32.5,146.4
2026-05-10T10:05:02,32.5,146.4
2026-05-10T10:05:07,32.6,150.83
2026-05-10T10:05:12,32.6,150.83
2026-05-10T10:05:17,32.84,147.95
2026-05-10T10:05:22,32.84,147.95
2026-05-10T10:05:27,32.85,146.45
2026-05-10T10:05:32,32.85,146.45
2026-05-10T10:05:37,31.85,146.87
2026-05-10T10:05:42,31.85,146.87
2026-05-10T10:05:47,32.55,148.72
2026-05-10T10:05:52,32.55,148.72
2026-05-10T10:05:57,32.54,148.64
2026-05-10T10:06:02,32.54,148.64
2026-05-10T10:06:07,32.26,147.72
2026-05-10T10:06:12,32.26,147.72
2026-05-10T10:06:17,33.12,149.31
2026-05-10T10:06:22,33.12,149.31
2026-05-10T10:06:27,32.77,149.63
2026-05-10T10:06:32,32.77,149.63
2026-05-10T10:06:37,32.54,148.41
