timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-16T03:47:48,2.18,2.19
2026-05-16T03:47:53,2.18,2.19
2026-05-16T03:47:58,0.19,0.19
2026-05-16T03:48:03,0.19,0.19
2026-05-16T03:48:08,0.25,0.25
2026-05-16T03:48:13,0.25,0.25
2026-05-16T03:48:18,1.44,4.34
2026-05-16T03:48:23,1.44,4.34
2026-05-16T03:48:28,5.93,17.64
2026-05-16T03:48:33,5.93,17.64
2026-05-16T03:48:38,11.38,36.26
2026-05-16T03:48:43,11.38,36.26
2026-05-16T03:48:48,15.38,54.67
2026-05-16T03:48:53,15.38,54.67
2026-05-16T03:48:58,19.59,75.44
2026-05-16T03:49:03,19.59,75.44
2026-05-16T03:49:08,23.53,93.73
2026-05-16T03:49:13,23.53,93.73
2026-05-16T03:49:18,27.87,112.91
2026-05-16T03:49:23,27.87,112.91
2026-05-16T03:49:28,32.51,135.8
2026-05-16T03:49:33,32.51,135.8
2026-05-16T03:49:38,36.09,154.65
2026-05-16T03:49:43,36.09,154.65
2026-05-16T03:49:48,40.11,172.72
2026-05-16T03:49:53,40.11,172.72
2026-05-16T03:49:58,44.93,195.01
2026-05-16T03:50:03,44.93,195.01
2026-05-16T03:50:08,48.81,212.99
2026-05-16T03:50:13,48.81,212.99
2026-05-16T03:50:18,52.05,230.51
2026-05-16T03:50:23,52.05,230.51
2026-05-16T03:50:28,56.03,251.36
2026-05-16T03:50:33,56.03,251.36
2026-05-16T03:50:38,59.93,265.53
2026-05-16T03:50:43,59.93,265.53
2026-05-16T03:50:48,63.92,284.3
2026-05-16T03:50:53,63.92,284.3
2026-05-16T03:50:58,68.05,307.72
2026-05-16T03:51:03,68.05,307.72
2026-05-16T03:51:08,72.6,328.68
2026-05-16T03:51:13,72.6,328.68
2026-05-16T03:51:18,77.39,345.87
2026-05-16T03:51:23,77.39,345.87
2026-05-16T03:51:28,81.33,367.87
2026-05-16T03:51:33,81.33,367.87
2026-05-16T03:51:38,85.15,391.1
