timestamp,net_rx_kb_s,net_tx_kb_s
2026-05-10T08:02:00,0.15,0.15
2026-05-10T08:02:05,0.15,0.15
2026-05-10T08:02:10,0.29,0.18
2026-05-10T08:02:15,0.29,0.18
2026-05-10T08:02:20,0.29,0.46
2026-05-10T08:02:25,0.29,0.46
2026-05-10T08:02:30,0.4,0.61
2026-05-10T08:02:35,0.4,0.61
2026-05-10T08:02:40,0.43,1.66
2026-05-10T08:02:45,0.43,1.66
2026-05-10T08:02:50,0.9,6.62
2026-05-10T08:02:55,0.9,6.62
2026-05-10T08:03:00,1.69,15.22
2026-05-10T08:03:05,1.69,15.22
2026-05-10T08:03:10,2.52,24.99
2026-05-10T08:03:15,2.52,24.99
2026-05-10T08:03:20,3.6,39.56
2026-05-10T08:03:25,3.6,39.56
2026-05-10T08:03:30,4.76,61.3
2026-05-10T08:03:35,4.76,61.3
2026-05-10T08:03:40,5.84,77.77
2026-05-10T08:03:45,5.84,77.77
2026-05-10T08:03:50,6.93,87.56
2026-05-10T08:03:55,6.93,87.56
2026-05-10T08:04:00,8.14,96.96
2026-05-10T08:04:05,8.14,96.96
2026-05-10T08:04:10,9.21,112.07
2026-05-10T08:04:15,9.21,112.07
2026-05-10T08:04:20,10.18,134.16
2026-05-10T08:04:25,10.18,134.16
2026-05-10T08:04:30,10.95,140.1
2026-05-10T08:04:35,10.95,140.1
2026-05-10T08:04:40,12.13,149.31
2026-05-10T08:04:45,12.13,149.31
2026-05-10T08:04:50,13.01,170.09
2026-05-10T08:04:55,13.01,170.09
2026-05-10T08:05:00,12.67,172.78
2026-05-10T08:05:05,12.67,172.78
2026-05-10T08:05:10,12.38,169.59
2026-05-10T08:05:15,12.38,169.59
2026-05-10T08:05:20,12.08,163.76
2026-05-10T08:05:25,12.08,163.76
2026-05-10T08:05:30,11.81,161.36
2026-05-10T08:05:35,11.81,161.36
2026-05-10T08:05:40,12.59,170.52
2026-05-10T08:05:45,12.59,170.52
2026-05-10T08:05:50,12.66,174.1
2026-05-10T08:05:55,12.66,174.1
2026-05-10T08:06:00,12.07,163.07
2026-05-10T08:06:05,12.07,163.07
2026-05-10T08:06:10,12.42,167.63
2026-05-10T08:06:15,12.42,167.63
2026-05-10T08:06:20,12.81,175.71
2026-05-10T08:06:25,12.81,175.71
2026-05-10T08:06:30,12.81,170.64
2026-05-10T08:06:35,12.81,170.64
2026-05-10T08:06:40,12.48,164.01
2026-05-10T08:06:45,12.48,164.01
2026-05-10T08:06:50,12.4,171.2
2026-05-10T08:06:55,12.4,171.2
2026-05-10T08:07:00,12.38,172.46
2026-05-10T08:07:05,12.38,172.46
2026-05-10T08:07:10,12.29,165.66
2026-05-10T08:07:15,12.29,165.66
2026-05-10T08:07:20,12.25,168.95
2026-05-10T08:07:25,12.25,168.95
2026-05-10T08:07:30,12.12,167.08
2026-05-10T08:07:35,12.12,167.08
2026-05-10T08:07:40,12.04,164.71
2026-05-10T08:07:45,12.04,164.71
2026-05-10T08:07:50,12.19,169.01
2026-05-10T08:07:55,12.19,169.01
2026-05-10T08:08:00,12.26,171.99
2026-05-10T08:08:05,12.26,171.99
2026-05-10T08:08:10,12.28,173.54
2026-05-10T08:08:15,12.28,173.54
2026-05-10T08:08:20,12.52,175.92
2026-05-10T08:08:25,12.52,175.92
2026-05-10T08:08:30,12.64,172.51
2026-05-10T08:08:35,12.64,172.51
2026-05-10T08:08:40,12.86,174.66
2026-05-10T08:08:45,12.86,174.66
2026-05-10T08:08:50,12.74,175.59
2026-05-10T08:08:55,12.74,175.59
2026-05-10T08:09:00,12.03,155.58
2026-05-10T08:09:05,12.03,155.58
2026-05-10T08:09:10,12.02,150.69
2026-05-10T08:09:15,12.02,150.69
2026-05-10T08:09:20,12.61,169.85
2026-05-10T08:09:25,12.61,169.85
2026-05-10T08:09:30,12.56,166.17
2026-05-10T08:09:35,12.56,166.17
2026-05-10T08:09:40,12.26,153.94
2026-05-10T08:09:45,12.26,153.94
2026-05-10T08:09:50,12.02,156.62
2026-05-10T08:09:55,12.02,156.62
2026-05-10T08:10:00,12.52,173.25
2026-05-10T08:10:05,12.52,173.25
2026-05-10T08:10:10,12.36,168.31
2026-05-10T08:10:15,12.36,168.31
2026-05-10T08:10:20,12.0,164.46
2026-05-10T08:10:25,12.0,164.46
2026-05-10T08:10:30,12.33,170.48
2026-05-10T08:10:35,12.33,170.48
