timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-10T07:01:10,1.4,969,7941,0,1,100.00,1,0.1,82.6
2026-05-10T07:01:16,11.8,1101,7941,0,2,100.00,7,8.7,172.0
2026-05-10T07:01:21,21.4,1078,7941,0,5,100.00,5,1.0,174.7
2026-05-10T07:01:26,3.8,1064,7941,0,5,100.00,9,0.6,176.6
2026-05-10T07:01:31,52.4,1066,7941,0,5,100.00,12,2.7,153.8
2026-05-10T07:01:36,17.6,1052,7941,5,2,100.00,10,1.5,154.3
2026-05-10T07:01:42,14.0,1049,7941,0,4,100.00,8,1.5,158.4
2026-05-10T07:01:47,17.7,1051,7941,7,1,100.00,14,1.2,159.2
2026-05-10T07:01:52,48.4,1055,7941,0,5,100.00,12,1.6,163.7
2026-05-10T07:01:58,46.1,1064,7941,0,6,100.00,20,2.5,166.7
2026-05-10T07:02:03,15.1,1066,7941,4,4,100.00,10,2.4,167.7
2026-05-10T07:02:08,49.3,1058,7941,0,4,100.00,18,1.7,171.0
2026-05-10T07:02:13,27.9,1064,7941,0,5,100.00,6,2.1,182.5
2026-05-10T07:02:19,17.5,1067,7941,3,4,100.00,14,2.0,182.6
2026-05-10T07:02:24,20.6,1072,7941,0,5,100.00,8,2.3,182.8
2026-05-10T07:02:29,5.8,1064,7941,0,4,100.00,12,2.4,183.7
2026-05-10T07:02:35,15.2,1067,7941,0,4,100.00,10,3.7,192.2
2026-05-10T07:02:40,18.0,1077,7941,0,5,100.00,12,3.1,199.8
2026-05-10T07:02:45,5.2,1084,7941,0,5,100.00,10,2.5,201.4
2026-05-10T07:02:50,5.6,1080,7941,0,3,100.00,5,2.2,202.0
2026-05-10T07:02:55,6.0,1077,7941,0,3,100.00,10,2.8,203.4
2026-05-10T07:03:01,5.9,1077,7941,0,3,100.00,8,2.8,203.5
2026-05-10T07:03:06,12.2,1089,7941,3,2,100.00,13,2.8,203.6
2026-05-10T07:03:11,10.5,1092,7941,0,4,100.00,5,3.2,207.7
2026-05-10T07:03:16,7.1,1082,7941,0,3,100.00,12,3.8,208.8
2026-05-10T07:03:22,6.8,1088,7941,0,4,100.00,8,2.8,208.8
