timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-16T03:48:11,9.1,1287,7941,0,3,100.00,4,8.5,181.3
2026-05-16T03:48:16,6.3,1226,7941,0,3,100.00,17,4.6,155.8
2026-05-16T03:48:21,8.8,1198,7941,0,3,100.00,36,7.2,140.7
2026-05-16T03:48:26,7.6,1197,7941,0,3,100.00,57,5.6,146.0
2026-05-16T03:48:31,8.8,1207,7941,0,3,100.00,67,7.2,150.3
2026-05-16T03:48:37,9.0,1209,7941,0,3,100.00,89,6.8,154.9
2026-05-16T03:48:42,8.9,1210,7941,0,4,100.00,68,7.0,158.2
2026-05-16T03:48:47,10.1,1221,7941,0,4,100.00,119,7.6,171.0
2026-05-16T03:48:52,9.5,1234,7941,1,4,100.00,124,6.9,171.9
2026-05-16T03:48:58,11.3,1235,7941,0,4,100.00,128,8.8,170.2
2026-05-16T03:49:03,11.2,1231,7941,0,4,100.00,148,8.5,171.3
2026-05-16T03:49:08,12.6,1237,7941,0,4,100.00,191,9.5,175.0
2026-05-16T03:49:13,10.5,1244,7941,0,4,100.00,173,7.6,175.2
2026-05-16T03:49:19,12.0,1239,7941,0,4,100.00,206,9.1,175.6
2026-05-16T03:49:24,10.8,1231,7941,0,4,100.00,188,7.9,176.1
2026-05-16T03:49:29,12.4,1230,7941,0,4,100.00,244,9.2,176.2
2026-05-16T03:49:34,11.8,1238,7941,0,4,100.00,260,8.5,176.9
2026-05-16T03:49:39,12.9,1227,7941,0,4,100.00,235,9.4,177.0
2026-05-16T03:49:45,12.3,1232,7941,0,4,100.00,258,8.8,177.0
2026-05-16T03:49:50,13.9,1231,7941,0,4,100.00,306,10.3,177.0
2026-05-16T03:49:55,13.7,1241,7941,0,6,100.00,279,10.0,177.5
2026-05-16T03:50:00,12.9,1246,7941,0,6,100.00,298,9.4,177.5
2026-05-16T03:50:06,22.3,1243,7941,0,6,100.00,329,17.0,177.5
2026-05-16T03:50:11,16.9,1242,7941,0,6,100.00,379,12.2,177.5
2026-05-16T03:50:16,17.5,1233,7941,0,6,100.00,350,12.5,178.1
2026-05-16T03:50:21,16.1,1234,7941,0,6,100.00,338,11.3,178.2
2026-05-16T03:50:27,15.0,1236,7941,0,6,100.00,330,10.8,178.2
2026-05-16T03:50:32,15.4,1238,7941,0,5,100.00,497,10.9,178.2
2026-05-16T03:50:37,17.2,1235,7941,0,5,100.00,361,12.3,178.2
2026-05-16T03:50:42,15.4,1234,7941,0,5,100.00,389,11.1,178.5
2026-05-16T03:50:47,17.7,1235,7941,0,6,100.00,484,12.5,179.2
2026-05-16T03:50:53,15.7,1238,7941,1,5,100.00,432,11.2,179.2
2026-05-16T03:50:58,18.3,1236,7941,0,6,100.00,508,13.1,179.2
2026-05-16T03:51:03,21.2,1236,7941,0,8,100.00,469,14.8,179.3
2026-05-16T03:51:08,19.7,1235,7941,0,8,100.00,450,13.9,179.3
2026-05-16T03:51:14,18.4,1240,7941,0,6,100.00,582,12.8,179.3
2026-05-16T03:51:19,19.2,1238,7941,0,6,100.00,489,13.5,179.3
2026-05-16T03:51:24,19.8,1246,7941,0,8,100.00,553,13.8,179.6
2026-05-16T03:51:29,19.3,1244,7941,0,8,100.00,579,13.6,179.7
2026-05-16T03:51:34,20.5,1237,7941,0,7,100.00,560,14.4,180.0
2026-05-16T03:51:40,19.3,1236,7941,0,5,100.00,619,13.7,180.3
2026-05-16T03:51:45,21.4,1238,7941,0,6,100.00,588,15.2,180.8
2026-05-16T03:51:50,19.9,1245,7941,0,7,100.00,549,13.8,181.2
2026-05-16T03:51:55,21.1,1246,7941,0,7,100.00,665,15.0,181.2
2026-05-16T03:52:01,22.4,1240,7941,0,6,100.00,723,15.7,181.3
2026-05-16T03:52:06,25.7,1245,7941,0,10,100.00,585,17.8,181.5
2026-05-16T03:52:11,20.8,1251,7941,0,10,100.00,797,14.4,181.7
2026-05-16T03:52:16,22.7,1244,7941,0,8,100.00,562,15.7,181.7
2026-05-16T03:52:22,21.7,1245,7941,1,6,100.00,776,15.2,182.0
2026-05-16T03:52:27,24.5,1242,7941,1,7,100.00,697,17.5,182.1
2026-05-16T03:52:32,21.6,1171,7941,1,7,100.00,773,14.6,182.3
2026-05-16T03:52:37,23.9,1163,7941,0,7,100.00,790,16.7,182.3
2026-05-16T03:52:43,22.2,1165,7941,0,8,100.00,714,15.2,182.3
2026-05-16T03:52:48,24.2,1167,7941,0,8,100.00,738,16.9,182.3
2026-05-16T03:52:53,23.3,1169,7941,0,8,100.00,834,15.8,182.3
