timestamp,cpu_total_pct,mem_used_mb,mem_total_mb,pg_active,pg_idle,pg_cache_hit_ratio,pg_tps_delta,target_pid_cpu_pct,target_pid_mem_mb
2026-05-10T08:02:15,1.7,940,7941,0,1,100.00,6,0.0,84.2
2026-05-10T08:02:20,2.7,927,7941,0,1,100.00,1,0.1,84.2
2026-05-10T08:02:25,3.0,929,7941,0,1,100.00,6,0.0,84.2
2026-05-10T08:02:31,12.2,1082,7941,0,2,100.00,1,9.7,223.6
2026-05-10T08:02:36,4.5,1066,7941,0,2,100.00,6,1.4,198.6
2026-05-10T08:02:41,3.5,1047,7941,0,3,100.00,2,0.8,201.3
2026-05-10T08:02:46,24.6,1055,7941,0,4,100.00,13,1.2,204.7
2026-05-10T08:02:51,16.6,1060,7941,0,5,100.00,8,1.9,206.1
2026-05-10T08:02:57,27.2,1067,7941,7,1,100.00,15,1.5,207.0
2026-05-10T08:03:02,42.9,1072,7941,0,6,100.00,8,1.9,213.4
2026-05-10T08:03:07,40.6,1097,7941,0,6,100.00,19,2.8,227.9
2026-05-10T08:03:13,37.4,1093,7941,0,6,100.00,9,2.0,231.7
2026-05-10T08:03:18,61.9,1095,7941,0,6,100.00,18,1.7,235.1
2026-05-10T08:03:23,16.3,1095,7941,0,5,100.00,9,3.0,236.3
2026-05-10T08:03:28,15.5,1086,7941,0,4,100.00,12,1.9,236.4
2026-05-10T08:03:33,55.0,1126,7941,0,7,100.00,9,4.2,257.4
2026-05-10T08:03:39,24.8,1126,7941,0,7,100.00,14,2.2,263.8
2026-05-10T08:03:44,14.9,1125,7941,0,5,100.00,6,2.4,263.9
2026-05-10T08:03:49,15.0,1117,7941,0,5,100.00,17,3.2,264.6
2026-05-10T08:03:54,8.3,1120,7941,0,4,100.00,9,5.3,263.4
2026-05-10T08:03:59,16.3,1121,7941,0,5,100.00,14,3.6,263.7
2026-05-10T08:04:05,6.7,1120,7941,0,5,100.00,8,3.4,263.8
2026-05-10T08:04:10,7.2,1114,7941,0,4,100.00,9,3.6,263.9
2026-05-10T08:04:15,6.6,1114,7941,0,4,100.00,12,3.4,264.0
2026-05-10T08:04:20,6.2,1113,7941,0,3,100.00,6,3.4,264.2
2026-05-10T08:04:26,7.5,1120,7941,0,3,100.00,11,4.2,267.8
2026-05-10T08:04:31,7.1,1118,7941,0,3,100.00,7,4.0,268.0
2026-05-10T08:04:36,7.7,1118,7941,0,4,100.00,14,3.8,268.1
2026-05-10T08:04:41,8.4,1125,7941,0,4,100.00,8,5.3,268.3
2026-05-10T08:04:46,19.1,1123,7941,0,3,100.00,17,4.1,268.4
2026-05-10T08:04:52,6.9,1118,7941,0,3,100.00,7,3.9,268.8
2026-05-10T08:04:57,7.8,1123,7941,0,3,100.00,13,4.1,268.9
2026-05-10T08:05:02,45.0,1134,7941,0,6,100.00,11,5.3,269.4
2026-05-10T08:05:08,33.2,1135,7941,0,6,100.00,13,4.5,269.6
2026-05-10T08:05:13,36.4,1140,7941,0,5,100.00,9,3.2,269.6
2026-05-10T08:05:18,45.2,1138,7941,4,3,100.00,18,4.7,270.7
2026-05-10T08:05:23,27.3,1139,7941,0,6,100.00,8,3.5,270.8
2026-05-10T08:05:28,34.5,1133,7941,0,5,100.00,17,4.3,270.8
2026-05-10T08:05:34,41.9,1137,7941,3,5,100.00,10,3.9,270.8
2026-05-10T08:05:39,22.1,1135,7941,0,6,100.00,14,3.7,270.9
2026-05-10T08:05:44,43.6,1137,7941,0,6,100.00,10,5.1,274.8
2026-05-10T08:05:49,6.6,1132,7941,0,6,100.00,12,3.4,274.9
2026-05-10T08:05:54,30.0,1134,7941,3,4,100.00,10,3.3,274.9
2026-05-10T08:06:00,20.0,1131,7941,0,5,100.00,16,4.5,274.8
2026-05-10T08:06:05,21.6,1133,7941,1,5,100.00,12,3.9,274.8
2026-05-10T08:06:10,8.5,1123,7941,0,5,100.00,8,4.7,247.7
2026-05-10T08:06:15,8.9,1112,7941,0,4,100.00,17,5.0,256.4
2026-05-10T08:06:21,7.0,1108,7941,0,4,100.00,7,4.1,256.5
2026-05-10T08:06:26,7.8,1115,7941,0,3,100.00,14,4.1,267.1
2026-05-10T08:06:31,6.5,1122,7941,0,3,100.00,4,3.5,269.9
2026-05-10T08:06:36,16.1,1113,7941,0,3,100.00,13,9.8,250.8
2026-05-10T08:06:42,10.7,1111,7941,0,3,100.00,9,5.8,257.6
2026-05-10T08:06:47,9.7,1107,7941,0,3,100.00,13,5.5,258.8
2026-05-10T08:06:52,7.8,1123,7941,0,4,100.00,8,4.2,270.9
2026-05-10T08:06:57,9.3,1124,7941,0,4,100.00,16,4.5,273.5
2026-05-10T08:07:03,27.1,1129,7941,0,3,100.00,11,3.9,275.3
2026-05-10T08:07:08,30.3,1135,7941,0,4,100.00,13,3.6,275.7
2026-05-10T08:07:13,19.1,1137,7941,0,5,100.00,9,3.7,275.8
2026-05-10T08:07:18,42.3,1141,7941,4,3,100.00,19,4.7,278.4
2026-05-10T08:07:24,39.4,1145,7941,4,3,100.00,9,4.6,279.9
2026-05-10T08:07:29,52.1,1144,7941,0,5,100.00,20,3.7,279.9
2026-05-10T08:07:34,72.6,1172,7941,0,11,100.00,11,5.0,279.9
2026-05-10T08:07:40,44.6,1152,7941,3,10,100.00,16,3.7,279.9
2026-05-10T08:07:45,48.9,1141,7941,0,6,100.00,15,4.2,279.9
2026-05-10T08:07:50,35.5,1141,7941,0,6,100.00,13,4.1,280.0
2026-05-10T08:07:56,20.7,1136,7941,0,5,100.00,14,4.4,280.1
2026-05-10T08:08:01,42.1,1144,7941,1,5,100.00,15,5.6,280.3
2026-05-10T08:08:06,37.5,1146,7941,0,6,100.00,20,3.3,280.3
2026-05-10T08:08:11,7.5,1139,7941,0,4,100.00,11,3.7,280.3
2026-05-10T08:08:16,9.2,1126,7941,0,3,100.00,19,5.0,280.3
2026-05-10T08:08:22,6.7,1131,7941,0,3,100.00,8,3.4,280.3
2026-05-10T08:08:27,8.8,1128,7941,0,3,100.00,16,4.6,280.5
2026-05-10T08:08:32,7.2,1131,7941,0,3,100.00,9,3.8,280.6
2026-05-10T08:08:37,7.7,1126,7941,0,3,100.00,12,3.3,280.6
2026-05-10T08:08:43,7.5,1133,7941,0,3,100.00,10,3.7,280.6
2026-05-10T08:08:48,8.5,1133,7941,0,3,100.00,15,4.3,282.5
2026-05-10T08:08:53,7.0,1130,7941,0,3,100.00,11,3.6,282.6
2026-05-10T08:08:58,10.1,1115,7941,0,5,100.00,17,5.7,251.5
2026-05-10T08:09:03,24.0,1117,7941,0,5,100.00,13,6.1,259.7
2026-05-10T08:09:09,19.4,1119,7941,0,5,100.00,12,5.3,263.0
2026-05-10T08:09:14,27.8,1136,7941,0,5,100.00,11,4.0,273.8
2026-05-10T08:09:19,24.3,1135,7941,3,4,100.00,18,3.9,275.7
2026-05-10T08:09:25,13.7,1141,7941,0,5,100.00,8,4.6,276.2
2026-05-10T08:09:30,46.8,1135,7941,0,6,100.00,15,3.7,276.4
2026-05-10T08:09:35,31.6,1142,7941,5,4,100.00,15,4.3,276.7
2026-05-10T08:09:41,82.3,1150,7941,3,8,100.00,14,3.8,276.9
2026-05-10T08:09:46,76.8,1160,7941,7,6,100.00,17,5.5,276.9
2026-05-10T08:09:51,42.5,1162,7941,0,10,100.00,11,4.0,277.0
2026-05-10T08:09:57,16.2,1129,7941,0,5,100.00,13,3.4,277.0
2026-05-10T08:10:02,12.5,1138,7941,4,7,100.00,12,5.3,277.0
2026-05-10T08:10:07,66.3,1146,7941,0,9,100.00,20,6.1,277.7
2026-05-10T08:10:13,29.8,1132,7941,0,6,100.00,11,4.1,279.5
2026-05-10T08:10:18,9.0,1130,7941,0,4,100.00,11,4.9,281.1
2026-05-10T08:10:23,22.9,1134,7941,0,5,100.00,7,3.7,281.1
2026-05-10T08:10:28,7.5,1138,7941,0,5,100.00,11,3.2,281.2
2026-05-10T08:10:34,6.7,1135,7941,0,3,100.00,5,3.4,281.2
2026-05-10T08:10:39,8.4,1131,7941,0,3,100.00,14,4.3,284.4
2026-05-10T08:10:44,6.9,1136,7941,0,3,100.00,4,3.4,284.5
2026-05-10T08:10:49,9.8,1120,7941,0,3,100.00,15,6.0,252.4
2026-05-10T08:10:54,8.5,1110,7941,0,3,100.00,6,5.2,260.0
2026-05-10T08:11:00,8.6,1108,7941,0,3,100.00,14,4.5,261.6
2026-05-10T08:11:05,17.3,1138,7941,0,4,100.00,17,4.3,274.3
2026-05-10T08:11:10,8.8,1167,7941,0,4,100.00,8,3.4,274.7
2026-05-10T08:11:15,9.0,1162,7941,0,3,100.00,13,4.8,276.6
2026-05-10T08:11:21,45.1,1175,7941,2,4,100.00,14,3.6,276.6
2026-05-10T08:11:26,10.9,1171,7941,0,5,100.00,14,3.8,278.6
2026-05-10T08:11:31,28.9,1183,7941,0,5,100.00,7,4.1,280.1
2026-05-10T08:11:37,21.8,1175,7941,0,5,100.00,12,3.2,280.2
2026-05-10T08:11:42,34.4,1183,7941,0,6,100.00,9,3.4,280.2
2026-05-10T08:11:47,46.6,1193,7941,4,7,100.00,20,4.8,281.9
2026-05-10T08:11:52,78.5,1197,7941,0,10,100.00,12,3.5,282.0
2026-05-10T08:11:58,33.6,1201,7941,6,7,100.00,15,3.5,282.1
2026-05-10T08:12:03,28.9,1192,7941,0,8,100.00,11,5.8,282.1
2026-05-10T08:12:08,32.3,1183,7941,3,4,100.00,17,4.1,282.1
2026-05-10T08:12:14,19.9,1186,7941,0,5,100.00,11,5.0,282.1
2026-05-10T08:12:19,41.1,1182,7941,0,5,100.00,19,4.2,282.3
2026-05-10T08:12:24,16.3,1183,7941,0,5,100.00,6,4.3,282.6
2026-05-10T08:12:29,20.8,1188,7941,0,5,100.00,16,3.4,282.6
2026-05-10T08:12:35,7.2,1179,7941,0,5,100.00,7,3.8,282.7
