category_slug,name,slug,price,discount,rating,sold_count,location,images
aksesoris-kamera-baterai-charger,Vedrai Moscato Spumante   Dolce 700 ML,vedrai-moscato-spumante-dolce-700-ml,253000.0,0,,0,Tipsy Bro,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/4/1/3c329c88-f23a-4cd3-93e2-21ca8f03cc7f.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=YiTxD3qEZrN5wfLXpyyQb%2FGCaag%3D&x-signature-webp=aRMKjS7Hd0LQh67ldh5P5T%2BsgWQ%3D""}"
aksesoris-kamera-baterai-charger,Nobleman Blended Whisky 500ml,nobleman-blended-whisky-500ml,276000.0,0,,0,Tipsy Bro,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/3/31/b6b9124f-d7bd-4d4a-af46-f48754ddf1fa.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=f%2F1Mq7AvgfCdMeU0EP4vpK%2BT3Xw%3D&x-signature-webp=hlEjPVCSiC28o266pTL6SYfhCYM%3D""}"
aksesoris-kamera-baterai-charger,Balega Black tea 600ml  - Tipsy Bro,balega-black-tea-600ml-tipsy-bro,85000.0,0,,0,Tipsy Bro,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/4/1/cebd9805-8816-4279-b10a-230ff9b63c19.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=qN8DPJwld0rVeH2SWjno8dNSYjA%3D&x-signature-webp=bfKfqK4hMa%2BF5HDpWt20MU8KJyo%3D""}"
aksesoris-kamera-baterai-charger,Tequila Tres Sombreros Reposado 700ml,tequila-tres-sombreros-reposado-700ml,452000.0,0,,0,Tipsy Bro,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/3/31/2a02e931-4f7f-408f-a60c-2af124d4d140.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=yqHOHHHVs7%2B8eh1N3diwmgRF5%2F0%3D&x-signature-webp=zBgMoDNE0enJTDDy9aXFdcfVkDM%3D""}"
aksesoris-kamera-baterai-charger,AC-VQ1050 Dual Battery Charger for Sony NP-F Camera Type Bekas,ac-vq1050-dual-battery-charger-for-sony-np-f-camera-type-bekas,780000.0,0,,0,Mitra Visual Store_NEW,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/4/28/6762c127-11e9-4431-a833-2614e604db82.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=xMgJp4l2UagdxHkUQKyzIbWZmI4%3D&x-signature-webp=x4jS1vJF0Xo5EezP1QeP1cWZOSI%3D""}"
aksesoris-kamera-baterai-charger,Panasonic Battery DMW-BLC12E Battery Camera,panasonic-battery-dmw-blc12e-battery-camera,1099000.0,0,,0,Camzone Official,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fdba411f47134d8ab9eb9f1760d4abcb~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=CL8Do%2F%2BeEA7bkVVgWVZwzww8bf4%3D&x-signature-webp=EDZK%2BAygeCWYPQpH5CM5qMEHuDU%3D""}"
aksesoris-kamera-baterai-charger,Nikon Baterai Rechargeable EN EL 14A,nikon-baterai-rechargeable-en-el-14a,998000.0,0,,0,Anekafoto,"{""https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/ca627f0a88404d638e72e809624a77e6~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=B00p80g5hqn205sSVD69MDRnveg%3D&x-signature-webp=ou9k5ajHUnN7LGFNnxyUbtrlauA%3D""}"
aksesoris-kamera-baterai-charger,POWEREXTRA Battery Canon LP-E12 2-Pack With Dual Charger for EOS M 100D ETC,powerextra-battery-canon-lp-e12-2-pack-with-dual-charger-for-eos-m-100d-etc,481999.0,0,,0,Powerextra Indonesia,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/product-1/2019/8/21/29074229/29074229_bb10260f-0720-400a-8ce1-4b531590063f_1000_1000~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=hFscpDIpkgzsWWnvQmaPZAeNJXQ%3D&x-signature-webp=z2G4RmhC4%2Fk1cHhBJRvVawBjzN8%3D""}"
aksesoris-kamera-baterai-charger,POWEREXTRA Dual Smart Charger Nikon EN-EL3E,powerextra-dual-smart-charger-nikon-en-el3e,135150.0,0,,0,Powerextra Indonesia,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/11/12/af845fd0-a0c5-41d9-ac87-7d30f006607e.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=scKRZH8o%2BoBnTmvSWpczrAXufic%3D&x-signature-webp=JXwMpfKfJzWrAh9734bRlUL3nPI%3D""}"
aksesoris-kamera-baterai-charger,POWEREXTRA Battery Canon LP-E8 for 60D 70D 80D ETC,powerextra-battery-canon-lp-e8-for-60d-70d-80d-etc,261499.0,0,,0,Powerextra Indonesia,"{""https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/product-1/2019/8/22/29074229/29074229_06646999-a0cf-439f-ae90-920cb884bfa4_1000_1000~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1773465146&x-signature=e%2FiIqLJK7ZwhOCZe2ZMZ%2FLqeXyA%3D&x-signature-webp=ccMw%2Fj4ScckVCHSTQaYpl5wB4w8%3D""}"
